날짜,리그,팀,상대,득점,실점,승리,장소,시기
2019-11-30,리그1,낭트,앙제,1,2,0,안방,BC
2019-11-30,리그1,스트라스부르,리옹,1,2,0,안방,BC
2019-11-30,리그1,툴루즈 FC,모나코,1,2,0,안방,BC
2019-11-30,리그1,몽펠리에,파리 생제르맹,1,3,0,안방,BC
2019-11-30,리그1,파리 생제르맹,낭트,2,0,1,안방,BC
2019-11-30,리그1,낭트,툴루즈 FC,2,1,1,안방,BC
2019-11-30,리그1,릴,몽펠리에,2,1,1,안방,BC
2019-11-30,리그1,스타드 렌,생테티엔,2,1,1,안방,BC
2019-11-30,리그1,스타드 렌,앙제,2,1,1,안방,BC
2019-11-30,리그1,스트라스부르,생테티엔,2,1,1,안방,BC
2019-11-30,리그1,디종,FC 메스,2,2,0,안방,BC
2019-11-30,리그1,디종,몽펠리에,2,2,0,안방,BC
2019-11-30,리그1,니스,툴루즈 FC,3,0,1,안방,BC
2019-11-30,리그1,모나코,아미앵 SC,3,0,1,안방,BC
2019-11-30,리그1,니스,앙제,3,1,1,안방,BC
2019-11-30,리그1,랭스,생테티엔,3,1,1,안방,BC
2019-11-30,리그1,마르세유,님 올랭피크,3,1,1,안방,BC
2019-11-30,리그1,마르세유,보르도,3,1,1,안방,BC
2019-11-30,리그1,몽펠리에,브레스투아,4,0,1,안방,BC
2019-11-30,리그1,니스,FC 메스,4,1,1,안방,BC
2019-11-30,리그1,생테티엔,니스,4,1,1,안방,BC
2019-11-30,리그1,파리 생제르맹,아미앵 SC,4,1,1,안방,BC
2019-11-30,리그1,몽펠리에,아미앵 SC,4,2,1,안방,BC
2019-11-30,리그1,스트라스부르,툴루즈 FC,4,2,1,안방,BC
2019-11-30,리그1,브레스투아,스트라스부르,5,0,1,안방,BC
2019-11-30,리그1,모나코,릴,5,1,1,안방,BC
2019-11-30,리그1,보르도,님 올랭피크,6,0,1,안방,BC
2020-01-11,리그1,스타드 렌,마르세유,0,1,0,안방,BC
2020-01-12,리그1,생테티엔,낭트,0,2,0,안방,BC
2020-01-12,리그1,FC 메스,스트라스부르,1,0,1,안방,BC
2020-01-12,리그1,앙제,니스,1,1,0,안방,BC
2020-01-12,리그1,보르도,리옹,1,2,0,안방,BC
2020-01-12,리그1,아미앵 SC,몽펠리에,1,2,0,안방,BC
2020-01-12,리그1,님 올랭피크,랭스,2,0,1,안방,BC
2020-01-12,리그1,툴루즈 FC,브레스투아,2,5,0,안방,BC
2020-01-13,리그1,디종,릴,1,0,1,안방,BC
2020-01-13,리그1,파리 생제르맹,모나코,3,3,0,안방,BC
2020-01-16,리그1,님 올랭피크,스타드 렌,0,1,0,안방,BC
2020-01-16,리그1,아미앵 SC,랭스,1,1,0,안방,BC
2020-01-16,리그1,모나코,파리 생제르맹,1,4,0,안방,BC
2020-01-25,리그1,니스,스타드 렌,1,1,0,안방,BC
2020-01-26,리그1,마르세유,앙제,0,0,0,안방,BC
2020-01-26,리그1,랭스,FC 메스,0,1,0,안방,BC
2020-01-26,리그1,모나코,스트라스부르,1,3,0,안방,BC
2020-01-26,리그1,몽펠리에,디종,2,1,1,안방,BC
2020-01-26,리그1,브레스투아,아미앵 SC,2,1,1,안방,BC
2020-01-26,리그1,생테티엔,님 올랭피크,2,1,1,안방,BC
2020-01-26,리그1,리옹,툴루즈 FC,3,0,1,안방,BC
2020-01-27,리그1,낭트,보르도,0,1,0,안방,BC
2020-01-27,리그1,릴,파리 생제르맹,0,2,0,안방,BC
2020-02-01,리그1,스타드 렌,낭트,3,2,1,안방,BC
2020-02-02,리그1,아미앵 SC,툴루즈 FC,0,0,0,안방,BC
2020-02-02,리그1,스트라스부르,릴,1,2,0,안방,BC
2020-02-02,리그1,앙제,랭스,1,4,0,안방,BC
2020-02-02,리그1,니스,리옹,2,1,1,안방,BC
2020-02-02,리그1,디종,브레스투아,3,0,1,안방,BC
2020-02-02,리그1,님 올랭피크,모나코,3,1,1,안방,BC
2020-02-02,리그1,파리 생제르맹,몽펠리에,5,0,1,안방,BC
2020-02-03,리그1,보르도,마르세유,0,0,0,안방,BC
2020-02-03,리그1,FC 메스,생테티엔,3,1,1,안방,BC
2020-02-05,리그1,릴,스타드 렌,1,0,1,안방,BC
2020-02-05,리그1,모나코,앙제,1,0,1,안방,BC
2020-02-05,리그1,낭트,파리 생제르맹,1,2,0,안방,BC
2020-02-06,리그1,리옹,아미앵 SC,0,0,0,안방,BC
2020-02-06,리그1,툴루즈 FC,스트라스부르,0,1,0,안방,BC
2020-02-06,리그1,생테티엔,마르세유,0,2,0,안방,BC
2020-02-06,리그1,랭스,니스,1,1,0,안방,BC
2020-02-06,리그1,몽펠리에,FC 메스,1,1,0,안방,BC
2020-02-06,리그1,브레스투아,보르도,1,1,0,안방,BC
2020-02-06,리그1,님 올랭피크,디종,2,0,1,안방,BC
2020-02-08,리그1,앙제,릴,0,2,0,안방,BC
2020-02-09,리그1,스타드 렌,브레스투아,0,0,0,안방,BC
2020-02-09,리그1,마르세유,툴루즈 FC,1,0,1,안방,BC
2020-02-09,리그1,몽펠리에,생테티엔,1,0,1,안방,BC
2020-02-09,리그1,FC 메스,보르도,1,2,0,안방,BC
2020-02-09,리그1,아미앵 SC,모나코,1,2,0,안방,BC
2020-02-09,리그1,니스,님 올랭피크,1,3,0,안방,BC
2020-02-09,리그1,디종,낭트,3,3,0,안방,BC
2020-02-10,리그1,스트라스부르,랭스,3,0,1,안방,BC
2020-02-10,리그1,파리 생제르맹,리옹,4,2,1,안방,BC
2020-02-15,리그1,모나코,몽펠리에,1,0,1,안방,BC
2020-02-16,리그1,낭트,FC 메스,0,0,0,안방,BC
2020-02-16,리그1,툴루즈 FC,니스,0,2,0,안방,BC
2020-02-16,리그1,님 올랭피크,앙제,1,0,1,안방,BC
2020-02-16,리그1,리옹,스트라스부르,1,1,0,안방,BC
2020-02-16,리그1,보르도,디종,2,2,0,안방,BC
2020-02-16,리그1,아미앵 SC,파리 생제르맹,4,4,0,안방,BC
2020-02-17,리그1,랭스,스타드 렌,1,0,1,안방,BC
2020-02-17,리그1,릴,마르세유,1,2,0,안방,BC
2020-02-17,리그1,브레스투아,생테티엔,3,2,1,안방,BC
2020-02-22,리그1,FC 메스,리옹,0,2,0,안방,BC
2020-02-22,리그1,니스,브레스투아,2,2,0,안방,BC
2020-02-23,리그1,스트라스부르,아미앵 SC,0,0,0,안방,BC
2020-02-23,리그1,앙제,몽펠리에,1,0,1,안방,BC
2020-02-23,리그1,디종,모나코,1,1,0,안방,BC
2020-02-23,리그1,생테티엔,랭스,1,1,0,안방,BC
2020-02-23,리그1,마르세유,낭트,1,3,0,안방,BC
2020-02-23,리그1,릴,툴루즈 FC,3,0,1,안방,BC
2020-02-24,리그1,스타드 렌,님 올랭피크,2,1,1,안방,BC
2020-02-24,리그1,파리 생제르맹,보르도,4,3,1,안방,BC
2020-02-29,리그1,님 올랭피크,마르세유,2,3,0,안방,BC
2020-03-01,리그1,낭트,릴,0,1,0,안방,BC
2020-03-01,리그1,브레스투아,앙제,0,1,0,안방,BC
2020-03-01,리그1,아미앵 SC,FC 메스,0,1,0,안방,BC
2020-03-01,리그1,툴루즈 FC,스타드 렌,0,2,0,안방,BC
2020-03-01,리그1,모나코,랭스,1,1,0,안방,BC
2020-03-01,리그1,몽펠리에,스트라스부르,3,0,1,안방,BC
2020-03-01,리그1,파리 생제르맹,디종,4,0,1,안방,BC
2020-03-02,리그1,보르도,니스,1,1,0,안방,BC
2020-03-02,리그1,리옹,생테티엔,2,0,1,안방,BC
2020-03-07,리그1,마르세유,아미앵 SC,2,2,0,안방,BC
2020-03-08,리그1,랭스,브레스투아,1,0,1,안방,BC
2020-03-08,리그1,생테티엔,보르도,1,1,0,안방,BC
2020-03-08,리그1,앙제,낭트,2,0,1,안방,BC
2020-03-08,리그1,FC 메스,님 올랭피크,2,1,1,안방,BC
2020-03-08,리그1,니스,모나코,2,1,1,안방,BC
2020-03-08,리그1,디종,툴루즈 FC,2,1,1,안방,BC
2020-03-09,리그1,릴,리옹,1,0,1,안방,BC
2020-03-09,리그1,스타드 렌,몽펠리에,5,0,1,안방,BC
2019-08-17,분데스리가,베르더 브레멘,포르투나 뒤셀도르프,1,3,0,안방,BC
2019-08-17,분데스리가,볼프스부르크,FC 쾰른,2,1,1,안방,BC
2019-08-17,분데스리가,바이에른 뮌헨,헤르타 BSC,2,2,0,안방,BC
2019-08-17,분데스리가,프라이부르크,마인츠,3,0,1,안방,BC
2019-08-17,분데스리가,레버쿠젠,SC 파더보른,3,2,1,안방,BC
2019-08-17,분데스리가,도르트문트,아우크스부르크,5,1,1,안방,BC
2019-08-18,분데스리가,묀헨글라트바흐,샬케 04,0,0,0,안방,BC
2019-08-18,분데스리가,프랑크푸르트,호펜하임,1,0,1,안방,BC
2019-08-19,분데스리가,우니온 베를린,RB 라이프치히,0,4,0,안방,BC
2019-08-24,분데스리가,아우크스부르크,우니온 베를린,1,1,0,안방,BC
2019-08-24,분데스리가,FC 쾰른,도르트문트,1,3,0,안방,BC
2019-08-24,분데스리가,SC 파더보른,프라이부르크,1,3,0,안방,BC
2019-08-24,분데스리가,마인츠,묀헨글라트바흐,1,3,0,안방,BC
2019-08-24,분데스리가,포르투나 뒤셀도르프,레버쿠젠,1,3,0,안방,BC
2019-08-24,분데스리가,호펜하임,베르더 브레멘,3,2,1,안방,BC
2019-08-25,분데스리가,샬케 04,바이에른 뮌헨,0,3,0,안방,BC
2019-08-25,분데스리가,RB 라이프치히,프랑크푸르트,2,1,1,안방,BC
2019-08-26,분데스리가,헤르타 BSC,볼프스부르크,0,3,0,안방,BC
2019-08-31,분데스리가,레버쿠젠,호펜하임,0,0,0,안방,BC
2019-08-31,분데스리가,볼프스부르크,SC 파더보른,1,1,0,안방,BC
2019-08-31,분데스리가,프라이부르크,FC 쾰른,1,2,0,안방,BC
2019-08-31,분데스리가,묀헨글라트바흐,RB 라이프치히,1,3,0,안방,BC
2019-08-31,분데스리가,샬케 04,헤르타 BSC,3,0,1,안방,BC
2019-08-31,분데스리가,바이에른 뮌헨,마인츠,6,1,1,안방,BC
2019-09-01,분데스리가,우니온 베를린,도르트문트,3,1,1,안방,BC
2019-09-01,분데스리가,베르더 브레멘,아우크스부르크,3,2,1,안방,BC
2019-09-02,분데스리가,프랑크푸르트,포르투나 뒤셀도르프,2,1,1,안방,BC
2019-09-14,분데스리가,FC 쾰른,묀헨글라트바흐,0,1,0,안방,BC
2019-09-14,분데스리가,포르투나 뒤셀도르프,볼프스부르크,1,1,0,안방,BC
2019-09-14,분데스리가,우니온 베를린,베르더 브레멘,1,2,0,안방,BC
2019-09-14,분데스리가,마인츠,헤르타 BSC,2,1,1,안방,BC
2019-09-14,분데스리가,아우크스부르크,프랑크푸르트,2,1,1,안방,BC
2019-09-14,분데스리가,도르트문트,레버쿠젠,4,0,1,안방,BC
2019-09-15,분데스리가,호펜하임,프라이부르크,0,3,0,안방,BC
2019-09-15,분데스리가,RB 라이프치히,바이에른 뮌헨,1,1,0,안방,BC
2019-09-16,분데스리가,SC 파더보른,샬케 04,1,5,0,안방,BC
2019-09-21,분데스리가,프라이부르크,아우크스부르크,1,1,0,안방,BC
2019-09-21,분데스리가,레버쿠젠,우니온 베를린,2,0,1,안방,BC
2019-09-21,분데스리가,샬케 04,마인츠,2,1,1,안방,BC
2019-09-21,분데스리가,헤르타 BSC,SC 파더보른,2,1,1,안방,BC
2019-09-21,분데스리가,바이에른 뮌헨,FC 쾰른,4,0,1,안방,BC
2019-09-22,분데스리가,베르더 브레멘,RB 라이프치히,0,3,0,안방,BC
2019-09-22,분데스리가,묀헨글라트바흐,포르투나 뒤셀도르프,2,1,1,안방,BC
2019-09-23,분데스리가,프랑크푸르트,도르트문트,2,2,0,안방,BC
2019-09-24,분데스리가,볼프스부르크,호펜하임,1,1,0,안방,BC
2019-09-28,분데스리가,마인츠,볼프스부르크,0,1,0,안방,BC
2019-09-28,분데스리가,아우크스부르크,레버쿠젠,0,3,0,안방,BC
2019-09-28,분데스리가,호펜하임,묀헨글라트바흐,0,3,0,안방,BC
2019-09-28,분데스리가,우니온 베를린,프랑크푸르트,1,2,0,안방,BC
2019-09-28,분데스리가,RB 라이프치히,샬케 04,1,3,0,안방,BC
2019-09-28,분데스리가,SC 파더보른,바이에른 뮌헨,2,3,0,안방,BC
2019-09-29,분데스리가,포르투나 뒤셀도르프,프라이부르크,1,2,0,안방,BC
2019-09-29,분데스리가,도르트문트,베르더 브레멘,2,2,0,안방,BC
2019-09-30,분데스리가,볼프스부르크,아우크스부르크,0,0,0,안방,BC
2019-09-30,분데스리가,샬케 04,도르트문트,0,0,0,안방,BC
2019-09-30,분데스리가,FC 쾰른,헤르타 BSC,0,4,0,안방,BC
2019-09-30,분데스리가,도르트문트,묀헨글라트바흐,1,0,1,안방,BC
2019-09-30,분데스리가,볼프스부르크,우니온 베를린,1,0,1,안방,BC
2019-09-30,분데스리가,포르투나 뒤셀도르프,마인츠,1,0,1,안방,BC
2019-09-30,분데스리가,RB 라이프치히,볼프스부르크,1,1,0,안방,BC
2019-09-30,분데스리가,레버쿠젠,RB 라이프치히,1,1,0,안방,BC
2019-09-30,분데스리가,베르더 브레멘,헤르타 BSC,1,1,0,안방,BC
2019-09-30,분데스리가,샬케 04,FC 쾰른,1,1,0,안방,BC
2019-09-30,분데스리가,SC 파더보른,마인츠,1,2,0,안방,BC
2019-09-30,분데스리가,바이에른 뮌헨,호펜하임,1,2,0,안방,BC
2019-09-30,분데스리가,SC 파더보른,포르투나 뒤셀도르프,2,0,1,안방,BC
2019-09-30,분데스리가,우니온 베를린,프라이부르크,2,0,1,안방,BC
2019-09-30,분데스리가,호펜하임,샬케 04,2,0,1,안방,BC
2019-09-30,분데스리가,바이에른 뮌헨,우니온 베를린,2,1,1,안방,BC
2019-09-30,분데스리가,프라이부르크,RB 라이프치히,2,1,1,안방,BC
2019-09-30,분데스리가,레버쿠젠,베르더 브레멘,2,2,0,안방,BC
2019-09-30,분데스리가,아우크스부르크,바이에른 뮌헨,2,2,0,안방,BC
2019-09-30,분데스리가,프라이부르크,도르트문트,2,2,0,안방,BC
2019-09-30,분데스리가,프랑크푸르트,베르더 브레멘,2,2,0,안방,BC
2019-09-30,분데스리가,헤르타 BSC,호펜하임,2,3,0,안방,BC
2019-09-30,분데스리가,FC 쾰른,SC 파더보른,3,0,1,안방,BC
2019-09-30,분데스리가,프랑크푸르트,레버쿠젠,3,0,1,안방,BC
2019-09-30,분데스리가,마인츠,FC 쾰른,3,1,1,안방,BC
2019-09-30,분데스리가,헤르타 BSC,포르투나 뒤셀도르프,3,1,1,안방,BC
2019-09-30,분데스리가,묀헨글라트바흐,프랑크푸르트,4,2,1,안방,BC
2019-09-30,분데스리가,묀헨글라트바흐,아우크스부르크,5,1,1,안방,BC
2019-10-31,분데스리가,SC 파더보른,아우크스부르크,0,1,0,안방,BC
2019-10-31,분데스리가,볼프스부르크,레버쿠젠,0,2,0,안방,BC
2019-10-31,분데스리가,프랑크푸르트,볼프스부르크,0,2,0,안방,BC
2019-10-31,분데스리가,포르투나 뒤셀도르프,바이에른 뮌헨,0,4,0,안방,BC
2019-10-31,분데스리가,우니온 베를린,헤르타 BSC,1,0,1,안방,BC
2019-10-31,분데스리가,프라이부르크,프랑크푸르트,1,0,1,안방,BC
2019-10-31,분데스리가,FC 쾰른,아우크스부르크,1,1,0,안방,BC
2019-10-31,분데스리가,레버쿠젠,프라이부르크,1,1,0,안방,BC
2019-10-31,분데스리가,호펜하임,포르투나 뒤셀도르프,1,1,0,안방,BC
2019-10-31,분데스리가,FC 쾰른,호펜하임,1,2,0,안방,BC
2019-10-31,분데스리가,레버쿠젠,묀헨글라트바흐,1,2,0,안방,BC
2019-10-31,분데스리가,베르더 브레멘,샬케 04,1,2,0,안방,BC
2019-10-31,분데스리가,헤르타 BSC,도르트문트,1,2,0,안방,BC
2019-10-31,분데스리가,호펜하임,마인츠,1,5,0,안방,BC
2019-10-31,분데스리가,우니온 베를린,묀헨글라트바흐,2,0,1,안방,BC
2019-10-31,분데스리가,포르투나 뒤셀도르프,FC 쾰른,2,0,1,안방,BC
2019-10-31,분데스리가,샬케 04,우니온 베를린,2,1,1,안방,BC
2019-10-31,분데스리가,베르더 브레멘,프라이부르크,2,2,0,안방,BC
2019-10-31,분데스리가,SC 파더보른,RB 라이프치히,2,3,0,안방,BC
2019-10-31,분데스리가,마인츠,우니온 베를린,2,3,0,안방,BC
2019-10-31,분데스리가,아우크스부르크,샬케 04,2,3,0,안방,BC
2019-10-31,분데스리가,헤르타 BSC,RB 라이프치히,2,4,0,안방,BC
2019-10-31,분데스리가,도르트문트,볼프스부르크,3,0,1,안방,BC
2019-10-31,분데스리가,호펜하임,SC 파더보른,3,0,1,안방,BC
2019-10-31,분데스리가,묀헨글라트바흐,베르더 브레멘,3,1,1,안방,BC
2019-10-31,분데스리가,도르트문트,SC 파더보른,3,3,0,안방,BC
2019-10-31,분데스리가,샬케 04,포르투나 뒤셀도르프,3,3,0,안방,BC
2019-10-31,분데스리가,바이에른 뮌헨,도르트문트,4,0,1,안방,BC
2019-10-31,분데스리가,아우크스부르크,헤르타 BSC,4,0,1,안방,BC
2019-10-31,분데스리가,RB 라이프치히,FC 쾰른,4,1,1,안방,BC
2019-10-31,분데스리가,프랑크푸르트,바이에른 뮌헨,5,1,1,안방,BC
2019-10-31,분데스리가,RB 라이프치히,마인츠,8,0,1,안방,BC
2019-11-30,분데스리가,헤르타 BSC,묀헨글라트바흐,0,0,0,안방,BC
2019-11-30,분데스리가,레버쿠젠,헤르타 BSC,0,1,0,안방,BC
2019-11-30,분데스리가,마인츠,레버쿠젠,0,1,0,안방,BC
2019-11-30,분데스리가,베르더 브레멘,SC 파더보른,0,1,0,안방,BC
2019-11-30,분데스리가,우니온 베를린,호펜하임,0,2,0,안방,BC
2019-11-30,분데스리가,포르투나 뒤셀도르프,RB 라이프치히,0,3,0,안방,BC
2019-11-30,분데스리가,마인츠,도르트문트,0,4,0,안방,BC
2019-11-30,분데스리가,베르더 브레멘,마인츠,0,5,0,안방,BC
2019-11-30,분데스리가,FC 쾰른,베르더 브레멘,1,0,1,안방,BC
2019-11-30,분데스리가,샬케 04,프랑크푸르트,1,0,1,안방,BC
2019-11-30,분데스리가,프라이부르크,볼프스부르크,1,0,1,안방,BC
2019-11-30,분데스리가,헤르타 BSC,프라이부르크,1,0,1,안방,BC
2019-11-30,분데스리가,SC 파더보른,우니온 베를린,1,1,0,안방,BC
2019-11-30,분데스리가,볼프스부르크,샬케 04,1,1,0,안방,BC
2019-11-30,분데스리가,바이에른 뮌헨,레버쿠젠,1,2,0,안방,BC
2019-11-30,분데스리가,프라이부르크,바이에른 뮌헨,1,3,0,안방,BC
2019-11-30,분데스리가,FC 쾰른,레버쿠젠,2,0,1,안방,BC
2019-11-30,분데스리가,묀헨글라트바흐,SC 파더보른,2,0,1,안방,BC
2019-11-30,분데스리가,바이에른 뮌헨,볼프스부르크,2,0,1,안방,BC
2019-11-30,분데스리가,우니온 베를린,FC 쾰른,2,0,1,안방,BC
2019-11-30,분데스리가,SC 파더보른,프랑크푸르트,2,1,1,안방,BC
2019-11-30,분데스리가,레버쿠젠,샬케 04,2,1,1,안방,BC
2019-11-30,분데스리가,마인츠,프랑크푸르트,2,1,1,안방,BC
2019-11-30,분데스리가,묀헨글라트바흐,바이에른 뮌헨,2,1,1,안방,BC
2019-11-30,분데스리가,볼프스부르크,묀헨글라트바흐,2,1,1,안방,BC
2019-11-30,분데스리가,아우크스부르크,마인츠,2,1,1,안방,BC
2019-11-30,분데스리가,포르투나 뒤셀도르프,우니온 베를린,2,1,1,안방,BC
2019-11-30,분데스리가,호펜하임,도르트문트,2,1,1,안방,BC
2019-11-30,분데스리가,샬케 04,프라이부르크,2,2,0,안방,BC
2019-11-30,분데스리가,프랑크푸르트,헤르타 BSC,2,2,0,안방,BC
2019-11-30,분데스리가,볼프스부르크,베르더 브레멘,2,3,0,안방,BC
2019-11-30,분데스리가,프랑크푸르트,FC 쾰른,2,4,0,안방,BC
2019-11-30,분데스리가,호펜하임,아우크스부르크,2,4,0,안방,BC
2019-11-30,분데스리가,아우크스부르크,포르투나 뒤셀도르프,3,0,1,안방,BC
2019-11-30,분데스리가,RB 라이프치히,아우크스부르크,3,1,1,안방,BC
2019-11-30,분데스리가,RB 라이프치히,호펜하임,3,1,1,안방,BC
2019-11-30,분데스리가,도르트문트,RB 라이프치히,3,3,0,안방,BC
2019-11-30,분데스리가,묀헨글라트바흐,프라이부르크,4,2,1,안방,BC
2019-11-30,분데스리가,도르트문트,포르투나 뒤셀도르프,5,0,1,안방,BC
2019-11-30,분데스리가,바이에른 뮌헨,베르더 브레멘,6,1,1,안방,BC
2020-01-18,분데스리가,포르투나 뒤셀도르프,베르더 브레멘,0,1,0,안방,BC
2020-01-18,분데스리가,마인츠,프라이부르크,1,2,0,안방,BC
2020-01-18,분데스리가,호펜하임,프랑크푸르트,1,2,0,안방,BC
2020-01-18,분데스리가,샬케 04,묀헨글라트바흐,2,0,1,안방,BC
2020-01-18,분데스리가,FC 쾰른,볼프스부르크,3,1,1,안방,BC
2020-01-18,분데스리가,아우크스부르크,도르트문트,3,5,0,안방,BC
2020-01-19,분데스리가,헤르타 BSC,바이에른 뮌헨,0,4,0,안방,BC
2020-01-19,분데스리가,RB 라이프치히,우니온 베를린,3,1,1,안방,BC
2020-01-20,분데스리가,SC 파더보른,레버쿠젠,1,4,0,안방,BC
2020-01-25,분데스리가,프라이부르크,SC 파더보른,0,2,0,안방,BC
2020-01-25,분데스리가,볼프스부르크,헤르타 BSC,1,2,0,안방,BC
2020-01-25,분데스리가,우니온 베를린,아우크스부르크,2,0,1,안방,BC
2020-01-25,분데스리가,프랑크푸르트,RB 라이프치히,2,0,1,안방,BC
2020-01-25,분데스리가,묀헨글라트바흐,마인츠,3,1,1,안방,BC
2020-01-25,분데스리가,도르트문트,FC 쾰른,5,1,1,안방,BC
2020-01-26,분데스리가,베르더 브레멘,호펜하임,0,3,0,안방,BC
2020-01-26,분데스리가,바이에른 뮌헨,샬케 04,5,0,1,안방,BC
2020-01-27,분데스리가,레버쿠젠,포르투나 뒤셀도르프,3,0,1,안방,BC
2020-02-01,분데스리가,헤르타 BSC,샬케 04,0,0,0,안방,BC
2020-02-01,분데스리가,포르투나 뒤셀도르프,프랑크푸르트,1,1,0,안방,BC
2020-02-01,분데스리가,마인츠,바이에른 뮌헨,1,3,0,안방,BC
2020-02-01,분데스리가,아우크스부르크,베르더 브레멘,2,1,1,안방,BC
2020-02-01,분데스리가,호펜하임,레버쿠젠,2,1,1,안방,BC
2020-02-01,분데스리가,도르트문트,우니온 베를린,5,0,1,안방,BC
2020-02-02,분데스리가,RB 라이프치히,묀헨글라트바흐,2,2,0,안방,BC
2020-02-02,분데스리가,FC 쾰른,프라이부르크,4,0,1,안방,BC
2020-02-03,분데스리가,SC 파더보른,볼프스부르크,2,4,0,안방,BC
2020-02-08,분데스리가,베르더 브레멘,우니온 베를린,0,2,0,안방,BC
2020-02-08,분데스리가,프라이부르크,호펜하임,1,0,1,안방,BC
2020-02-08,분데스리가,볼프스부르크,포르투나 뒤셀도르프,1,1,0,안방,BC
2020-02-08,분데스리가,샬케 04,SC 파더보른,1,1,0,안방,BC
2020-02-08,분데스리가,헤르타 BSC,마인츠,1,3,0,안방,BC
2020-02-08,분데스리가,프랑크푸르트,아우크스부르크,5,0,1,안방,BC
2020-02-09,분데스리가,레버쿠젠,도르트문트,4,3,1,안방,BC
2020-02-10,분데스리가,바이에른 뮌헨,RB 라이프치히,0,0,0,안방,BC
2020-02-15,분데스리가,아우크스부르크,프라이부르크,1,1,0,안방,BC
2020-02-15,분데스리가,SC 파더보른,헤르타 BSC,1,2,0,안방,BC
2020-02-15,분데스리가,우니온 베를린,레버쿠젠,2,3,0,안방,BC
2020-02-15,분데스리가,호펜하임,볼프스부르크,2,3,0,안방,BC
2020-02-15,분데스리가,RB 라이프치히,베르더 브레멘,3,0,1,안방,BC
2020-02-15,분데스리가,도르트문트,프랑크푸르트,4,0,1,안방,BC
2020-02-16,분데스리가,FC 쾰른,바이에른 뮌헨,1,4,0,안방,BC
2020-02-16,분데스리가,포르투나 뒤셀도르프,묀헨글라트바흐,1,4,0,안방,BC
2020-02-17,분데스리가,마인츠,샬케 04,0,0,0,안방,BC
2020-02-22,분데스리가,베르더 브레멘,도르트문트,0,2,0,안방,BC
2020-02-22,분데스리가,프라이부르크,포르투나 뒤셀도르프,0,2,0,안방,BC
2020-02-22,분데스리가,헤르타 BSC,FC 쾰른,0,5,0,안방,BC
2020-02-22,분데스리가,묀헨글라트바흐,호펜하임,1,1,0,안방,BC
2020-02-22,분데스리가,바이에른 뮌헨,SC 파더보른,3,2,1,안방,BC
2020-02-23,분데스리가,샬케 04,RB 라이프치히,0,5,0,안방,BC
2020-02-23,분데스리가,레버쿠젠,아우크스부르크,2,0,1,안방,BC
2020-02-24,분데스리가,볼프스부르크,마인츠,4,0,1,안방,BC
2020-02-25,분데스리가,프랑크푸르트,우니온 베를린,1,2,0,안방,BC
2020-02-29,분데스리가,호펜하임,바이에른 뮌헨,0,6,0,안방,BC
2020-02-29,분데스리가,도르트문트,프라이부르크,1,0,1,안방,BC
2020-02-29,분데스리가,마인츠,SC 파더보른,2,0,1,안방,BC
2020-02-29,분데스리가,아우크스부르크,묀헨글라트바흐,2,3,0,안방,BC
2020-02-29,분데스리가,포르투나 뒤셀도르프,헤르타 BSC,3,3,0,안방,BC
2020-03-01,분데스리가,RB 라이프치히,레버쿠젠,1,1,0,안방,BC
2020-03-01,분데스리가,우니온 베를린,볼프스부르크,2,2,0,안방,BC
2020-03-01,분데스리가,FC 쾰른,샬케 04,3,0,1,안방,BC
2020-03-07,분데스리가,볼프스부르크,RB 라이프치히,0,0,0,안방,BC
2020-03-07,분데스리가,샬케 04,호펜하임,1,1,0,안방,BC
2020-03-07,분데스리가,SC 파더보른,FC 쾰른,1,2,0,안방,BC
2020-03-07,분데스리가,헤르타 BSC,베르더 브레멘,2,2,0,안방,BC
2020-03-07,분데스리가,프라이부르크,우니온 베를린,3,1,1,안방,BC
2020-03-07,분데스리가,레버쿠젠,프랑크푸르트,4,0,1,안방,BC
2020-03-08,분데스리가,묀헨글라트바흐,도르트문트,1,2,0,안방,BC
2020-03-08,분데스리가,바이에른 뮌헨,아우크스부르크,2,0,1,안방,BC
2020-03-09,분데스리가,마인츠,포르투나 뒤셀도르프,1,1,0,안방,BC
2020-03-12,분데스리가,묀헨글라트바흐,FC 쾰른,2,1,1,안방,AC
2020-05-16,분데스리가,포르투나 뒤셀도르프,SC 파더보른,0,0,0,안방,AC
2020-05-16,분데스리가,호펜하임,헤르타 BSC,0,3,0,안방,AC
2020-05-16,분데스리가,RB 라이프치히,프라이부르크,1,1,0,안방,AC
2020-05-16,분데스리가,아우크스부르크,볼프스부르크,1,2,0,안방,AC
2020-05-16,분데스리가,도르트문트,샬케 04,4,0,1,안방,AC
2020-05-17,분데스리가,프랑크푸르트,묀헨글라트바흐,1,3,0,안방,AC
2020-05-17,분데스리가,FC 쾰른,마인츠,2,2,0,안방,AC
2020-05-18,분데스리가,우니온 베를린,바이에른 뮌헨,0,2,0,안방,AC
2020-05-19,분데스리가,베르더 브레멘,레버쿠젠,1,4,0,안방,AC
2020-05-23,분데스리가,프라이부르크,베르더 브레멘,0,1,0,안방,AC
2020-05-23,분데스리가,볼프스부르크,도르트문트,0,2,0,안방,AC
2020-05-23,분데스리가,SC 파더보른,호펜하임,1,1,0,안방,AC
2020-05-23,분데스리가,묀헨글라트바흐,레버쿠젠,1,3,0,안방,AC
