"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FC","2020-09-30","83.8","2.46","5.90","Hyun Jin Ryu",664040,547943,"null","foul",,,,,"3","null","F","L","L","TB","TOR","S","null","null",0,0,2020,"-0.2","0.9","0.57","3.07","null",668227,"null",1,2,"Bot","null","null",,,"643376",,"null",-4.0855184407523675,-122.09759762782605,-1.9953344774235195,-0.8931873319908475,23.53088148981126,-22.77480753356927,"3.18","1.46","null","null","null","84.9","1902","6.9",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.64","null","null","null","null","null","null","null",20,"1","Cutter",3,0,3,0,0,3,3,0,"Standard","Standard"
"CU","2020-09-30","70.9","2.28","6.05","Hyun Jin Ryu",668227,547943,"double","hit_into_play_no_out",,,,,"3","Randy Arozarena doubles (1) on a sharp fly ball to center fielder Randal Grichuk.  ","F","R","L","TB","TOR","X",8,"fly_ball",0,0,2020,"-1.1","-1.1","0.40","2.76","null","null","null",1,2,"Bot","183.94","52.73",,,"643376",,"null",-1.860223196948993,-103.12077817619671,3.1417528991207013,-7.31604555576499,20.235224132825607,-40.698974405128006,"3.29","1.54","371","100.5","24","70.8","2428","6.6",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.87","0.543","0.733","1.25",1,1,1,6,19,"1","Curveball",3,0,3,0,0,3,3,0,"Standard","Strategic"
"CU","2020-09-30","73.3","2.05","6.09","Hyun Jin Ryu",670712,547943,"strikeout","called_strike",,,,,"6","Mike Brosseau called out on strikes.  ","F","R","L","TB","TOR","S",2,"null",2,2,2020,"-1.2","-1.3","0.75","2.55","null","null","null",0,2,"Bot","null","null",,,"643376",,"null",-0.4912379627662212,-106.55634364669949,2.574877502623451,-9.075773586691994,22.769775374661325,-42.35530678978782,"3.43","1.59","null","null","null","73.1","2617","6.7",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.77","null","null","0.00",1,0,0,"null",18,"6","Curveball",3,0,3,0,0,3,3,0,"Standard","Strategic"
"FC","2020-09-30","84.7","2.38","5.85","Hyun Jin Ryu",670712,547943,"null","foul",,,,,"2","null","F","R","L","TB","TOR","S","null","null",2,2,2020,"-0.2","0.5","-0.20","2.87","null","null","null",0,2,"Bot","null","null",,,"643376",,"null",-5.566375426227882,-123.27441689591524,-1.680716957874255,-1.3557330595427235,24.679116712827994,-26.60911429446364,"3.34","1.53","null","null","null","85.2","2060","6.7",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.85","null","null","null","null","null","null","null",18,"5","Cutter",3,0,3,0,0,3,3,0,"Standard","Strategic"
"FF","2020-09-30","88.7","2.34","5.81","Hyun Jin Ryu",670712,547943,"null","ball",,,,,"12","null","F","R","L","TB","TOR","B","null","null",1,2,2020,"0.9","1.4","0.75","4.44","null","null","null",0,2,"Bot","null","null",,,"643376",,"null",-5.80066128932401,-129.02167047404282,-0.19582105263657723,11.171737219914641,28.273119882320543,-16.746745901053924,"3.43","1.62","null","null","null","89.2","1943","6.7",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.76","null","null","null","null","null","null","null",18,"4","4-Seam Fastball",3,0,3,0,0,3,3,0,"Standard","Strategic"
"FC","2020-09-30","84.7","2.27","5.80","Hyun Jin Ryu",670712,547943,"null","foul",,,,,"8","null","F","R","L","TB","TOR","S","null","null",1,1,2020,"0.0","0.9","0.19","1.67","null","null","null",0,2,"Bot","null","null",,,"643376",,"null",-4.846635546650011,-123.20353413266767,-5.068983528691272,0.6788804230205147,23.909545019011574,-22.572322775218666,"3.34","1.53","211","74.6","40","85.4","2062","6.7",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.76","null","null","null","null","null","null","null",18,"3","Cutter",3,0,3,0,0,3,3,0,"Standard","Standard"
"FF","2020-09-30","88.6","2.20","5.89","Hyun Jin Ryu",670712,547943,"null","called_strike",,,,,"7","null","F","R","L","TB","TOR","S","null","null",1,0,2020,"1.1","1.4","-0.72","2.08","null","null","null",0,2,"Bot","null","null",,,"643376",,"null",-9.481936704036402,-128.52570436303105,-6.208930520229649,14.017534892140485,28.682596477748184,-15.087061965802091,"3.40","1.56","null","null","null","89.0","1987","6.9",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.64","null","null","null","null","null","null","null",18,"2","4-Seam Fastball",3,0,3,0,0,3,3,0,"Standard","Standard"
"CU","2020-09-30","72.0","2.17","6.09","Hyun Jin Ryu",670712,547943,"null","ball",,,,,"14","null","F","R","L","TB","TOR","B","null","null",0,0,2020,"-1.1","-1.0","0.11","0.77","null","null","null",0,2,"Bot","null","null",,,"643376",,"null",-2.2095320196001125,-104.74754966967242,-1.2656216209383375,-7.5712484936258155,20.678153192626873,-39.38881797396661,"3.32","1.56","null","null","null","71.8","2517","6.5",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.98","null","null","null","null","null","null","null",18,"1","Curveball",3,0,3,0,0,3,3,0,"Standard","Standard"
"FF","2020-09-30","88.0","2.22","5.87","Hyun Jin Ryu",572287,547943,"home_run","hit_into_play_score",,,,,"4","Mike Zunino homers (1) on a fly ball to left field.   Kevin Kiermaier scores.  ","F","R","L","TB","TOR","X","null","fly_ball",0,2,2020,"0.8","1.2","-0.50","2.43","null","null",595281,0,2,"Bot","45.05","65.40",,,"643376",,"null",-8.446636143255763,-127.90449831362649,-4.725955888782277,10.894910747759106,26.325155122475046,-18.45395128534864,"3.17","1.49","391","96.7","29","89.0","1834","7.0",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.52","0.443","0.709","2.00",1,0,3,5,17,"3","4-Seam Fastball",1,0,1,0,0,1,1,0,"Infield shift","Strategic"
"FC","2020-09-30","85.3","2.32","5.93","Hyun Jin Ryu",572287,547943,"null","swinging_strike",,,,,"6","null","F","R","L","TB","TOR","S","null","null",0,1,2020,"0.3","0.6","0.39","2.45","null","null",595281,0,2,"Bot","null","null",,,"643376",,"null",-5.134068103927714,-124.14929779085162,-3.176696459517721,3.864024587348554,24.26035231226591,-25.3985175174327,"3.17","1.49","null","null","null","86.3","1902","6.9",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.63","null","null","null","null","null","null","null",17,"2","Cutter",1,0,1,0,0,1,1,0,"Infield shift","Strategic"
