"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2020-09-30","87.3","2.45","5.83","Hyun Jin Ryu",572287,547943,"null","swinging_strike",,,,,"12","null","F","R","L","TB","TOR","S","null","null",0,0,2020,"0.8","1.2","0.40","3.32","null","null",595281,0,2,"Bot","null","null",,,"643376",,"null",-6.732109698368658,-127.01346412898057,-2.4562910711034895,10.578367381884293,26.346079016622454,-18.445647141903194,"3.17","1.49","null","null","null","88.0","1815","6.8",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.72","null","null","null","null","null","null","null",17,"1","4-Seam Fastball",1,0,1,0,0,1,1,0,"Infield shift","Strategic"
"FC","2020-09-30","81.4","2.30","5.99","Hyun Jin Ryu",595281,547943,"single","hit_into_play_no_out",,,,,"9","Kevin Kiermaier singles on a line drive to center fielder Randal Grichuk.  ","F","L","L","TB","TOR","X",8,"line_drive",1,0,2020,"-0.2","0.8","0.47","2.01","null","null","null",0,2,"Bot","108.92","81.19",,,"643376",,"null",-3.8226782411602644,-118.55928360649611,-3.8622828647364313,-0.8926128936432022,22.012960829433105,-24.39062944045845,"3.25","1.49","188","75.9","15","82.3","1915","6.8",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.73","0.671","0.604","0.90",1,1,0,4,16,"2","Cutter",1,0,1,0,0,1,1,0,"Standard","Standard"
"CU","2020-09-30","69.7","2.33","6.09","Hyun Jin Ryu",595281,547943,"null","ball",,,,,"13","null","F","L","L","TB","TOR","B","null","null",0,0,2020,"-0.9","-1.1","-0.25","1.36","null","null","null",0,2,"Bot","null","null",,,"643376",,"null",-3.516337967080634,-101.32554338739234,0.6204904459553169,-5.318072428105246,19.4689143875171,-40.18005310976324,"3.37","1.56","null","null","null","69.4","2341","6.5",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","54.00","null","null","null","null","null","null","null",16,"1","Curveball",1,0,1,0,0,1,1,0,"Standard","Standard"
"FC","2020-09-30","84.5","2.39","5.91","Hyun Jin Ryu",642715,547943,"strikeout","swinging_strike",,,,,"2","Willy Adames strikes out swinging.  ","F","R","L","TB","TOR","S",2,"null",1,2,2020,"-0.5","0.7","0.02","3.18",664040,622534,592669,2,1,"Bot","null","null",,,"643376",,"null",-4.669660062274377,-123.01437481429048,-1.415592318344233,-3.803044029389804,22.807091400934144,-25.199117361833643,"3.47","1.66","null","null","null","85.7","2074","6.9",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.60","null","null","0.00",1,0,0,"null",10,"4","Cutter",1,0,1,0,0,1,1,0,"Standard","Standard"
"FC","2020-09-30","85.1","2.32","5.95","Hyun Jin Ryu",642715,547943,"null","swinging_strike",,,,,"1","null","F","R","L","TB","TOR","S","null","null",1,1,2020,"-0.3","0.6","-0.83","3.48",664040,622534,592669,2,1,"Bot","null","null",,,"643376",,"null",-6.789523553057188,-123.74038747607194,-0.7334833518660638,-1.9116386805570795,25.242905223683188,-25.694385709928635,"3.47","1.66","null","null","null","85.7","2062","6.8",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.74","null","null","null","null","null","null","null",10,"3","Cutter",1,0,1,0,0,1,1,0,"Standard","Standard"
"FC","2020-09-30","85.4","2.31","5.86","Hyun Jin Ryu",642715,547943,"null","called_strike",,,,,"11","null","F","R","L","TB","TOR","S","null","null",1,0,2020,"-0.4","0.9","-1.03","3.13",664040,622534,592669,2,1,"Bot","null","null",,,"643376",,"null",-7.078298582674725,-124.24411111851106,-1.9510682315105377,-3.1228519742038205,23.242525920568305,-22.924190602869466,"3.45","1.76","null","null","null","86.6","2007","6.9",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.59","null","null","null","null","null","null","null",10,"2","Cutter",1,0,1,0,0,1,1,0,"Standard","Standard"
"FF","2020-09-30","88.4","2.26","5.87","Hyun Jin Ryu",642715,547943,"null","ball",,,,,"12","null","F","R","L","TB","TOR","B","null","null",0,0,2020,"0.7","1.4","0.02","3.77",664040,622534,592669,2,1,"Bot","null","null",,,"643376",,"null",-7.0485842769712335,-128.59721256942402,-1.9220786527957938,9.65573060752138,28.445778598394014,-16.46132329657452,"3.60","1.80","null","null","null","89.0","1926","6.9",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.65","null","null","null","null","null","null","null",10,"1","4-Seam Fastball",1,0,1,0,0,1,1,0,"Standard","Standard"
"CH","2020-09-30","79.9","2.68","5.61","Hyun Jin Ryu",592669,547943,"field_error","hit_into_play_no_out",,,,,"14","Hunter Renfroe reaches on a throwing error by shortstop Bo Bichette.   Brandon Lowe to 3rd.    Manuel Margot to 2nd.  ","F","R","L","TB","TOR","X",6,"ground_ball",2,2,2020,"1.4","0.6","0.98","1.42","null",664040,622534,2,1,"Bot","95.53","136.84",,,"643376",,"null",-6.354995376270021,-116.2201487598026,-3.5831887279411383,13.467596491866944,21.3127756614903,-26.60542779043313,"3.38","1.57","122","76.5","9","80.7","1462","6.8",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.67","0.321","0.289","0.90",1,0,0,2,9,"5","Changeup",1,0,1,0,0,1,1,0,"Infield shift","Strategic"
"CU","2020-09-30","74.3","2.17","6.08","Hyun Jin Ryu",592669,547943,"null","ball",,,,,"14","null","F","R","L","TB","TOR","B","null","null",1,2,2020,"-1.1","-1.4","1.02","1.93","null",664040,622534,2,1,"Bot","null","null",,,"643376",,"null",-0.4735308485292626,-108.06563829312074,1.2846510050047983,-8.074288082553993,22.942052847603325,-43.13094796431242,"3.56","1.72","null","null","null","74.1","2576","6.7",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.82","null","null","null","null","null","null","null",9,"4","Curveball",1,0,1,0,0,1,1,0,"Infield shift","Strategic"
"FC","2020-09-30","86.7","2.32","5.86","Hyun Jin Ryu",592669,547943,"null","foul",,,,,"4","null","F","R","L","TB","TOR","S","null","null",1,1,2020,"0.0","0.9","-0.35","2.45","null",664040,622534,2,1,"Bot","null","null",,,"643376",,"null",-6.52289158440446,-126.12103495297602,-3.7671903359979715,1.8693884282383382,26.860740008266475,-22.07131971780928,"3.38","1.57","113","73.4","79","87.4","1990","6.8",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.66","null","null","null","null","null","null","null",9,"3","Cutter",1,0,1,0,0,1,1,0,"Infield shift","Strategic"
"FC","2020-09-30","86.5","2.41","5.95","Hyun Jin Ryu",592669,547943,"null","swinging_strike",,,,,"2","null","F","R","L","TB","TOR","S","null","null",1,0,2020,"0.0","0.9","-0.15","3.09","null",664040,622534,2,1,"Bot","null","null",,,"643376",,"null",-6.161294640985637,-125.84735370292738,-2.40916002431888,1.3823658759442519,26.55629074801749,-22.34847850004088,"3.38","1.57","null","null","null","86.9","2032","6.7",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.83","null","null","null","null","null","null","null",9,"2","Cutter",1,0,1,0,0,1,1,0,"Infield shift","Strategic"
"FF","2020-09-30","89.4","2.39","5.80","Hyun Jin Ryu",592669,547943,"null","ball",,,,,"11","null","F","R","L","TB","TOR","B","null","null",0,0,2020,"1.1","1.5","-0.99","2.69","null",664040,622534,2,1,"Bot","null","null",,,"643376",,"null",-10.79370105003502,-129.52657801578616,-4.6584828317477465,15.208124021377744,30.555975676094054,-14.950858209730312,"3.54","1.71","null","null","null","89.5","2131","6.9",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.62","null","null","null","null","null","null","null",9,"1","4-Seam Fastball",1,0,1,0,0,1,1,0,"Infield shift","Strategic"
"CH","2020-09-30","78.4","2.66","5.67","Hyun Jin Ryu",622534,547943,"single","hit_into_play_score",,,,,"14","Manuel Margot singles on a ground ball to right fielder Teoscar Hernandez.   Randy Arozarena scores.    Brandon Lowe to 2nd.  ","F","R","L","TB","TOR","X",9,"ground_ball",0,1,2020,"1.3","0.6","1.20","1.96",668227,"null",664040,2,1,"Bot","153.45","120.86",,,"643376",,"null",-5.552788104448745,-114.09281634723528,-2.26803300350827,12.095588123164971,20.886322084896204,-26.857355550225158,"3.24","1.52","24","98.4","-4","79.3","1377","6.9",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.58","0.207","0.186","0.90",1,1,0,2,8,"2","Changeup",0,0,0,0,0,0,0,0,"Standard","Standard"
"SI","2020-09-30","90.7","2.42","5.79","Hyun Jin Ryu",622534,547943,"null","called_strike",,,,,"9","null","F","R","L","TB","TOR","S","null","null",0,0,2020,"1.6","0.9","0.58","1.96",668227,"null",664040,2,1,"Bot","null","null",,,"643376",,"null",-8.223928801688828,-131.7565004039567,-5.528087273641387,20.98669601705422,29.710611708677487,-20.93696824255926,"3.41","1.63","null","null","null","91.3","1964","6.9",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.60","null","null","null","null","null","null","null",8,"1","Sinker",0,0,0,0,0,0,0,0,"Standard","Standard"
"FC","2020-09-30","84.8","2.48","5.87","Hyun Jin Ryu",650490,547943,"strikeout","swinging_strike",,,,,"14","Yandy Diaz strikes out swinging.  ","F","R","L","TB","TOR","S",2,"null",1,2,2020,"-0.1","0.3","0.90","2.28",668227,"null",664040,1,1,"Bot","null","null",,,"643376",,"null",-3.4733376782518883,-123.49011352272765,-2.5814547472787766,-0.5226653093637287,25.146207078778517,-29.239851451188674,"3.36","1.61","null","null","null","85.5","1985","6.7",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.77","null","null","0.00",1,0,0,"null",7,"4","Cutter",0,0,0,0,0,0,0,0,"Standard","Standard"
"FC","2020-09-30","85.6","2.29","6.07","Hyun Jin Ryu",650490,547943,"null","foul",,,,,"1","null","F","R","L","TB","TOR","S","null","null",1,1,2020,"0.0","0.7","-0.39","3.30",668227,"null",664040,1,1,"Bot","null","null",,,"643376",,"null",-6.3802001961286114,-124.5025220817097,-1.6870499144028028,1.2840035724748065,25.720792012678857,-24.6725009165126,"3.36","1.61","145","83.8","11","86.3","1996","6.8",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.66","null","null","null","null","null","null","null",7,"3","Cutter",0,0,0,0,0,0,0,0,"Standard","Standard"
"CH","2020-09-30","80.2","2.67","5.68","Hyun Jin Ryu",650490,547943,"null","called_strike",,,,,"14","null","F","R","L","TB","TOR","S","null","null",1,0,2020,"1.2","0.8","0.87","1.85",668227,"null",664040,1,1,"Bot","null","null",,,"643376",,"null",-6.263676665445328,-116.54049710031347,-3.2137828758452653,11.91766512731741,23.65463506633116,-24.625838041039085,"3.40","1.67","null","null","null","80.6","1470","6.8",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.67","null","null","null","null","null","null","null",7,"2","Changeup",0,0,0,0,0,0,0,0,"Standard","Standard"
"CU","2020-09-30","71.5","2.33","6.05","Hyun Jin Ryu",650490,547943,"null","ball",,,,,"12","null","F","R","L","TB","TOR","B","null","null",0,0,2020,"-1.1","-1.3","1.03","2.68",668227,"null",664040,1,1,"Bot","null","null",,,"643376",,"null",-0.7526101680681514,-103.85288956863033,3.319155417061186,-7.441251371741604,21.98749466948084,-42.35720401393055,"3.38","1.61","null","null","null","71.1","2470","6.7",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.79","null","null","null","null","null","null","null",7,"1","Curveball",0,0,0,0,0,0,0,0,"Standard","Standard"
"SI","2020-09-30","88.2","2.30","5.85","Hyun Jin Ryu",664040,547943,"single","hit_into_play_no_out",,,,,"9","Brandon Lowe singles on a ground ball to right fielder Teoscar Hernandez.   Randy Arozarena to 3rd.  ","F","L","L","TB","TOR","X",9,"ground_ball",0,0,2020,"1.6","0.9","0.33","1.75","null","null",668227,1,1,"Bot","174.67","119.82",,,"643376",,"null",-8.224572486514054,-127.98071753677836,-5.633453195066471,19.562503290733687,29.50857195851454,-21.5745552279097,"3.18","1.46","89","98.0","4","88.3","1955","6.8",635912,547943,"643376","543768","605412","624415","666182","666971","545341","606192","53.73","0.486","0.437","0.90",1,1,0,4,6,"1","Sinker",0,0,0,0,0,0,0,0,"Standard","Standard"
