name,throw_bat,year,decade,avg,obp,slg,ops,hr,rbi,rank,team_game
ÀÌÁ¾¿­,¿ì¾ç,1998,1990,0.215,0.276,0.285,0.561,4,29,45,126
¿°°æ¿±,¿ì¿ì,1994,1990,0.212,0.259,0.278,0.537,2,30,33,126
±è¹ÎÀç,¿ì¿ì,2003,2000,0.211,0.282,0.293,0.575,4,36,40,133
±è¹ÎÀç,¿ì¿ì,2006,2000,0.211,0.267,0.296,0.563,5,27,38,126
±èÁ¾±¹,¿ì¿ì,1997,1990,0.21,0.272,0.323,0.596,9,35,38,126
À¯ÁöÈÍ,¿ì¿ì,1985,1980,0.209,0.258,0.29,0.548,3,35,31,110
±èÈ£,¿ì¿ì,1993,1990,0.204,0.288,0.286,0.574,4,25,36,126
±ÇÈñµ¿,¿ì¿ì,2013,2010,0.203,0.277,0.393,0.669,15,54,48,128
±èÈ£,¿ì¿ì,1997,1990,0.199,0.281,0.285,0.566,5,33,39,126
¹ÚÁø¸¸,¿ì¿ì,1997,1990,0.185,0.234,0.259,0.494,5,29,40,126
±ÇµÎÁ¶,¿ì¿ì,1986,1980,0.162,0.221,0.188,0.409,0,11,35,108
