name,throw_bat,year,decade,avg,obp,slg,ops,hr,rbi,rank,team_game
¼Û±¤¹Î,¿ì¿ì,2017,2010,0.327,0.359,0.476,0.835,13,75,12,144
Çã±Ô¿Á,ÁÂÁÂ,1987,1980,0.326,0.37,0.451,0.822,3,39,7,108
ÀåÁ¾ÈÆ,¿ì¿ì,1995,1990,0.326,0.427,0.562,0.989,22,78,2,126
¹ÚÀçÈ«,¿ì¿ì,1997,1990,0.326,0.444,0.619,1.063,27,69,4,126
½Åµ¿ÁÖ,¿ì¿ì,1997,1990,0.326,0.396,0.581,0.977,21,66,5,126
¼Õ¾Æ¼·,¿ìÁÂ,2011,2010,0.326,0.387,0.507,0.894,15,83,5,133
ÇÇ¿¡,ÁÂÁÂ,2014,2010,0.326,0.383,0.524,0.906,17,92,15,128
±èÇö¼ö,¿ìÁÂ,2015,2010,0.326,0.444,0.541,0.985,28,121,8,144
³ª¼º¹ü,ÁÂÁÂ,2015,2010,0.326,0.376,0.553,0.929,28,135,9,144
¹Ú¿ëÅÃ,¿ìÁÂ,2015,2010,0.326,0.375,0.503,0.878,18,83,10,144
¾çÀÇÁö,¿ì¿ì,2015,2010,0.326,0.408,0.523,0.931,20,93,11,144
¹Ú°Ç¿ì,¿ì¿ì,2018,2010,0.326,0.374,0.473,0.847,12,84,18,144
°­±â¿õ,¿ì¿ì,1993,1990,0.325,0.365,0.501,0.866,16,75,2,126
Á¤¼ö±Ù,ÁÂÁÂ,1999,1990,0.325,0.408,0.424,0.831,2,55,10,132
±èÀçÇö,ÁÂÁÂ,2001,2000,0.325,0.44,0.453,0.893,8,61,7,133
ÀüÁØÈ£,ÁÂÁÂ,2001,2000,0.325,0.418,0.43,0.848,4,35,8,133
ÀÌÁø¿µ,ÁÂÁÂ,2014,2010,0.325,0.39,0.425,0.815,6,65,16,128
ÇÊ,¿ì¿ì,2015,2010,0.325,0.378,0.517,0.895,22,101,12,144
±è¹®È£,ÁÂÁÂ,2016,2010,0.325,0.4,0.43,0.83,7,70,12,144
±èÀçÈ¯,¿ìÁÂ,2016,2010,0.325,0.41,0.628,1.038,37,124,13,144
¹Îº´Çå,¿ì¿ì,2016,2010,0.325,0.398,0.495,0.893,16,87,14,144
¼­°ÇÃ¢,¿ìÁÂ,2016,2010,0.325,0.407,0.441,0.848,7,63,15,144
¼Û±¤¹Î,¿ì¿ì,2016,2010,0.325,0.365,0.508,0.873,17,83,16,144
ÀÌÁ¾µµ,¿ì¿ì,1982,1980,0.324,0.399,0.498,0.898,11,48,6,80
ÀåÈ¿Á¶,ÁÂÁÂ,1984,1980,0.324,0.424,0.498,0.923,7,44,4,100
°í¿øºÎ,¿ì¿ì,1987,1980,0.324,0.403,0.421,0.824,7,51,8,108
±è¼ºÇÑ,¿ì¿ì,1988,1980,0.324,0.384,0.577,0.961,30,89,3,108
ÀÌÁ¾¹ü,¿ì¿ì,1997,1990,0.324,0.43,0.581,1.011,30,74,6,126
Àå¼ºÈ£,ÁÂÁÂ,2000,1990,0.324,0.436,0.489,0.925,14,48,7,133
±èµ¿ÁÖ,¿ì¿ì,2001,2000,0.324,0.407,0.522,0.929,18,62,9,133
±èÅÂ±Õ2,¿ì¿ì,2008,2000,0.324,0.422,0.622,1.044,31,92,5,126
ÀÌÁ¤ÈÄ,¿ìÁÂ,2017,2010,0.324,0.395,0.417,0.812,2,47,13,144
¹Ú¹Î¿ì,¿ìÁÂ,2018,2010,0.324,0.384,0.438,0.822,5,33,19,144
Çã°æ¹Î,¿ì¿ì,2018,2010,0.324,0.378,0.459,0.837,10,79,20,144
³ª¼º¹ü,ÁÂÁÂ,2020,2010,0.324,0.39,0.596,0.987,34,112,11,144
±è¹ÎÈ£,ÁÂÁÂ,1988,1980,0.323,0.416,0.489,0.905,14,64,4,108
¼­Á¤È¯,¿ì¿ì,1988,1980,0.323,0.376,0.367,0.743,0,29,5,108
ÀÌ¸¸¼ö,¿ì¿ì,1988,1980,0.323,0.42,0.558,0.978,18,58,6,108
±èÀÀ±¹,ÁÂÁÂ,1994,1990,0.323,0.403,0.483,0.885,8,55,2,126
¾çÁØÇõ,ÁÂÁÂ,1999,1990,0.323,0.423,0.567,0.989,32,105,11,132
ÀÌ½Â¿±,ÁÂÁÂ,1999,1990,0.323,0.461,0.733,1.193,54,123,12,132
ÀÌº´±Ô,ÁÂÁÂ,2000,1990,0.323,0.387,0.482,0.869,18,99,8,133
Àå¿øÁø,¿ì¾ç,2000,1990,0.323,0.376,0.433,0.809,7,59,9,133
¸¶ÇØ¿µ,¿ì¿ì,2002,2000,0.323,0.39,0.592,0.982,33,116,2,133
ÀÌ½Â¿±,ÁÂÁÂ,2002,2000,0.323,0.437,0.689,1.126,47,126,3,133
±èÅÂ±Õ2,¿ì¿ì,2004,2000,0.323,0.417,0.529,0.946,23,106,4,133
ÀÌº´±Ô,ÁÂÁÂ,2004,2000,0.323,0.396,0.468,0.863,14,64,5,133
µ¥ÀÌºñ½º,ÁÂÁÂ,2005,2000,0.323,0.417,0.545,0.962,24,86,2,126
Á¤±Ù¿ì,¿ì¿ì,2007,2000,0.323,0.386,0.484,0.87,9,44,4,126
ÀÌ´ëÇü,ÁÂÁÂ,2014,2010,0.323,0.37,0.401,0.771,1,40,17,128
°­¹ÎÈ£,¿ì¿ì,2016,2010,0.323,0.435,0.549,0.984,20,72,17,144
¼Õ¾Æ¼·,¿ìÁÂ,2016,2010,0.323,0.419,0.468,0.887,16,81,18,144
°íÁ¾¿í,¿ìÁÂ,2019,2010,0.323,0.348,0.421,0.769,3,56,6,144
ÀÌ¸¸¼ö,¿ì¿ì,1985,1980,0.322,0.413,0.571,0.984,22,87,5,110
°­±â¿õ,¿ì¿ì,1989,1980,0.322,0.353,0.387,0.74,1,33,2,120
±è»óÈÆ,ÁÂÁÂ,1990,1980,0.322,0.392,0.453,0.845,6,58,4,120
±è¹ÎÈ£,ÁÂÁÂ,1992,1990,0.322,0.425,0.525,0.95,16,88,4,126
°­¼®Ãµ,¿ì¿ì,1997,1990,0.322,0.375,0.43,0.805,7,34,7,126
¹ÚÇÑÀÌ,ÁÂÁÂ,2003,2000,0.322,0.397,0.458,0.855,12,59,6,133
ÀÌÅÃ±Ù,¿ì¿ì,2006,2000,0.322,0.392,0.446,0.838,9,66,2,126
±èµ¿ÁÖ,¿ì¿ì,2007,2000,0.322,0.459,0.534,0.993,19,78,5,126
±èÇö¼ö,¿ìÁÂ,2014,2010,0.322,0.4,0.488,0.888,17,90,18,128
·ÎÇÏ½º,¿ì¾ç,2019,2010,0.322,0.384,0.53,0.914,24,104,7,144
À±´ö±Ô,ÁÂÁÂ,1994,1990,0.321,0.38,0.5,0.88,11,51,3,126
±è±âÅÂ,ÁÂÁÂ,1995,1990,0.321,0.425,0.51,0.935,12,72,3,126
±èÀÀ±¹,ÁÂÁÂ,1996,1990,0.321,0.409,0.457,0.866,9,64,4,126
Á¶¿ø¿ì,¿ì¿ì,1997,1990,0.321,0.335,0.441,0.776,5,49,8,126
ÀüÁØÈ£,ÁÂÁÂ,1998,1990,0.321,0.392,0.422,0.814,5,43,2,126
±èµ¿ÁÖ,¿ì¿ì,1999,1990,0.321,0.397,0.564,0.961,22,84,13,132
½ÉÁ¤¼ö,¿ì¿ì,2002,2000,0.321,0.406,0.643,1.049,46,119,4,133
Å©·çÁî,ÁÂÁÂ,2007,2000,0.321,0.425,0.55,0.975,22,85,6,126
ÃÖÁØ¼®,¿ì¿ì,2010,2000,0.321,0.398,0.542,0.94,22,82,5,133
È²Àç±Õ,¿ì¿ì,2014,2010,0.321,0.388,0.475,0.864,12,76,19,128
¹Ú¼®¹Î,¿ì¿ì,2015,2010,0.321,0.446,0.551,0.998,26,116,13,144
·Î»ç¸®¿À,¿ì¿ì,2016,2010,0.321,0.368,0.593,0.961,33,120,19,144
Å×ÀÓÁî,¿ìÁÂ,2016,2010,0.321,0.433,0.679,1.112,40,121,20,144
ÀüÁØ¿ì,¿ì¿ì,2017,2010,0.321,0.37,0.503,0.874,18,69,14,144
ÇÑ´ëÈ­,¿ì¿ì,1988,1980,0.32,0.4,0.528,0.929,18,57,7,108
ÀÌ°­µ·,ÁÂÁÂ,1992,1990,0.32,0.382,0.524,0.905,13,60,5,126
ºê¸®¶Ç,¿ì¿ì,2001,2000,0.32,0.428,0.54,0.968,22,80,10,133
±è±âÅÂ,ÁÂÁÂ,2004,2000,0.32,0.401,0.454,0.855,10,67,6,133
ÀÌ´ëÇü,ÁÂÁÂ,2016,2010,0.32,0.364,0.358,0.723,1,42,21,144
¹ö³ªµð³ª,ÁÂÁÂ,2017,2010,0.32,0.376,0.54,0.916,27,111,15,144
ÀÌ´ëÈ£,¿ì¿ì,2017,2010,0.32,0.393,0.533,0.927,34,111,16,144
±èÀÀ±¹,ÁÂÁÂ,1992,1990,0.319,0.406,0.504,0.909,10,79,6,126
±èÅÂ±Õ2,¿ì¿ì,2003,2000,0.319,0.422,0.572,0.994,31,95,7,133
ÀÌ¿µ¿ì,ÁÂÁÂ,2004,2000,0.319,0.412,0.476,0.888,13,60,7,133
±èÅÂ±Õ2,¿ì¿ì,2013,2010,0.319,0.448,0.475,0.924,10,52,5,128
¹Îº´Çå,¿ì¿ì,2013,2010,0.319,0.382,0.48,0.863,9,65,6,128
±è¼ºÇö,¿ì¿ì,2016,2010,0.319,0.367,0.428,0.795,8,65,22,144
¹Ú°Ç¿ì,¿ì¿ì,2019,2010,0.319,0.405,0.465,0.87,10,64,8,144
¹ÚÃ¶¿ì,ÁÂÁÂ,1989,1980,0.318,0.379,0.482,0.862,13,59,3,120
Á¶¿ëÈ£,ÁÂÁÂ,1991,1990,0.318,0.403,0.399,0.802,3,32,4,126
¼­¿ëºó,ÁÂÁÂ,1994,1990,0.318,0.374,0.42,0.794,4,72,4,126
¹ÚÁ¤ÅÂ,¿ì¿ì,1998,1990,0.318,0.398,0.483,0.881,13,79,3,126
ÀÌ¿µ¿ì,ÁÂÁÂ,2000,1990,0.318,0.393,0.571,0.964,25,64,10,133
±èµ¿ÁÖ,¿ì¿ì,2002,2000,0.318,0.41,0.557,0.967,26,79,5,133
ÀÌ¿ë±Ô,ÁÂÁÂ,2006,2000,0.318,0.387,0.412,0.799,1,39,3,126
¹ÚÀçÈ«,¿ì¿ì,2008,2000,0.318,0.423,0.538,0.961,19,72,6,126
¹Úº´È£,¿ì¿ì,2013,2010,0.318,0.442,0.602,1.044,37,117,7,128
¹Ú¼®¹Î,¿ì¿ì,2013,2010,0.318,0.427,0.515,0.942,18,76,8,128
¿ÀÀç¿ø,¿ìÁÂ,2014,2010,0.318,0.395,0.451,0.846,5,40,20,128
ÃÖÇü¿ì,¿ìÁÂ,2015,2010,0.318,0.407,0.563,0.97,33,123,14,144
³ª¼º¹ü,ÁÂÁÂ,2018,2010,0.318,0.384,0.518,0.902,23,91,21,144
¹Îº´Çå,¿ì¿ì,2018,2010,0.318,0.377,0.481,0.858,17,66,22,144
³ëÂù¿±,¿ì¿ì,1991,1990,0.317,0.391,0.429,0.82,3,58,5,126
ÀÌ¸¸¼ö,¿ì¿ì,1991,1990,0.317,0.416,0.5,0.916,17,74,6,126
µ¿ºÀÃ¶,ÁÂÁÂ,1992,1990,0.317,0.422,0.476,0.898,11,52,7,126
Äð¹Ù,¿ì¿ì,1998,1990,0.317,0.399,0.578,0.977,26,97,4,126
Àå¿øÁø,¿ì¾ç,1999,1990,0.317,0.378,0.376,0.754,2,58,14,132
±èÅÂ±Õ2,¿ì¿ì,2005,2000,0.317,0.402,0.547,0.949,23,100,3,126
ÀÌÅÃ±Ù,¿ì¿ì,2008,2000,0.317,0.4,0.47,0.87,12,58,7,126
±è°­¹Î,¿ì¿ì,2010,2000,0.317,0.362,0.449,0.811,10,72,6,133
±èÇö¼ö,¿ìÁÂ,2010,2000,0.317,0.42,0.531,0.951,24,89,7,133
Á¶ÀÎ¼º,¿ì¿ì,2010,2000,0.317,0.374,0.558,0.932,28,107,8,133
Ã¤ÅÂÀÎ,ÁÂÁÂ,2014,2010,0.317,0.372,0.484,0.856,14,99,21,128
¼Õ¾Æ¼·,¿ìÁÂ,2015,2010,0.317,0.409,0.472,0.88,13,54,15,144
Çã°æ¹Î,¿ì¿ì,2015,2010,0.317,0.369,0.384,0.753,1,41,16,144
À¯ÇÑÁØ,¿ì¿ì,2019,2010,0.317,0.386,0.443,0.829,14,86,9,144
±èÁ¾¸ð,¿ì¿ì,1984,1980,0.316,0.394,0.522,0.916,14,44,5,100
±èÇü¼®,ÁÂÁÂ,1987,1980,0.316,0.372,0.432,0.803,3,45,9,108
±è±âÅÂ,ÁÂÁÂ,1994,1990,0.316,0.431,0.59,1.022,25,79,5,126
¼­¿ëºó,ÁÂÁÂ,1997,1990,0.316,0.378,0.439,0.817,4,69,9,126
ÀÌÁ¾¿í,ÁÂÁÂ,2007,2000,0.316,0.38,0.417,0.798,1,46,7,126
¹ÚÇÑÀÌ,ÁÂÁÂ,2008,2000,0.316,0.412,0.405,0.818,4,41,8,126
ÃÖÁ¤,¿ì¿ì,2013,2010,0.316,0.43,0.551,0.981,28,83,9,128
¼Û±¤¹Î,¿ì¿ì,2014,2010,0.316,0.356,0.468,0.823,11,58,22,128
À¯ÇÑÁØ,¿ì¿ì,2014,2010,0.316,0.383,0.541,0.924,20,91,23,128
±èÅÂ±Õ2,¿ì¿ì,2015,2010,0.316,0.461,0.539,1,21,104,17,144
Á¤±Ù¿ì,¿ì¿ì,2015,2010,0.316,0.395,0.466,0.86,12,66,18,144
¿ÀÀçÀÏ,ÁÂÁÂ,2016,2010,0.316,0.415,0.592,1.007,27,92,23,144
¾ÈÄ¡È«,¿ì¿ì,2017,2010,0.316,0.372,0.513,0.886,21,93,17,144
ÃÖÁ¤,¿ì¿ì,2017,2010,0.316,0.434,0.684,1.117,46,113,18,144
·Î¸Æ,¿ì¿ì,2018,2010,0.316,0.408,0.597,1.005,43,107,23,144
ÀÌÇüÁ¾,¿ì¿ì,2018,2010,0.316,0.373,0.467,0.84,13,42,24,144
±è»óÈ£,¿ì¿ì,1997,1990,0.315,0.395,0.499,0.893,11,52,10,126
¿ìÁî,¿ì¿ì,2000,1990,0.315,0.416,0.605,1.022,39,111,11,133
±èÁ¾¼®,ÁÂÁÂ,2001,2000,0.315,0.393,0.505,0.898,16,65,11,133
ÀÌ¿µ¿ì,ÁÂÁÂ,2002,2000,0.315,0.41,0.525,0.935,24,52,6,133
ÀÌÁ¾¹ü,¿ì¿ì,2003,2000,0.315,0.391,0.515,0.906,20,61,8,133
Àå¼ºÈ£,ÁÂÁÂ,2003,2000,0.315,0.419,0.532,0.95,21,105,9,133
¾çÁØÇõ,ÁÂÁÂ,2004,2000,0.315,0.435,0.553,0.988,28,103,8,133
±èÀçÇö,ÁÂÁÂ,2005,2000,0.315,0.448,0.5,0.948,19,77,4,126
±è»óÇö,¿ì¿ì,2009,2000,0.315,0.38,0.632,1.011,36,127,7,133
¾ÈÄ¡È«,¿ì¿ì,2011,2010,0.315,0.36,0.431,0.791,5,46,6,133
¹Ú¼®¹Î,¿ì¿ì,2014,2010,0.315,0.422,0.601,1.023,27,72,24,128
È«¼ºÈç,¿ì¿ì,2014,2010,0.315,0.402,0.497,0.899,20,82,25,128
ÀÌ¸í±â,ÁÂÁÂ,2015,2010,0.315,0.363,0.397,0.761,3,35,19,144
·¯ÇÁ,¿ì¿ì,2017,2010,0.315,0.399,0.569,0.968,31,124,19,144
Ã¤Àº¼º,¿ì¿ì,2019,2010,0.315,0.364,0.434,0.798,12,72,10,144
±è¼ºÇÑ,¿ì¿ì,1987,1980,0.314,0.379,0.533,0.912,15,46,10,108
±è¿ëÃ¶,¿ì¿ì,1987,1980,0.314,0.386,0.463,0.85,7,59,11,108
ÀåÈ¿Á¶,ÁÂÁÂ,1988,1980,0.314,0.419,0.413,0.833,4,35,8,108
ÀÌÁ¾¿î,ÁÂÁÂ,1992,1990,0.314,0.344,0.444,0.788,3,57,8,126
Æä·¹Áî,¿ì¿ì,2004,2000,0.314,0.363,0.459,0.822,18,86,9,133
Á¤±Ù¿ì,¿ì¿ì,2008,2000,0.314,0.372,0.42,0.791,8,58,9,126
°­Á¤È£,¿ì¿ì,2012,2010,0.314,0.416,0.56,0.976,25,82,2,133
¼Õ¾Æ¼·,¿ìÁÂ,2012,2010,0.314,0.371,0.396,0.767,5,58,3,133
¾ÆµÎÄ¡,ÁÂÁÂ,2015,2010,0.314,0.386,0.557,0.943,28,106,20,144
ÀÌ±¤Àº,¿ì¿ì,1982,1980,0.313,0.357,0.465,0.822,5,36,7,80
±èÀç¹Ú,¿ì¿ì,1985,1980,0.313,0.379,0.393,0.772,3,36,6,110
±èÁ¾¸ð,¿ì¿ì,1986,1980,0.313,0.379,0.46,0.839,11,61,2,108
ÀÌ°­µ·,ÁÂÁÂ,1988,1980,0.313,0.352,0.43,0.782,4,56,9,108
ÀÌ¼øÃ¶,¿ì¿ì,1988,1980,0.313,0.403,0.483,0.886,13,52,10,108
¾çÁØÇõ,ÁÂÁÂ,1995,1990,0.313,0.422,0.532,0.954,20,84,4,126
¾çÁØÇõ,ÁÂÁÂ,2000,1990,0.313,0.418,0.495,0.913,15,92,12,133
ÀÌÅÃ±Ù,¿ì¿ì,2007,2000,0.313,0.379,0.427,0.806,11,56,8,126
ÀÌÈ£ÁØ,¿ì¿ì,2007,2000,0.313,0.374,0.501,0.875,14,71,9,126
±èÁÖÂù,¿ì¿ì,2008,2000,0.313,0.355,0.393,0.749,1,42,10,126
¹Ú°æ¼ö,¿ì¿ì,2016,2010,0.313,0.415,0.522,0.938,20,80,24,144
Ã¤Àº¼º,¿ì¿ì,2016,2010,0.313,0.37,0.444,0.814,9,81,25,144
ÇÊ,¿ì¿ì,2016,2010,0.313,0.361,0.511,0.872,20,86,26,144
³ë¼ö±¤,¿ìÁÂ,2018,2010,0.313,0.379,0.431,0.811,8,53,25,144
¿ÀÀç¿ø,¿ìÁÂ,2018,2010,0.313,0.368,0.463,0.831,15,81,26,144
¹ÚÁ¾ÈÆ,ÁÂÁÂ,1983,1980,0.312,0.373,0.419,0.791,3,24,4,100
±è±¤¸²,ÁÂÁÂ,1988,1980,0.312,0.363,0.424,0.787,2,28,11,108
Àå¼ºÈ£,ÁÂÁÂ,1998,1990,0.312,0.376,0.462,0.838,15,49,5,126
Á¤°æ¹è,¿ì¿ì,1999,1990,0.312,0.381,0.485,0.865,18,53,15,132
ÀÌÁ¾¹ü,¿ì¿ì,2005,2000,0.312,0.388,0.421,0.809,6,36,5,126
¹ÚÁø¸¸,¿ì¿ì,2007,2000,0.312,0.408,0.45,0.858,7,56,10,126
ÀÌ¿ë±Ô,ÁÂÁÂ,2008,2000,0.312,0.381,0.398,0.779,0,38,11,126
ÀÌÁ¾¿í,ÁÂÁÂ,2010,2000,0.312,0.38,0.397,0.777,5,45,9,133
¹Ú¼®¹Î,¿ì¿ì,2012,2010,0.312,0.436,0.524,0.959,23,91,4,133
Á¤¼ºÈÆ,¿ì¿ì,2013,2010,0.312,0.408,0.437,0.845,9,62,10,128
³ªÁö¿Ï,¿ì¿ì,2014,2010,0.312,0.409,0.51,0.92,19,79,26,128
°íÁ¾¿í,¿ìÁÂ,2017,2010,0.312,0.35,0.462,0.813,8,54,20,144
¸ðÃ¢¹Î,¿ì¿ì,2017,2010,0.312,0.365,0.485,0.85,17,90,21,144
À±¼®¹Î,¿ì¿ì,2017,2010,0.312,0.361,0.483,0.844,20,105,22,144
±èµ¿¿±,¿ì¿ì,2020,2010,0.312,0.36,0.508,0.868,20,74,12,144
¿ÀÀçÀÏ,ÁÂÁÂ,2020,2010,0.312,0.39,0.482,0.871,16,89,13,144
È²Àç±Õ,¿ì¿ì,2020,2010,0.312,0.37,0.512,0.882,21,97,14,144
·ùÁßÀÏ,¿ì¿ì,1990,1980,0.311,0.384,0.428,0.812,6,45,5,120
ÀÓ¼öÇõ,¿ì¿ì,1996,1990,0.311,0.389,0.458,0.848,11,76,5,126
ÀÌ¼þ¿ë,ÁÂÁÂ,1997,1990,0.311,0.421,0.49,0.911,9,61,11,126
Á¶¿ø¿ì,¿ì¿ì,1998,1990,0.311,0.358,0.445,0.803,12,62,6,126
¼ÛÁö¸¸,¿ì¿ì,1999,1990,0.311,0.352,0.546,0.898,22,74,16,132
±èÇÑ¼ö,¿ì¿ì,2001,2000,0.311,0.37,0.48,0.85,13,61,12,133
Àå¼ºÈ£,ÁÂÁÂ,2001,2000,0.311,0.422,0.534,0.956,23,97,13,133
±èÇÑ¼ö,¿ì¿ì,2002,2000,0.311,0.372,0.467,0.84,17,76,7,133
ÀÌÅÃ±Ù,¿ì¿ì,2009,2000,0.311,0.41,0.467,0.877,15,66,8,133
°­¹ÎÈ£,¿ì¿ì,2015,2010,0.311,0.423,0.639,1.062,35,86,21,144
Á¤ÀÇÀ±,¿ì¿ì,2016,2010,0.311,0.35,0.51,0.861,27,100,27,144
±èÀçÈ£,¿ì¿ì,2018,2010,0.311,0.393,0.48,0.873,16,75,27,144
±è¿ì¿­,¿ì¿ì,1982,1980,0.31,0.429,0.533,0.962,13,41,8,80
»êÅä½º,¿ì¿ì,2001,2000,0.31,0.37,0.51,0.881,26,107,14,133
¹ÚÇÑÀÌ,ÁÂÁÂ,2004,2000,0.31,0.394,0.465,0.859,16,63,10,133
ÀÓÀçÃ¶,¿ì¿ì,2005,2000,0.31,0.36,0.393,0.753,3,30,6,126
ÀüÁØÈ£,ÁÂÁÂ,2008,2000,0.31,0.373,0.392,0.765,1,24,12,126
°­ºÀ±Ô,¿ì¿ì,2009,2000,0.31,0.402,0.506,0.907,20,78,9,133
±èÁÖÂù,¿ì¿ì,2009,2000,0.31,0.357,0.451,0.808,7,51,10,133
ÃÖÁ¤,¿ì¿ì,2011,2010,0.31,0.396,0.526,0.922,20,75,7,133
Á¤¼ºÈÆ,¿ì¿ì,2012,2010,0.31,0.413,0.499,0.912,12,53,5,133
½ÅÁ¾±æ,¿ìÁÂ,2013,2010,0.31,0.359,0.427,0.786,4,50,11,128
¹ÚÁ¤±Ç,ÁÂÁÂ,2014,2010,0.31,0.37,0.571,0.94,27,109,27,128
±èÀçÈ£,¿ì¿ì,2016,2010,0.31,0.395,0.44,0.835,7,78,28,144
ÀÌ¹üÈ£,¿ì¿ì,2016,2010,0.31,0.396,0.562,0.958,33,108,29,144
Á¤±Ù¿ì,¿ì¿ì,2016,2010,0.31,0.383,0.464,0.847,18,88,30,144
±¸ÀÚ¿í,¿ìÁÂ,2017,2010,0.31,0.389,0.527,0.916,21,107,23,144
¹ö³ªµð³ª,ÁÂÁÂ,2018,2010,0.31,0.394,0.487,0.881,20,70,28,144
ÀÌÁ¤ÈÆ,ÁÂÁÂ,1988,1980,0.309,0.374,0.413,0.786,4,34,12,108
½Å°æ½Ä,ÁÂÁÂ,1991,1990,0.309,0.379,0.4,0.779,7,57,7,126
ÀÌ¼øÃ¶,¿ì¿ì,1992,1990,0.309,0.39,0.494,0.884,21,76,9,126
¹ÚÁ¤ÅÂ,¿ì¿ì,1996,1990,0.309,0.367,0.423,0.791,5,61,6,126
±è±âÅÂ,ÁÂÁÂ,1998,1990,0.309,0.442,0.606,1.048,31,90,7,126
¹ÚÀçÈ«,¿ì¿ì,2000,1990,0.309,0.396,0.589,0.985,32,115,13,133
±èµ¿ÁÖ,¿ì¿ì,2008,2000,0.309,0.427,0.501,0.928,18,104,13,126
¹ÚÁ¾À±,ÁÂÁÂ,2014,2010,0.309,0.345,0.445,0.79,7,73,28,128
Ä­Åõ,¿ì¿ì,2014,2010,0.309,0.376,0.524,0.9,18,72,29,128
³ª¼º¹ü,ÁÂÁÂ,2016,2010,0.309,0.39,0.497,0.886,22,113,31,144
ÀÌÅÃ±Ù,¿ì¿ì,2016,2010,0.309,0.394,0.422,0.816,8,65,32,144
±èÁÖÂù,¿ì¿ì,2017,2010,0.309,0.358,0.489,0.847,12,70,24,144
±¸Ãµ¼­,¿ì¿ì,1982,1980,0.308,0.396,0.421,0.817,3,25,9,80
¼ÛÀÏ¼·,ÁÂÁÂ,1985,1980,0.308,0.394,0.485,0.88,15,41,7,110
À¯½Â¾È,¿ì¿ì,1987,1980,0.308,0.351,0.47,0.821,12,59,12,108
ÀÌ¼±¿õ,¿ì¿ì,1988,1980,0.308,0.374,0.359,0.733,1,41,13,108
À±´ö±Ô,ÁÂÁÂ,1991,1990,0.308,0.386,0.399,0.785,1,45,8,126
ÀüÁØÈ£,ÁÂÁÂ,1995,1990,0.308,0.391,0.395,0.787,1,42,5,126
±èÀçÇö,ÁÂÁÂ,2000,1990,0.308,0.416,0.457,0.873,11,62,14,133
ÀÌº´±Ô,ÁÂÁÂ,2001,2000,0.308,0.373,0.445,0.817,12,83,15,133
ÀÌÁø¿µ,ÁÂÁÂ,2002,2000,0.308,0.373,0.492,0.865,13,40,8,133
±èµ¿¼ö,¿ì¿ì,2003,2000,0.308,0.382,0.485,0.867,16,68,10,133
ÀÌ¹üÈ£,¿ì¿ì,2004,2000,0.308,0.371,0.536,0.907,23,74,11,133
ºê·ë¹Ù,¿ì¿ì,2007,2000,0.308,0.441,0.537,0.977,29,87,11,126
ÀÌ´ëÇü,ÁÂÁÂ,2007,2000,0.308,0.359,0.348,0.707,1,31,12,126
ÃÖÈñ¼·,ÁÂÁÂ,2009,2000,0.308,0.441,0.589,1.029,33,100,11,133
³ª¹Ù·Î,¿ì¿ì,2014,2010,0.308,0.42,0.552,0.972,31,98,30,128
ÀÌ½Â¿±,ÁÂÁÂ,2014,2010,0.308,0.359,0.557,0.916,32,101,31,128
³ªÁö¿Ï,¿ì¿ì,2016,2010,0.308,0.454,0.571,1.025,25,90,33,144
¿¡¹Ý½º,¿ì¿ì,2016,2010,0.308,0.416,0.565,0.981,24,81,34,144
È÷¸Þ³×½º,¿ì¿ì,2016,2010,0.308,0.366,0.526,0.892,26,102,35,144
ÀÌÃµ¿õ,ÁÂÁÂ,2019,2010,0.308,0.376,0.374,0.749,2,48,11,144
À¯µÎ¿­,¿ì¿ì,1983,1980,0.307,0.393,0.461,0.854,9,36,5,100
¹Ú½ÂÈ£,ÁÂÁÂ,1990,1980,0.307,0.388,0.505,0.893,20,75,6,120
±è±¤¸²,ÁÂÁÂ,1991,1990,0.307,0.363,0.418,0.781,3,36,9,126
¼Û±¸È«,¿ì¿ì,1993,1990,0.307,0.371,0.403,0.774,4,49,3,126
Á¶¼ºÈ¯,¿ì¿ì,2003,2000,0.307,0.365,0.403,0.769,6,38,11,133
ÀÌ¿ë±Ô,ÁÂÁÂ,2010,2000,0.307,0.395,0.371,0.766,3,51,10,133
ÀÌ½Â¿±,ÁÂÁÂ,2012,2010,0.307,0.386,0.502,0.888,21,85,6,133
ÀÌÁø¿µ,ÁÂÁÂ,2012,2010,0.307,0.383,0.389,0.772,4,55,7,133
ÀÌÁ¾¿í,ÁÂÁÂ,2013,2010,0.307,0.361,0.439,0.8,6,52,12,128
±èÀçÈ£,¿ì¿ì,2015,2010,0.307,0.38,0.402,0.783,3,50,22,144
¹Ú¼®¹Î,¿ì¿ì,2016,2010,0.307,0.405,0.578,0.984,32,104,36,144
±èÇÏ¼º,¿ì¿ì,2019,2010,0.307,0.393,0.491,0.884,19,104,12,144
±¸ÀÚ¿í,¿ìÁÂ,2020,2010,0.307,0.385,0.478,0.863,15,78,15,144
¹ÚÁ¾ÈÆ,ÁÂÁÂ,1984,1980,0.306,0.365,0.439,0.804,7,37,6,100
±èÇü¼®,ÁÂÁÂ,1993,1990,0.306,0.366,0.433,0.8,10,62,4,126
±ÇÁØÇå,¿ì¿ì,1995,1990,0.306,0.333,0.408,0.741,6,34,6,126
¼­¿ëºó,ÁÂÁÂ,1995,1990,0.306,0.362,0.406,0.768,4,53,7,126
