name,code,year,g,tpa,ab,h,2b,3b,hr,tb,rbi,sb,cs,sh,sf,bb,ibb,hbp,so,gidp,e,avg_risp,ops_risp
버나디나,67650,2017,139,621,557,178,26,8,27,301,111,32,7,3,9,41,2,11,112,9,0,0.331 ,0.964 
로맥,67872,2017,102,416,359,87,19,0,31,199,64,1,1,0,1,50,2,6,116,6,7,0.215 ,0.833 
스크럭스,67935,2017,115,518,437,131,24,0,35,260,111,4,0,0,4,65,2,12,134,9,9,0.305 ,1.076 
김주찬,70410,2017,122,478,440,136,39,2,12,215,70,9,2,2,1,31,0,4,59,17,5,0.322 ,0.826 
박기혁,70553,2017,97,263,235,56,11,1,2,75,18,2,1,7,3,16,0,2,51,9,9,0.194 ,0.510 
이범호,70756,2017,115,447,382,104,14,0,25,193,89,0,0,0,6,52,3,7,81,9,13,0.317 ,1.101 
장민석,71347,2017,88,327,299,83,9,0,1,95,21,8,4,12,1,15,0,0,58,4,3,0.289 ,0.664 
최준석,71552,2017,125,464,409,119,15,0,14,176,82,0,0,0,5,49,0,1,89,24,1,0.328 ,0.850 
이대호,71564,2017,142,608,540,173,13,0,34,288,111,1,1,0,3,50,8,15,84,22,8,0.341 ,0.909 
김태균,71752,2017,94,407,356,121,22,0,17,194,76,0,0,0,4,43,7,4,56,13,1,0.398 ,1.113 
박용택,72133,2017,138,596,509,175,23,2,14,244,90,4,2,0,9,72,6,6,88,13,0,0.364 ,1.000 
최형우,72443,2017,142,629,514,176,36,3,26,296,120,0,1,0,8,96,8,11,82,15,4,0.368 ,1.150 
손주인,72456,2017,115,334,294,82,13,0,5,110,33,4,0,9,6,20,0,5,41,10,7,0.274 ,0.695 
조동찬,72466,2017,122,393,353,102,23,0,10,155,46,3,0,4,4,22,0,10,72,8,8,0.227 ,0.606 
문규현,72546,2017,110,337,304,82,15,2,6,119,42,2,1,18,3,10,1,2,42,10,7,0.242 ,0.547 
박경수,73113,2017,131,511,442,116,27,1,15,190,66,1,2,3,3,57,4,6,118,14,6,0.291 ,0.894 
이성열,73136,2017,81,318,280,86,16,1,21,167,65,3,0,4,5,19,0,9,80,0,4,0.259 ,0.778 
이대형,73153,2017,100,366,337,90,8,3,0,104,24,23,4,4,1,24,1,0,54,8,2,0.372 ,0.869 
나주환,73209,2017,122,452,419,122,24,1,19,205,65,0,3,8,1,19,3,5,85,15,7,0.366 ,1.021 
손시헌,73213,2017,124,391,349,122,17,1,5,156,45,1,0,13,5,16,1,8,44,5,10,0.304 ,0.753 
지석훈,73306,2017,121,304,268,64,16,0,6,98,24,1,0,2,2,22,0,10,67,8,11,0.197 ,0.604 
이종욱,73339,2017,107,355,318,98,15,0,5,128,34,9,2,2,2,28,0,5,30,5,0,0.250 ,0.692 
이택근,73342,2017,100,269,241,67,15,1,3,93,29,0,0,1,1,25,1,1,58,9,0,0.264 ,0.710 
서동욱,73606,2017,125,366,319,90,21,1,7,134,48,1,1,8,3,33,0,3,86,5,2,0.316 ,0.938 
김재호,74206,2017,91,331,283,83,18,1,7,124,50,7,1,2,7,36,1,3,52,6,9,0.292 ,0.878 
윤석민,74215,2017,142,586,538,168,30,1,20,260,105,0,1,0,7,33,0,8,85,24,3,0.331 ,0.846 
유한준,74339,2017,133,497,445,136,19,0,13,194,68,0,2,2,3,45,2,2,59,10,1,0.362 ,0.911 
박석민,74465,2017,101,382,319,78,15,0,14,135,56,1,2,0,0,50,0,13,92,17,9,0.253 ,0.871 
강민호,74540,2017,130,515,456,130,22,1,22,220,68,0,2,0,3,41,6,15,104,15,11,0.270 ,0.890 
최진행,74729,2017,89,289,258,79,21,0,13,139,50,0,2,1,1,19,0,10,77,3,1,0.351 ,1.074 
박정권,74846,2017,118,345,305,78,14,1,16,142,51,1,1,0,5,30,0,5,78,5,7,0.268 ,0.809 
정의윤,75151,2017,112,381,349,112,16,0,15,173,45,0,1,0,4,19,0,9,61,11,0,0.299 ,0.744 
오재일,75334,2017,128,466,412,126,27,0,26,231,89,1,1,1,3,45,0,5,80,5,5,0.315 ,0.961 
이원석,75566,2017,121,459,411,109,20,1,18,185,62,2,0,4,6,34,2,4,80,4,12,0.262 ,0.690 
정근우,75808,2017,105,442,391,129,22,0,11,184,46,6,6,5,3,32,3,10,48,12,11,0.341 ,0.890 
최정,75847,2017,130,527,430,136,18,1,46,294,113,1,5,0,8,70,10,19,107,8,6,0.388 ,1.436 
양의지,76232,2017,111,406,347,96,15,0,14,153,67,1,1,1,3,43,1,12,53,17,5,0.302 ,0.835 
민병헌,76249,2017,123,520,447,136,21,0,14,199,71,3,4,1,6,47,2,19,74,14,4,0.306 ,0.817 
최주환,76267,2017,129,452,399,120,16,6,7,169,57,3,2,1,5,38,1,9,58,10,7,0.308 ,0.889 
김문호,76509,2017,131,448,390,114,17,1,2,139,35,9,4,7,1,37,4,13,73,5,4,0.258 ,0.729 
송광민,76753,2017,117,473,437,143,26,0,13,208,75,2,3,4,8,21,1,3,88,11,9,0.291 ,0.797 
김성현,76802,2017,130,429,380,103,14,0,4,129,29,2,1,7,3,34,1,4,28,8,6,0.217 ,0.592 
이재원,76812,2017,114,350,314,76,15,0,9,118,42,0,1,8,4,16,0,8,55,9,3,0.229 ,0.641 
이명기,76849,2017,115,512,464,154,24,4,9,213,63,8,7,14,3,28,0,3,57,2,5,0.383 ,1.037 
오재원,77248,2017,127,390,334,79,16,1,7,118,40,7,7,4,3,47,1,2,85,5,6,0.215 ,0.685 
채태인,77463,2017,109,384,342,110,23,1,12,171,62,0,1,0,3,34,2,5,94,9,6,0.317 ,0.890 
손아섭,77532,2017,144,667,576,193,35,4,20,296,80,25,8,1,3,83,8,4,96,7,2,0.290 ,0.911 
김민성,77564,2017,133,530,472,133,26,1,15,206,78,0,1,0,8,43,2,7,93,15,6,0.288 ,0.886 
김태군,78122,2017,132,420,362,96,19,0,3,124,34,0,1,18,2,16,0,22,43,11,9,0.257 ,0.665 
이형종,78135,2017,128,434,377,100,18,0,9,145,44,11,6,4,2,40,0,11,73,7,2,0.253 ,0.859 
서건창,78168,2017,139,615,539,179,28,3,6,231,76,15,6,2,6,67,1,1,68,11,12,0.365 ,0.868 
김재환,78224,2017,144,636,544,185,34,2,35,328,115,4,1,0,4,81,10,7,123,8,8,0.342 ,1.058 
최재훈,78288,2017,98,301,262,66,10,0,1,79,15,0,2,6,0,25,0,8,36,10,1,0.210 ,0.643 
전준우,78513,2017,110,496,455,146,27,1,18,229,69,2,4,2,2,30,2,7,70,11,0,0.325 ,0.851 
장성우,78548,2017,118,348,294,68,11,1,8,105,46,0,4,4,5,43,1,2,59,13,7,0.237 ,0.706 
김선빈,78603,2017,137,529,476,176,34,1,5,227,64,4,4,5,4,39,4,5,40,10,14,0.382 ,0.970 
나지완,78629,2017,137,551,459,138,20,3,27,245,94,1,1,0,7,62,0,23,105,10,1,0.294 ,0.948 
모창민,78813,2017,136,527,474,148,25,3,17,230,90,9,6,3,9,39,2,2,81,6,6,0.338 ,0.941 
오지환,79109,2017,107,390,334,91,13,4,8,136,39,10,5,1,5,45,2,5,105,8,11,0.256 ,0.774 
채은성,79192,2017,114,372,333,89,12,3,2,113,35,5,6,10,1,17,1,11,66,8,3,0.302 ,0.757 
박건우,79215,2017,131,543,483,177,40,2,20,281,78,20,3,5,4,41,2,10,64,15,4,0.353 ,1.010 
허경민,79240,2017,130,422,369,95,22,1,3,128,40,8,4,12,2,29,0,10,48,15,5,0.239 ,0.687 
박동원,79365,2017,103,284,256,69,9,0,11,111,39,2,1,6,2,17,0,3,56,9,8,0.292 ,0.787 
이지영,79456,2017,105,336,302,72,10,2,0,86,26,4,3,6,3,20,1,5,40,16,6,0.207 ,0.550 
안치홍,79608,2017,132,545,487,154,29,2,21,250,93,7,0,6,5,43,1,4,70,19,13,0.319 ,0.932 
이승엽,95436,2017,135,533,472,132,30,5,24,244,87,1,1,0,8,47,6,6,85,7,2,0.244 ,0.728 
정성훈,99606,2017,115,321,276,86,14,0,6,118,30,4,3,1,2,36,2,6,49,4,5,0.222 ,0.656 
이진영,99810,2017,103,285,263,76,26,1,2,110,31,0,0,4,0,17,1,1,34,3,0,0.273 ,0.727 
오태곤,60558,2018,128,374,342,87,17,2,12,144,39,13,8,3,1,24,0,4,92,7,2,0.247 ,0.724 
유강남,61102,2018,132,465,425,126,33,0,19,216,66,0,0,2,1,28,1,9,80,21,7,0.282 ,0.825 
이천웅,61186,2018,112,405,359,122,22,3,2,156,39,10,10,2,2,39,2,3,48,11,1,0.319 ,0.769 
정진호,61208,2018,111,299,269,81,12,1,2,101,37,8,1,9,1,19,0,1,44,8,0,0.308 ,0.712 
고종욱,61353,2018,102,351,330,92,22,0,6,132,54,17,4,1,4,15,1,1,96,2,3,0.312 ,0.733 
김헌곤,61404,2018,141,586,513,154,26,2,11,217,71,22,9,5,4,54,1,10,70,13,0,0.319 ,0.896 
강경학,61700,2018,77,289,245,68,11,1,5,96,27,6,3,1,1,38,0,4,59,7,2,0.254 ,0.729 
류지혁,62234,2018,128,280,228,61,7,0,1,71,29,7,2,11,2,29,0,10,43,3,4,0.297 ,0.744 
김규민,62356,2018,104,336,298,88,9,2,3,110,40,8,4,1,4,27,0,6,89,3,7,0.397 ,0.926 
구자욱,62404,2018,116,529,478,159,26,5,20,255,84,10,0,1,2,43,2,5,110,4,4,0.378 ,1.039 
박해민,62415,2018,144,649,576,172,30,10,9,249,68,36,10,8,6,56,0,3,99,9,2,0.339 ,0.882 
신본기,62556,2018,139,479,425,125,28,1,11,188,71,1,5,5,5,33,2,11,95,12,20,0.300 ,0.764 
하주석,62700,2018,141,517,484,123,20,3,9,176,52,14,12,1,0,28,0,4,130,7,18,0.267 ,0.727 
김민식,62864,2018,125,365,310,76,9,3,6,109,37,5,2,11,2,39,0,3,63,8,4,0.235 ,0.680 
최항,62884,2018,98,257,222,65,12,1,7,100,35,2,2,2,0,25,0,8,57,1,10,0.317 ,0.836 
한동민,62895,2018,136,562,486,138,31,0,41,292,115,4,2,0,8,52,3,16,124,10,1,0.286 ,1.098 
박민우,62907,2018,115,460,411,133,22,5,5,180,33,17,5,3,4,32,3,10,51,4,8,0.362 ,0.987 
노진혁,62931,2018,125,458,420,119,21,4,11,181,42,4,3,1,2,33,0,2,92,8,15,0.272 ,0.843 
김성욱,62934,2018,111,358,323,84,13,2,13,140,45,11,2,2,3,29,0,1,64,10,0,0.232 ,0.670 
나성범,62947,2018,144,620,556,177,36,3,23,288,91,15,2,0,5,44,4,15,131,11,3,0.319 ,0.899 
노수광,63704,2018,135,588,515,161,21,8,8,222,53,25,4,9,3,48,0,13,86,3,2,0.316 ,0.785 
권희동,63963,2018,104,391,343,97,19,1,8,142,57,1,3,5,4,35,2,4,58,5,0,0.250 ,0.715 
심우준,64006,2018,135,403,367,95,23,3,4,136,29,11,11,11,1,20,1,4,58,4,13,0.286 ,0.751 
양석환,64153,2018,140,519,483,127,27,0,22,220,82,2,2,1,5,24,0,6,81,9,14,0.310 ,0.936 
김하성,64300,2018,129,576,511,147,27,4,20,242,84,8,2,1,5,54,2,5,81,16,13,0.239 ,0.766 
임병욱,64346,2018,134,447,423,124,29,3,13,198,60,16,3,0,2,22,1,0,119,6,5,0.303 ,0.879 
최원준,66606,2018,101,331,302,82,14,1,4,110,32,10,4,4,1,20,0,4,58,4,14,0.235 ,0.648 
김동엽,66838,2018,124,446,421,106,15,0,27,202,76,11,2,1,3,17,0,4,108,13,3,0.330 ,0.934 
로하스,67025,2018,144,645,564,172,30,1,43,333,114,18,13,1,2,71,4,7,142,10,3,0.322 ,1.098 
김혜성,67304,2018,136,473,430,116,15,6,5,158,45,31,6,3,2,33,1,5,119,6,16,0.333 ,0.826 
이정후,67341,2018,109,520,459,163,34,2,6,219,57,11,4,3,8,42,3,8,58,5,5,0.370 ,0.941 
초이스,67394,2018,96,397,349,90,19,0,17,160,61,2,1,0,5,33,2,10,79,4,2,0.242 ,0.763 
러프,67450,2018,137,597,506,167,32,4,33,306,125,5,3,0,8,65,0,18,107,17,6,0.366 ,1.114 
번즈,67598,2018,133,505,462,124,34,5,23,237,64,5,2,1,0,33,2,9,133,8,22,0.230 ,0.712 
버나디나,67650,2018,131,590,513,159,25,3,20,250,70,32,13,3,1,63,3,10,103,9,4,0.290 ,0.895 
로맥,67872,2018,141,616,528,167,19,0,43,315,107,10,5,0,6,72,0,10,123,7,11,0.297 ,1.079 
스크럭스,67935,2018,142,571,501,129,35,0,26,242,97,3,2,0,3,55,2,12,144,14,12,0.303 ,1.009 
강백호,68050,2018,138,585,527,153,32,2,29,276,84,3,5,0,3,52,0,3,124,4,6,0.308 ,0.973 
호잉,68730,2018,142,590,529,162,47,2,30,303,110,23,9,0,5,51,10,5,93,5,4,0.335 ,1.033 
김주찬,70410,2018,121,471,429,146,23,0,18,223,93,8,1,2,10,23,5,7,57,15,3,0.361 ,0.956 
이범호,70756,2018,101,380,332,93,7,0,20,160,69,1,0,0,2,42,4,4,59,12,4,0.280 ,0.888 
박한이,71432,2018,114,392,342,97,16,0,10,143,43,5,3,6,1,43,2,0,91,9,0,0.289 ,0.738 
이대호,71564,2018,144,604,543,181,30,0,37,322,125,0,1,0,4,43,7,14,75,18,3,0.307 ,1.016 
김태균,71752,2018,73,271,254,80,11,0,10,121,34,0,1,0,0,13,1,4,56,7,2,0.343 ,0.856 
김강민,71837,2018,80,267,235,70,14,0,14,126,46,10,6,5,0,22,0,5,57,1,2,0.274 ,0.951 
박용택,72133,2018,134,583,524,159,38,1,15,244,76,3,3,0,7,47,0,5,107,21,0,0.285 ,0.844 
최형우,72443,2018,143,609,528,179,34,1,25,290,103,3,0,0,8,66,7,7,87,17,4,0.342 ,1.000 
손주인,72456,2018,98,297,265,63,10,0,4,85,28,3,0,10,4,11,0,7,40,11,5,0.233 ,0.551 
문규현,72546,2018,122,349,316,87,19,1,6,126,41,3,1,9,6,18,0,0,45,9,13,0.274 ,0.721 
박경수,73113,2018,135,528,458,120,21,0,25,216,74,4,1,0,3,58,2,9,129,16,14,0.288 ,0.780 
이성열,73136,2018,131,528,485,143,21,1,34,268,102,9,7,1,2,35,3,5,143,9,4,0.283 ,0.955 
나주환,73209,2018,119,420,362,95,24,0,12,155,56,5,6,13,2,38,0,5,66,2,13,0.322 ,0.944 
이택근,73342,2018,104,356,308,95,25,1,4,134,52,1,0,3,4,32,0,9,44,14,2,0.368 ,0.935 
이용규,74163,2018,134,575,491,144,14,1,1,163,36,30,11,8,5,59,0,12,62,8,6,0.327 ,0.818 
김재호,74206,2018,131,467,402,125,20,0,16,193,75,6,2,3,6,52,1,4,77,12,12,0.350 ,0.976 
윤석민,74215,2018,132,509,460,127,22,0,19,206,60,4,1,2,3,40,2,4,69,17,7,0.220 ,0.639 
유한준,74339,2018,121,480,428,145,21,1,20,228,83,1,1,2,1,47,3,2,53,9,0,0.385 ,1.170 
박석민,74465,2018,103,375,318,81,14,1,16,145,55,1,0,0,3,39,4,15,80,11,4,0.232 ,0.821 
강민호,74540,2018,129,477,427,115,14,0,22,195,71,0,0,0,7,29,5,14,96,11,8,0.225 ,0.766 
박병호,75125,2018,113,488,400,138,20,0,43,287,112,0,1,0,3,68,10,17,114,9,11,0.312 ,0.964 
오재일,75334,2018,123,477,401,112,19,2,27,216,80,1,1,0,10,60,2,6,121,3,4,0.215 ,0.820 
이원석,75566,2018,128,543,479,144,30,1,20,236,93,2,1,0,5,52,1,7,103,10,9,0.302 ,0.959 
정근우,75808,2018,102,425,375,114,24,1,11,173,57,6,5,1,3,39,1,7,43,12,11,0.326 ,0.916 
최정,75847,2018,115,489,406,99,16,1,35,222,74,9,2,0,2,58,2,23,129,10,11,0.235 ,0.923 
이병규,76100,2018,103,257,198,54,11,1,10,97,39,0,0,0,2,50,1,7,58,5,1,0.290 ,0.947 
양의지,76232,2018,133,503,439,157,29,1,23,257,77,6,0,0,6,45,6,13,40,13,3,0.317 ,0.949 
민병헌,76249,2018,118,494,443,141,21,0,17,213,66,8,3,2,6,35,3,8,68,10,1,0.283 ,0.753 
최주환,76267,2018,138,590,519,173,39,6,26,302,108,1,0,0,10,51,1,10,89,5,3,0.368 ,1.228 
김현수,76290,2018,117,511,453,164,39,2,20,267,101,1,3,0,10,47,6,1,61,9,5,0.419 ,1.241 
황재균,76313,2018,142,588,530,157,41,3,25,279,88,14,7,2,3,49,1,4,120,5,17,0.252 ,0.773 
송광민,76753,2018,113,460,434,129,24,0,18,207,79,4,4,0,4,18,0,4,93,13,12,0.243 ,0.716 
김성현,76802,2018,135,462,415,115,19,1,4,148,55,6,2,6,3,29,0,9,42,19,17,0.333 ,0.814 
이재원,76812,2018,130,471,407,134,24,0,17,209,57,0,0,4,5,43,0,12,65,13,11,0.308 ,0.861 
이명기,76849,2018,120,502,447,135,28,6,4,187,42,12,5,11,1,40,3,3,64,5,2,0.246 ,0.655 
오재원,77248,2018,132,521,473,148,24,1,15,219,81,15,6,3,2,41,0,2,119,13,17,0.338 ,0.892 
채태인,77463,2018,130,420,376,110,18,0,15,173,75,0,0,1,4,34,3,5,107,10,4,0.328 ,0.980 
손아섭,77532,2018,141,625,553,182,32,5,26,302,93,20,3,1,1,68,1,2,99,15,4,0.360 ,1.064 
김민성,77564,2018,128,465,413,117,24,0,10,171,45,1,0,1,5,40,3,6,80,6,7,0.231 ,0.689 
이형종,78135,2018,118,485,437,138,27,0,13,204,42,6,4,5,0,31,0,12,82,6,1,0.292 ,0.721 
김재환,78224,2018,139,602,527,176,36,1,44,346,133,2,0,0,7,59,4,9,134,6,4,0.295 ,0.963 
최재훈,78288,2018,128,341,298,78,17,0,1,98,27,8,0,6,2,20,0,15,61,8,5,0.253 ,0.662 
전준우,78513,2018,144,614,556,190,36,2,33,329,90,7,7,1,2,48,1,7,82,12,3,0.379 ,1.101 
장성우,78548,2018,127,393,356,92,13,0,13,144,48,1,1,1,2,32,0,2,82,8,9,0.239 ,0.588 
김선빈,78603,2018,127,492,424,125,17,2,4,158,49,4,1,6,5,48,1,9,42,10,12,0.304 ,0.780 
나지완,78629,2018,114,379,317,86,18,0,26,182,78,0,0,0,5,38,2,19,81,14,0,0.250 ,0.905 
모창민,78813,2018,81,314,287,80,10,1,17,143,62,2,3,0,4,21,0,2,51,10,9,0.338 ,0.954 
오지환,79109,2018,144,617,533,148,26,2,11,211,71,10,5,12,6,59,3,7,146,6,24,0.357 ,1.041 
정주현,79150,2018,115,339,303,79,14,2,6,115,31,18,3,6,1,27,0,2,68,9,15,0.277 ,0.727 
채은성,79192,2018,139,578,529,175,36,2,25,290,119,3,1,0,5,35,1,9,97,12,3,0.362 ,1.001 
박건우,79215,2018,125,529,488,159,24,6,12,231,84,7,3,1,2,28,1,10,65,14,1,0.373 ,1.031 
허경민,79240,2018,133,577,516,167,30,5,10,237,79,20,4,5,8,32,0,16,52,15,7,0.350 ,0.973 
김상수,79402,2018,122,499,453,119,13,1,10,164,50,12,9,8,3,27,0,8,91,11,16,0.200 ,0.527 
안치홍,79608,2018,130,549,494,169,38,1,23,278,118,5,1,0,9,36,1,10,57,13,8,0.403 ,1.190 
이진영,99810,2018,110,312,283,90,17,1,3,118,39,2,1,1,3,25,1,0,35,3,0,0.305 ,0.763 
오태곤,60558,2019,123,392,352,88,16,1,6,124,35,19,2,3,2,31,0,4,78,8,9,0.220 ,0.568 
이상호,60566,2019,102,256,234,65,7,0,0,72,12,10,5,8,3,9,0,2,22,10,5,0.179 ,0.405 
유강남,61102,2019,132,468,418,113,22,0,16,183,49,0,0,1,6,30,2,13,82,21,7,0.210 ,0.641 
이천웅,61186,2019,138,613,546,168,24,3,2,204,48,21,10,4,1,57,1,5,82,13,1,0.333 ,0.818 
최영진,61197,2019,96,275,251,63,15,1,5,95,20,4,1,8,0,14,2,2,47,4,8,0.228 ,0.558 
고종욱,61353,2019,137,513,492,159,25,7,3,207,56,31,10,0,2,18,1,1,89,5,3,0.341 ,0.763 
김헌곤,61404,2019,114,467,411,122,20,1,5,159,46,10,8,5,6,37,1,8,41,18,0,0.313 ,0.881 
이원재,62025,2019,94,285,256,66,11,0,8,101,36,1,2,5,3,20,0,1,47,5,4,0.279 ,0.781 
류지혁,62234,2019,118,316,276,69,6,2,0,79,34,18,5,6,3,24,0,7,40,6,11,0.263 ,0.666 
박세혁,62244,2019,137,505,441,123,19,9,4,172,63,8,2,10,6,41,1,7,68,5,8,0.291 ,0.758 
김규민,62356,2019,94,250,222,55,8,1,3,74,24,2,4,0,2,22,0,4,68,4,1,0.212 ,0.751 
구자욱,62404,2019,122,526,475,127,27,6,15,211,71,11,3,0,6,38,2,7,88,5,2,0.302 ,0.894 
박해민,62415,2019,144,581,506,121,16,7,5,166,44,24,7,12,3,58,0,2,82,4,2,0.239 ,0.629 
신본기,62556,2019,121,413,375,96,9,0,1,108,26,3,3,5,1,24,1,8,62,9,15,0.223 ,0.562 
한동민,62895,2019,125,502,427,113,20,0,12,169,52,0,1,0,0,55,4,20,100,6,4,0.264 ,0.823 
박민우,62907,2019,125,526,468,161,23,8,1,203,45,18,7,2,6,41,1,9,40,10,9,0.333 ,0.831 
노진혁,62931,2019,110,390,348,92,23,2,13,158,43,0,1,6,3,31,2,2,80,7,5,0.241 ,0.700 
김성욱,62934,2019,116,333,287,66,16,1,9,111,36,6,4,9,5,29,1,3,69,4,2,0.297 ,0.950 
노수광,63704,2019,117,445,388,97,16,1,2,121,28,27,10,9,0,46,0,2,68,1,3,0.333 ,0.847 
한승택,63722,2019,105,288,251,56,9,1,3,76,27,1,0,7,2,27,1,1,82,8,5,0.294 ,0.737 
권희동,63963,2019,116,413,348,89,17,0,6,124,41,3,0,5,3,50,1,7,60,10,4,0.227 ,0.663 
김민혁,64004,2019,127,521,466,131,10,1,0,143,32,22,10,5,5,32,0,13,61,8,4,0.257 ,0.609 
심우준,64006,2019,138,433,391,109,13,1,3,133,28,24,3,12,1,23,0,6,68,7,11,0.253 ,0.639 
김하성,64300,2019,139,625,540,166,38,2,19,265,104,33,4,1,7,70,4,7,80,12,20,0.364 ,1.069 
임병욱,64346,2019,117,419,379,92,17,5,0,119,41,10,2,6,0,23,0,11,110,6,4,0.267 ,0.728 
이창진,64560,2019,133,470,400,108,25,1,6,153,48,8,8,4,5,57,0,4,92,8,5,0.267 ,0.757 
박찬호,64646,2019,133,541,504,131,15,4,2,160,49,39,6,5,2,26,0,4,83,8,16,0.308 ,0.682 
김태진,64984,2019,123,399,374,103,14,5,5,142,46,12,4,5,3,16,0,1,67,3,3,0.296 ,0.827 
송성문,65357,2019,103,335,308,70,12,5,3,101,34,2,1,4,4,19,0,0,53,7,7,0.229 ,0.630 
강로한,65515,2019,104,306,288,69,15,6,4,108,25,7,1,1,1,13,0,3,107,3,20,0.276 ,0.742 
최원준,66606,2019,90,255,232,46,11,3,1,66,18,8,4,2,1,16,0,4,51,4,6,0.232 ,0.640 
장진혁,66706,2019,113,349,315,80,16,5,1,109,24,13,5,2,1,26,0,5,74,4,3,0.234 ,0.623 
로하스,67025,2019,142,578,521,168,30,3,24,276,104,4,4,0,5,49,5,3,120,4,6,0.297 ,0.889 
김혜성,67304,2019,122,387,348,96,16,7,0,126,32,20,3,4,4,29,1,2,85,4,15,0.271 ,0.755 
이정후,67341,2019,140,630,574,193,31,10,6,262,68,13,7,3,4,45,0,4,40,15,2,0.307 ,0.806 
러프,67450,2019,133,568,472,138,35,2,22,243,101,6,3,0,9,80,6,7,87,18,5,0.317 ,0.983 
로맥,67872,2019,137,589,504,139,28,1,29,256,95,6,3,0,6,73,3,6,117,11,4,0.266 ,0.837 
강백호,68050,2019,116,505,438,147,29,1,13,217,65,9,5,0,4,61,4,2,87,11,3,0.284 ,0.833 
샌즈,68345,2019,139,613,525,160,39,1,28,285,113,1,2,0,5,77,1,6,101,17,5,0.302 ,0.917 
호잉,68730,2019,124,525,476,135,26,2,18,219,73,22,7,1,5,38,5,5,90,6,2,0.262 ,0.774 
정은원,68743,2019,142,624,564,148,27,6,8,211,57,14,7,6,6,48,0,0,101,6,13,0.241 ,0.662 
페르난데스,69209,2019,144,645,572,197,34,0,15,276,88,1,2,0,6,61,4,6,54,16,3,0.313 ,0.906 
이학주,69453,2019,118,436,385,101,14,3,7,142,36,15,5,5,4,32,0,10,89,3,19,0.232 ,0.655 
윌슨,69569,2019,68,268,231,58,15,0,9,100,37,1,2,0,1,31,0,5,60,8,4,0.274 ,0.827 
터커,69652,2019,95,399,357,111,33,0,9,171,50,0,0,0,1,38,0,3,44,12,4,0.293 ,0.795 
김주찬,70410,2019,100,363,337,101,16,0,3,126,32,3,1,1,3,17,3,5,44,6,6,0.250 ,0.637 
이대호,71564,2019,135,549,485,138,23,1,16,211,88,0,0,0,7,47,4,10,65,19,1,0.290 ,0.850 
김태균,71752,2019,127,500,433,132,21,0,6,171,62,3,0,0,8,54,5,5,94,15,1,0.301 ,0.805 
김강민,71837,2019,127,460,422,114,14,2,8,156,50,15,8,0,3,31,3,4,103,2,3,0.298 ,0.770 
최형우,72443,2019,136,555,456,137,31,1,17,221,86,0,1,0,7,85,6,7,77,13,0,0.263 ,0.859 
박경수,73113,2019,137,490,421,104,24,0,10,158,65,0,1,4,6,55,1,4,102,14,9,0.281 ,0.815 
이성열,73136,2019,129,476,414,106,21,1,21,192,85,8,4,1,4,48,1,9,114,7,5,0.314 ,0.986 
김재호,74206,2019,130,470,377,101,22,0,4,135,48,3,3,8,11,67,3,7,58,10,10,0.257 ,0.773 
유한준,74339,2019,139,562,501,159,19,1,14,222,86,3,0,0,5,52,1,4,61,20,2,0.373 ,0.933 
박석민,74465,2019,112,444,360,96,17,1,19,172,74,1,2,4,3,65,2,12,69,17,11,0.280 ,0.913 
강민호,74540,2019,112,393,346,81,20,0,13,140,45,0,0,2,3,33,2,9,76,9,8,0.235 ,0.809 
박병호,75125,2019,122,532,432,121,22,0,33,242,98,0,1,0,9,78,5,13,117,7,6,0.291 ,0.922 
정의윤,75151,2019,110,419,380,107,24,0,13,170,59,0,0,0,2,30,1,6,60,9,1,0.279 ,0.729 
오재일,75334,2019,130,529,467,137,29,1,21,231,102,2,1,0,4,55,1,3,99,5,4,0.344 ,1.053 
이원석,75566,2019,111,455,395,97,20,0,19,174,76,2,1,2,7,43,0,8,73,10,13,0.304 ,0.971 
정근우,75808,2019,88,305,277,77,10,1,3,98,30,8,5,3,1,20,1,4,43,11,6,0.361 ,0.934 
최정,75847,2019,141,606,503,147,27,0,29,261,99,3,2,0,8,69,6,26,92,4,14,0.333 ,1.048 
양의지,76232,2019,118,459,390,138,26,0,20,224,68,4,3,0,6,48,4,15,43,13,2,0.364 ,1.025 
민병헌,76249,2019,101,420,369,112,24,2,9,167,43,13,6,1,3,42,0,5,55,9,2,0.289 ,0.820 
최주환,76267,2019,87,325,285,79,13,0,4,104,47,0,0,0,11,28,0,1,35,10,3,0.281 ,0.713 
김현수,76290,2019,140,595,526,160,37,0,11,230,82,3,1,0,9,54,9,6,52,11,1,0.329 ,0.938 
황재균,76313,2019,124,507,448,127,16,3,20,209,67,10,7,0,5,52,2,2,71,10,11,0.262 ,0.722 
송광민,76753,2019,122,486,454,120,21,0,7,162,51,8,2,3,5,21,0,3,91,18,16,0.261 ,0.679 
김성현,76802,2019,144,472,426,105,16,2,1,128,34,6,2,8,3,33,0,2,43,15,26,0.216 ,0.537 
이재원,76812,2019,139,502,451,121,19,0,12,176,75,1,0,1,7,34,2,9,59,16,6,0.303 ,0.832 
이명기,76849,2019,80,302,265,75,10,2,1,92,21,4,3,3,2,28,1,4,41,4,1,0.269 ,0.698 
손아섭,77532,2019,134,568,512,151,22,1,10,205,63,13,8,1,2,52,1,1,92,6,4,0.293 ,0.750 
김민성,77564,2019,107,401,361,94,16,0,8,134,50,2,1,5,1,30,0,4,75,12,6,0.330 ,0.859 
