Player,Date,Tournament,Surface,Round,W/L,Score
Roger Federer,19-03-2007,Miami Masters,Hard,R64,W,"6-4, 6-3"
Roger Federer,05-03-2007,Indian Wells Masters,Hard,R64,L,"7-5, 6-2"
Roger Federer,26-02-2007,Dubai,Hard,F,W,"6-4, 6-3"
Roger Federer,26-02-2007,Dubai,Hard,SF,W,"6-4, 7-5"
Roger Federer,26-02-2007,Dubai,Hard,QF,W,"6-3, 6-7(6), 6-3"
Roger Federer,26-02-2007,Dubai,Hard,R16,W,"7-5, 6-3"
Roger Federer,26-02-2007,Dubai,Hard,R32,W,"7-6(2), 3-6, 6-3"
Roger Federer,15-01-2007,Australian Open,Hard,F,W,"7-6(2), 6-4, 6-4"
Roger Federer,15-01-2007,Australian Open,Hard,SF,W,"6-4, 6-0, 6-2"
Roger Federer,15-01-2007,Australian Open,Hard,QF,W,"6-3, 7-6(2), 7-5"
Roger Federer,15-01-2007,Australian Open,Hard,R16,W,"6-2, 7-5, 6-3"
Roger Federer,15-01-2007,Australian Open,Hard,R32,W,"6-3, 6-3, 7-6(5)"
Roger Federer,15-01-2007,Australian Open,Hard,R64,W,"6-2, 6-3, 6-2"
Roger Federer,15-01-2007,Australian Open,Hard,R128,W,"7-5, 6-0, 6-4"
Roger Federer,13-11-2006,Masters Cup,Hard (i),F,W,"6-0, 6-3, 6-4"
Roger Federer,13-11-2006,Masters Cup,Hard (i),SF,W,"6-4, 7-5"
Roger Federer,13-11-2006,Masters Cup,Hard (i),RR,W,"7-6(2), 6-4"
Roger Federer,13-11-2006,Masters Cup,Hard (i),RR,W,"4-6, 7-6(8), 6-4"
Roger Federer,13-11-2006,Masters Cup,Hard (i),RR,W,"3-6, 6-1, 6-1"
Roger Federer,23-10-2006,Basel,Carpet,F,W,"6-3, 6-2, 7-6(3)"
Roger Federer,23-10-2006,Basel,Carpet,SF,W,"6-4, 3-6, 7-6(5)"
Roger Federer,23-10-2006,Basel,Carpet,QF,W,"6-3, 7-6(14)"
Roger Federer,23-10-2006,Basel,Carpet,R16,W,"6-2, 6-0"
Roger Federer,23-10-2006,Basel,Carpet,R32,W,"6-1, 6-2"
Roger Federer,16-10-2006,Madrid Masters,Hard (i),F,W,"7-5, 6-1, 6-0"
Roger Federer,16-10-2006,Madrid Masters,Hard (i),SF,W,"6-4, 6-0"
Roger Federer,16-10-2006,Madrid Masters,Hard (i),QF,W,"6-3, 7-6(4)"
Roger Federer,16-10-2006,Madrid Masters,Hard (i),R16,W,"7-6(5), 7-6(8)"
Roger Federer,16-10-2006,Madrid Masters,Hard (i),R32,W,"6-3, 6-2"
Roger Federer,02-10-2006,Tokyo,Hard,F,W,"6-3, 6-3"
Roger Federer,02-10-2006,Tokyo,Hard,SF,W,"6-3, 6-4"
Roger Federer,02-10-2006,Tokyo,Hard,QF,W,"4-6, 7-5, 7-6(3)"
Roger Federer,02-10-2006,Tokyo,Hard,R16,W,"6-2, 6-1"
Roger Federer,02-10-2006,Tokyo,Hard,R32,W,"7-6(2), 7-6(3)"
Roger Federer,22-09-2006,Davis Cup WG,Hard,RR,W,"6-3, 6-2, 6-3"
Roger Federer,22-09-2006,Davis Cup WG,Hard,RR,W,"6-3, 6-2, 6-2"
Roger Federer,28-08-2006,US Open,Hard,F,W,"6-2, 4-6, 7-5, 6-1"
Roger Federer,28-08-2006,US Open,Hard,SF,W,"6-1, 7-5, 6-4"
Roger Federer,28-08-2006,US Open,Hard,QF,W,"7-6(7), 6-0, 6-7(9), 6-4"
Roger Federer,28-08-2006,US Open,Hard,R16,W,"6-3, 7-6(2), 6-3"
Roger Federer,28-08-2006,US Open,Hard,R32,W,"6-3, 6-3, 6-0"
Roger Federer,28-08-2006,US Open,Hard,R64,W,"6-3, 6-4, 7-5"
Roger Federer,28-08-2006,US Open,Hard,R128,W,"6-4, 6-1, 6-0"
Roger Federer,14-08-2006,Cincinnati Masters,Hard,R32,L,"7-5, 6-4"
Roger Federer,14-08-2006,Cincinnati Masters,Hard,R64,W,"7-5, 6-4"
Roger Federer,07-08-2006,Canada Masters,Hard,F,W,"2-6, 6-3, 6-2"
Roger Federer,07-08-2006,Canada Masters,Hard,SF,W,"6-1, 5-7, 6-3"
Roger Federer,07-08-2006,Canada Masters,Hard,QF,W,"7-6(4), 6-7(5), 6-3"
Roger Federer,07-08-2006,Canada Masters,Hard,R16,W,"6-3, 5-7, 6-0"
Roger Federer,07-08-2006,Canada Masters,Hard,R32,W,"6-3, 6-3"
Roger Federer,07-08-2006,Canada Masters,Hard,R64,W,"6-3, 6-4"
Roger Federer,26-06-2006,Wimbledon,Grass,F,W,"6-0, 7-6(5), 6-7(2), 6-3"
Roger Federer,26-06-2006,Wimbledon,Grass,SF,W,"6-2, 6-0, 6-2"
Roger Federer,26-06-2006,Wimbledon,Grass,QF,W,"6-4, 6-4, 6-4"
Roger Federer,26-06-2006,Wimbledon,Grass,R16,W,"6-3, 6-3, 6-4"
Roger Federer,26-06-2006,Wimbledon,Grass,R32,W,"6-3, 7-6(2), 6-4"
Roger Federer,26-06-2006,Wimbledon,Grass,R64,W,"6-4, 6-0, 6-2"
Roger Federer,26-06-2006,Wimbledon,Grass,R128,W,"6-3, 6-2, 6-2"
Roger Federer,12-06-2006,Halle,Grass,F,W,"6-0, 6-7(4), 6-2"
Roger Federer,12-06-2006,Halle,Grass,SF,W,"6-4, 6-7(4), 6-3"
Roger Federer,12-06-2006,Halle,Grass,QF,W,"6-7(2), 7-6(9), 7-6(5)"
Roger Federer,12-06-2006,Halle,Grass,R16,W,"7-6(7), 6-7(7), 6-4"
Roger Federer,12-06-2006,Halle,Grass,R32,W,"7-6(4), 6-2"
Roger Federer,29-05-2006,Roland Garros,Clay,F,L,"1-6, 6-1, 6-4, 7-6(4)"
Roger Federer,29-05-2006,Roland Garros,Clay,SF,W R,"3-6, 6-4, 5-2, RET"
Roger Federer,29-05-2006,Roland Garros,Clay,QF,W,"6-4, 6-3, 6-4"
Roger Federer,29-05-2006,Roland Garros,Clay,R16,W,"6-3, 6-2, 6-3"
Roger Federer,29-05-2006,Roland Garros,Clay,R32,W,"6-1, 6-2, 6-7(4), 7-5"
Roger Federer,29-05-2006,Roland Garros,Clay,R64,W,"6-1, 6-4, 6-3"
Roger Federer,29-05-2006,Roland Garros,Clay,R128,W,"7-5, 7-6(2), 6-2"
Roger Federer,08-05-2006,Rome Masters,Clay,F,L,"6-7(0), 7-6(5), 6-4, 2-6, 7-6(5)"
Roger Federer,08-05-2006,Rome Masters,Clay,SF,W,"6-3, 3-6, 7-6(5)"
Roger Federer,08-05-2006,Rome Masters,Clay,QF,W,"6-3, 6-7(2), 7-5"
Roger Federer,08-05-2006,Rome Masters,Clay,R16,W,"6-1, 6-4"
Roger Federer,08-05-2006,Rome Masters,Clay,R32,W,"6-3, 7-6(2)"
Roger Federer,08-05-2006,Rome Masters,Clay,R64,W,"6-2, 6-1"
Roger Federer,17-04-2006,Monte Carlo Masters,Clay,F,L,"6-2, 6-7(2), 6-3, 7-6(5)"
Roger Federer,17-04-2006,Monte Carlo Masters,Clay,SF,W,"6-2, 6-4"
Roger Federer,17-04-2006,Monte Carlo Masters,Clay,QF,W,"6-1, 6-3"
Roger Federer,17-04-2006,Monte Carlo Masters,Clay,R16,W,"6-3, 6-2"
Roger Federer,17-04-2006,Monte Carlo Masters,Clay,R32,W,"6-0, 6-1"
Roger Federer,17-04-2006,Monte Carlo Masters,Clay,R64,W,"6-3, 2-6, 6-3"
Roger Federer,20-03-2006,Miami Masters,Hard,F,W,"7-6(5), 7-6(4), 7-6(6)"
Roger Federer,20-03-2006,Miami Masters,Hard,SF,W,"6-1, 6-4"
Roger Federer,20-03-2006,Miami Masters,Hard,QF,W,"7-6(2), 6-4"
Roger Federer,20-03-2006,Miami Masters,Hard,R16,W,"6-3, 6-3"
Roger Federer,20-03-2006,Miami Masters,Hard,R32,W,"6-1, 6-3"
Roger Federer,20-03-2006,Miami Masters,Hard,R64,W,"6-2, 6-7(4), 6-0"
Roger Federer,06-03-2006,Indian Wells Masters,Hard,F,W,"7-5, 6-3, 6-0"
Roger Federer,06-03-2006,Indian Wells Masters,Hard,SF,W,"6-2, 6-3"
Roger Federer,06-03-2006,Indian Wells Masters,Hard,QF,W,"6-2, 6-3"
Roger Federer,06-03-2006,Indian Wells Masters,Hard,R16,W,"6-3, 6-4"
Roger Federer,06-03-2006,Indian Wells Masters,Hard,R32,W,"3-6, 6-2, 7-5"
Roger Federer,06-03-2006,Indian Wells Masters,Hard,R64,W,"6-3, 7-6(4)"
Roger Federer,27-02-2006,Dubai,Hard,F,L,"2-6, 6-4, 6-4"
Roger Federer,27-02-2006,Dubai,Hard,SF,W,"6-2, 6-3"
Roger Federer,27-02-2006,Dubai,Hard,QF,W,"6-3, 6-2"
Roger Federer,27-02-2006,Dubai,Hard,R16,W,"7-6(5), 6-4"
Roger Federer,27-02-2006,Dubai,Hard,R32,W,"7-6(3), 6-3"
Roger Federer,16-01-2006,Australian Open,Hard,F,W,"5-7, 7-5, 6-0, 6-2"
Roger Federer,16-01-2006,Australian Open,Hard,SF,W,"6-3, 5-7, 6-0, 6-2"
Roger Federer,16-01-2006,Australian Open,Hard,QF,W,"6-4, 3-6, 7-6(7), 7-6(5)"
Roger Federer,16-01-2006,Australian Open,Hard,R16,W,"6-4, 6-0, 3-6, 4-6, 6-2"
Roger Federer,16-01-2006,Australian Open,Hard,R32,W,"6-3, 6-4, 6-3"
Roger Federer,16-01-2006,Australian Open,Hard,R64,W,"6-1, 6-4, 6-0"
Roger Federer,16-01-2006,Australian Open,Hard,R128,W,"6-2, 6-3, 6-2"
Roger Federer,02-01-2006,Doha,Hard,F,W,"6-3, 7-6(5)"
Roger Federer,02-01-2006,Doha,Hard,SF,W,"6-3, 6-3"
Roger Federer,02-01-2006,Doha,Hard,QF,W,"6-4, 6-3"
Roger Federer,02-01-2006,Doha,Hard,R16,W,"7-6(2), 7-6(5)"
Roger Federer,02-01-2006,Doha,Hard,R32,W,"6-1, 6-3"
Roger Federer,14-11-2005,Masters Cup,Carpet,F,L,"6-7(4), 6-7(11), 6-2, 6-1, 7-6(3)"
Roger Federer,14-11-2005,Masters Cup,Carpet,SF,W,"6-0, 6-0"
Roger Federer,14-11-2005,Masters Cup,Carpet,RR,W,"6-0, 1-6, 6-2"
Roger Federer,14-11-2005,Masters Cup,Carpet,RR,W,"6-3, 2-6, 7-6(4)"
Roger Federer,14-11-2005,Masters Cup,Carpet,RR,W,"6-3, 2-6, 6-4"
Roger Federer,26-09-2005,Bangkok,Hard (i),F,W,"6-3, 7-5"
Roger Federer,26-09-2005,Bangkok,Hard (i),SF,W,"6-3, 6-4"
Roger Federer,26-09-2005,Bangkok,Hard (i),QF,W,"6-4, 6-3"
Roger Federer,26-09-2005,Bangkok,Hard (i),R16,W,"6-3, 6-2"
Roger Federer,26-09-2005,Bangkok,Hard (i),R32,W,"7-6(4), 6-4"
Roger Federer,23-09-2005,Davis Cup WG,Clay,RR,W,"6-0, 6-0, 6-2"
Roger Federer,29-08-2005,US Open,Hard,F,W,"6-3, 2-6, 7-6(1), 6-1"
Roger Federer,29-08-2005,US Open,Hard,SF,W,"6-3, 7-6(0), 4-6, 6-3"
Roger Federer,29-08-2005,US Open,Hard,QF,W,"6-2, 6-4, 6-1"
Roger Federer,29-08-2005,US Open,Hard,R16,W,"6-4, 6-7(3), 6-3, 6-4"
Roger Federer,29-08-2005,US Open,Hard,R32,W,"6-3, 7-6(6), 6-2"
Roger Federer,29-08-2005,US Open,Hard,R64,W,"7-5, 7-5, 7-6(2)"
Roger Federer,29-08-2005,US Open,Hard,R128,W,"6-1, 6-1, 6-1"
Roger Federer,15-08-2005,Cincinnati Masters,Hard,F,W,"6-3, 7-5"
Roger Federer,15-08-2005,Cincinnati Masters,Hard,SF,W,"4-6, 7-5, 6-4"
Roger Federer,15-08-2005,Cincinnati Masters,Hard,QF,W,"6-4, 6-3"
Roger Federer,15-08-2005,Cincinnati Masters,Hard,R16,W,"6-3, 6-4"
Roger Federer,15-08-2005,Cincinnati Masters,Hard,R32,W,"4-6, 6-4, 6-4"
Roger Federer,15-08-2005,Cincinnati Masters,Hard,R64,W,"7-6(3), 7-5"
Roger Federer,20-06-2005,Wimbledon,Grass,F,W,"6-2, 7-6(2), 6-4"
Roger Federer,20-06-2005,Wimbledon,Grass,SF,W,"6-3, 6-4, 7-6(4)"
Roger Federer,20-06-2005,Wimbledon,Grass,QF,W,"7-5, 6-2, 7-6(2)"
Roger Federer,20-06-2005,Wimbledon,Grass,R16,W,"6-3, 6-4, 7-6(6)"
Roger Federer,20-06-2005,Wimbledon,Grass,R32,W,"6-2, 6-7(5), 6-1, 7-5"
Roger Federer,20-06-2005,Wimbledon,Grass,R64,W,"6-4, 6-4, 6-1"
Roger Federer,20-06-2005,Wimbledon,Grass,R128,W,"6-4, 6-2, 6-4"
Roger Federer,06-06-2005,Halle,Grass,F,W,"6-4, 6-7(6), 6-4"
Roger Federer,06-06-2005,Halle,Grass,SF,W,"6-4, 7-6(9)"
Roger Federer,06-06-2005,Halle,Grass,QF,W,"6-3, 6-4"
Roger Federer,06-06-2005,Halle,Grass,R16,W,"6-2, 6-4"
Roger Federer,06-06-2005,Halle,Grass,R32,W,"6-7(5), 7-6(6), 6-4"
Roger Federer,23-05-2005,Roland Garros,Clay,SF,L,"6-3, 4-6, 6-4, 6-3"
Roger Federer,23-05-2005,Roland Garros,Clay,QF,W,"6-2, 7-6(3), 6-3"
Roger Federer,23-05-2005,Roland Garros,Clay,R16,W,"6-1, 6-4, 6-3"
Roger Federer,23-05-2005,Roland Garros,Clay,R32,W,"7-6(9), 7-5, 6-2"
Roger Federer,23-05-2005,Roland Garros,Clay,R64,W,"6-3, 7-6(0), 6-2"
Roger Federer,23-05-2005,Roland Garros,Clay,R128,W,"6-1, 6-4, 6-0"
Roger Federer,09-05-2005,Hamburg Masters,Clay,F,W,"6-3, 7-5, 7-6(4)"
Roger Federer,09-05-2005,Hamburg Masters,Clay,SF,W,"6-3, 6-4"
Roger Federer,09-05-2005,Hamburg Masters,Clay,QF,W,"6-4, 7-6(3)"
Roger Federer,09-05-2005,Hamburg Masters,Clay,R16,W,"6-2, 6-3"
Roger Federer,09-05-2005,Hamburg Masters,Clay,R32,W,"6-2, 6-1"
Roger Federer,09-05-2005,Hamburg Masters,Clay,R64,W,"6-4, 6-3"
Roger Federer,11-04-2005,Monte Carlo Masters,Clay,QF,L,"6-7(1), 6-2, 7-6(8)"
Roger Federer,11-04-2005,Monte Carlo Masters,Clay,R16,W,"6-2, 6-7(3), 6-4"
Roger Federer,11-04-2005,Monte Carlo Masters,Clay,R32,W,"6-3, 6-4"
Roger Federer,11-04-2005,Monte Carlo Masters,Clay,R64,W,"6-3, 6-1"
Roger Federer,21-03-2005,Miami Masters,Hard,F,W,"2-6, 6-7(4), 7-6(5), 6-3, 6-1"
Roger Federer,21-03-2005,Miami Masters,Hard,SF,W,"6-4, 6-3"
Roger Federer,21-03-2005,Miami Masters,Hard,QF,W,"6-4, 6-2"
Roger Federer,21-03-2005,Miami Masters,Hard,R16,W,"6-3, 4-6, 6-4"
Roger Federer,21-03-2005,Miami Masters,Hard,R32,W,"6-2, 5-7, 6-3"
Roger Federer,21-03-2005,Miami Masters,Hard,R64,W,"6-3, 6-1"
Roger Federer,07-03-2005,Indian Wells Masters,Hard,F,W,"6-2, 6-4, 6-4"
Roger Federer,07-03-2005,Indian Wells Masters,Hard,SF,W,"6-3, 6-1"
Roger Federer,07-03-2005,Indian Wells Masters,Hard,QF,W,"6-4, 6-1"
Roger Federer,07-03-2005,Indian Wells Masters,Hard,R16,W,"7-6(3), 7-6(4)"
Roger Federer,07-03-2005,Indian Wells Masters,Hard,R32,W,"6-3, 6-2"
Roger Federer,07-03-2005,Indian Wells Masters,Hard,R64,W,"6-3, 6-3"
Roger Federer,21-02-2005,Dubai,Hard,F,W,"6-1, 6-7(6), 6-3"
Roger Federer,21-02-2005,Dubai,Hard,SF,W,"6-3, 6-1"
Roger Federer,21-02-2005,Dubai,Hard,QF,W,"6-3, 7-5"
Roger Federer,21-02-2005,Dubai,Hard,R16,W,"4-6, 6-3, 7-6(6)"
Roger Federer,21-02-2005,Dubai,Hard,R32,W,"6-7(5), 6-3, 7-6(5)"
Roger Federer,14-02-2005,Rotterdam,Hard (i),F,W,"5-7, 7-5, 7-6(5)"
Roger Federer,14-02-2005,Rotterdam,Hard (i),SF,W,"7-5, 6-3"
Roger Federer,14-02-2005,Rotterdam,Hard (i),QF,W,"7-5, 7-5"
Roger Federer,14-02-2005,Rotterdam,Hard (i),R16,W,"6-1, 6-4"
Roger Federer,14-02-2005,Rotterdam,Hard (i),R32,W,"6-3, 6-4"
Roger Federer,17-01-2005,Australian Open,Hard,SF,L,"5-7, 6-4, 5-7, 7-6(6), 9-7"
Roger Federer,17-01-2005,Australian Open,Hard,QF,W,"6-3, 6-4, 6-4"
Roger Federer,17-01-2005,Australian Open,Hard,R16,W,"6-2, 6-2, 7-6(4)"
Roger Federer,17-01-2005,Australian Open,Hard,R32,W R,"6-3, 5-2, RET"
Roger Federer,17-01-2005,Australian Open,Hard,R64,W,"6-3, 6-4, 6-4"
Roger Federer,17-01-2005,Australian Open,Hard,R128,W,"6-1, 6-1, 6-2"
Roger Federer,03-01-2005,Doha,Hard,F,W,"6-3, 6-1"
Roger Federer,03-01-2005,Doha,Hard,SF,W,"6-3, 6-4"
Roger Federer,03-01-2005,Doha,Hard,QF,W,"6-1, 6-2"
Roger Federer,03-01-2005,Doha,Hard,R16,W,"6-3, 6-4"
Roger Federer,03-01-2005,Doha,Hard,R32,W,"6-1, 6-1"
Roger Federer,15-11-2004,Masters Cup,Hard,F,W,"6-3, 6-2"
Roger Federer,15-11-2004,Masters Cup,Hard,SF,W,"6-3, 7-6(18)"
Roger Federer,15-11-2004,Masters Cup,Hard,RR,W,"6-3, 3-6, 6-3"
Roger Federer,15-11-2004,Masters Cup,Hard,RR,W,"6-3, 6-4"
Roger Federer,15-11-2004,Masters Cup,Hard,RR,W,"6-1, 7-6(4)"
Roger Federer,27-09-2004,Bangkok,Hard (i),F,W,"6-4, 6-0"
Roger Federer,27-09-2004,Bangkok,Hard (i),SF,W,"7-5, 2-6, 6-3"
Roger Federer,27-09-2004,Bangkok,Hard (i),QF,W,"7-6(3), 6-4"
Roger Federer,27-09-2004,Bangkok,Hard (i),R16,W,"6-1, 6-3"
Roger Federer,27-09-2004,Bangkok,Hard (i),R32,W,"6-4, 7-6(4)"
Roger Federer,30-08-2004,US Open,Hard,F,W,"6-0, 7-6(3), 6-0"
Roger Federer,30-08-2004,US Open,Hard,SF,W,"6-3, 6-4, 6-4"
Roger Federer,30-08-2004,US Open,Hard,QF,W,"6-3, 2-6, 7-5, 3-6, 6-3"
Roger Federer,30-08-2004,US Open,Hard,R16,W W,W/O
Roger Federer,30-08-2004,US Open,Hard,R32,W,"6-0, 6-4, 7-6(7)"
Roger Federer,30-08-2004,US Open,Hard,R64,W,"6-2, 6-7(4), 6-3, 6-1"
Roger Federer,30-08-2004,US Open,Hard,R128,W,"7-5, 6-2, 6-4"
Roger Federer,16-08-2004,Athens Olympics,Hard,R32,L,"4-6, 7-5, 7-5"
Roger Federer,16-08-2004,Athens Olympics,Hard,R64,W,"6-3, 5-7, 6-1"
Roger Federer,02-08-2004,Cincinnati Masters,Hard,R64,L,"1-6, 7-6(7), 6-4"
Roger Federer,26-07-2004,Canada Masters,Hard,F,W,"7-5, 6-3"
Roger Federer,26-07-2004,Canada Masters,Hard,SF,W,"4-6, 6-3, 6-2"
Roger Federer,26-07-2004,Canada Masters,Hard,QF,W,"7-5, 6-4"
Roger Federer,26-07-2004,Canada Masters,Hard,R16,W,"7-6(3), 7-6(4)"
Roger Federer,26-07-2004,Canada Masters,Hard,R32,W,"7-5, 6-1"
Roger Federer,26-07-2004,Canada Masters,Hard,R64,W,"6-3, 7-5"
Roger Federer,05-07-2004,Gstaad,Clay,F,W,"6-2, 6-3, 5-7, 6-3"
Roger Federer,05-07-2004,Gstaad,Clay,SF,W,"6-3, 3-6, 6-3"
Roger Federer,05-07-2004,Gstaad,Clay,QF,W,"6-1, 5-7, 6-4"
Roger Federer,05-07-2004,Gstaad,Clay,R16,W,"6-7(5), 6-3, 7-6(4)"
Roger Federer,05-07-2004,Gstaad,Clay,R32,W,"6-1, 6-1"
Roger Federer,21-06-2004,Wimbledon,Grass,F,W,"4-6, 7-5, 7-6(3), 6-4"
Roger Federer,21-06-2004,Wimbledon,Grass,SF,W,"6-2, 6-3, 7-6(6)"
Roger Federer,21-06-2004,Wimbledon,Grass,QF,W,"6-1, 6-7(1), 6-0, 6-4"
Roger Federer,21-06-2004,Wimbledon,Grass,R16,W,"6-3, 7-6(3), 7-6(5)"
Roger Federer,21-06-2004,Wimbledon,Grass,R32,W,"6-3, 6-4, 6-3"
Roger Federer,21-06-2004,Wimbledon,Grass,R64,W,"6-1, 6-2, 6-0"
Roger Federer,21-06-2004,Wimbledon,Grass,R128,W,"6-3, 6-3, 6-0"
Roger Federer,07-06-2004,Halle,Grass,F,W,"6-0, 6-3"
Roger Federer,07-06-2004,Halle,Grass,SF,W,"6-3, 6-4"
Roger Federer,07-06-2004,Halle,Grass,QF,W,"6-3, 7-5"
Roger Federer,07-06-2004,Halle,Grass,R16,W,"6-2, 6-1"
Roger Federer,07-06-2004,Halle,Grass,R32,W,"6-3, 6-2"
Roger Federer,24-05-2004,Roland Garros,Clay,R32,L,"6-4, 6-4, 6-4"
Roger Federer,24-05-2004,Roland Garros,Clay,R64,W,"6-3, 6-4, 7-6(6)"
Roger Federer,24-05-2004,Roland Garros,Clay,R128,W,"6-1, 6-2, 6-1"
Roger Federer,10-05-2004,Hamburg Masters,Clay,F,W,"4-6, 6-4, 6-2, 6-3"
Roger Federer,10-05-2004,Hamburg Masters,Clay,SF,W,"6-0, 6-4"
Roger Federer,10-05-2004,Hamburg Masters,Clay,QF,W,"6-4, 6-3"
Roger Federer,10-05-2004,Hamburg Masters,Clay,R16,W,"7-5, 6-1"
Roger Federer,10-05-2004,Hamburg Masters,Clay,R32,W,"6-3, 6-3"
Roger Federer,10-05-2004,Hamburg Masters,Clay,R64,W,"6-1, 5-7, 6-4"
Roger Federer,03-05-2004,Rome Masters,Clay,R32,L,"3-6, 6-3, 6-2"
Roger Federer,03-05-2004,Rome Masters,Clay,R64,W,"7-6(4), 6-3"
Roger Federer,09-04-2004,Davis Cup WG,Hard,QF,W,"6-2, 7-5, 6-4"
Roger Federer,09-04-2004,Davis Cup WG,Hard,QF,W,"6-2, 6-4, 6-4"
Roger Federer,22-03-2004,Miami Masters,Hard,R32,L,"6-3, 6-3"
Roger Federer,22-03-2004,Miami Masters,Hard,R64,W,"6-2, 3-6, 7-5"
Roger Federer,08-03-2004,Indian Wells Masters,Hard,F,W,"6-3, 6-3"
Roger Federer,08-03-2004,Indian Wells Masters,Hard,SF,W,"4-6, 6-3, 6-4"
Roger Federer,08-03-2004,Indian Wells Masters,Hard,QF,W,"6-2, 6-1"
Roger Federer,08-03-2004,Indian Wells Masters,Hard,R16,W,"6-4, 6-1"
Roger Federer,08-03-2004,Indian Wells Masters,Hard,R32,W,"6-3, 6-2"
Roger Federer,08-03-2004,Indian Wells Masters,Hard,R64,W,"6-1, 6-1"
Roger Federer,01-03-2004,Dubai,Hard,F,W,"4-6, 6-1, 6-2"
Roger Federer,01-03-2004,Dubai,Hard,SF,W,"7-6(7), 6-2"
Roger Federer,01-03-2004,Dubai,Hard,QF,W,"6-3, 6-3"
Roger Federer,01-03-2004,Dubai,Hard,R16,W,"6-3, 6-4"
Roger Federer,01-03-2004,Dubai,Hard,R32,W,"7-6(2), 7-6(4)"
Roger Federer,16-02-2004,Rotterdam,Hard (i),QF,L,"6-3, 7-6(9)"
Roger Federer,16-02-2004,Rotterdam,Hard (i),R16,W,"7-6(2), 7-5"
Roger Federer,16-02-2004,Rotterdam,Hard (i),R32,W,"6-4, 6-3"
Roger Federer,06-02-2004,Davis Cup WG,Clay,R16,W,"6-3, 6-2, 7-5"
Roger Federer,06-02-2004,Davis Cup WG,Clay,R16,W,"7-6(4), 6-3, 6-1"
Roger Federer,19-01-2004,Australian Open,Hard,F,W,"7-6(3), 6-4, 6-2"
Roger Federer,19-01-2004,Australian Open,Hard,SF,W,"6-4, 6-1, 6-4"
Roger Federer,19-01-2004,Australian Open,Hard,QF,W,"7-5, 6-4, 5-7, 6-3"
Roger Federer,19-01-2004,Australian Open,Hard,R16,W,"4-6, 6-3, 6-0, 6-4"
Roger Federer,19-01-2004,Australian Open,Hard,R32,W,"6-3, 6-0, 6-1"
Roger Federer,19-01-2004,Australian Open,Hard,R64,W,"6-2, 6-3, 6-4"
Roger Federer,19-01-2004,Australian Open,Hard,R128,W,"6-3, 6-4, 6-0"
Roger Federer,10-11-2003,Masters Cup,Hard,F,W,"6-3, 6-0, 6-4"
Roger Federer,10-11-2003,Masters Cup,Hard,SF,W,"7-6(2), 6-2"
Roger Federer,10-11-2003,Masters Cup,Hard,RR,W,"6-3, 6-1"
Roger Federer,10-11-2003,Masters Cup,Hard,RR,W,"6-3, 6-0"
Roger Federer,10-11-2003,Masters Cup,Hard,RR,W,"6-7(3), 6-3, 7-6(7)"
Roger Federer,27-10-2003,Paris Masters,Carpet,QF,L,"7-6(5), 6-1"
Roger Federer,27-10-2003,Paris Masters,Carpet,R16,W,"6-7(3), 7-6(12), 7-6(6)"
Roger Federer,27-10-2003,Paris Masters,Carpet,R32,W,"7-6(5), 6-1"
Roger Federer,20-10-2003,Basel,Carpet,R16,L,"7-6(5), 6-7(5), 6-4"
Roger Federer,20-10-2003,Basel,Carpet,R32,W,"6-1, 6-3"
Roger Federer,13-10-2003,Madrid Masters,Hard (i),SF,L,"6-4, 4-6, 6-4"
Roger Federer,13-10-2003,Madrid Masters,Hard (i),QF,W,"4-6, 7-6(3), 6-4"
Roger Federer,13-10-2003,Madrid Masters,Hard (i),R16,W,"6-3, 7-6(4)"
Roger Federer,13-10-2003,Madrid Masters,Hard (i),R32,W,"6-4, 6-3"
Roger Federer,06-10-2003,Vienna,Hard (i),F,W,"6-3, 6-3, 6-3"
Roger Federer,06-10-2003,Vienna,Hard (i),SF,W,"6-2, 7-6(2)"
Roger Federer,06-10-2003,Vienna,Hard (i),QF,W,"6-3, 6-3"
Roger Federer,06-10-2003,Vienna,Hard (i),R16,W,"6-3, 4-6, 6-4"
Roger Federer,06-10-2003,Vienna,Hard (i),R32,W,"6-2, 6-2"
Roger Federer,19-09-2003,Davis Cup WG,Hard,SF,L,"5-7, 2-6, 7-6(4), 7-5, 6-1"
Roger Federer,19-09-2003,Davis Cup WG,Hard,SF,W,"6-3, 6-4, 7-6(3)"
Roger Federer,25-08-2003,US Open,Hard,R16,L,"3-6, 7-6(1), 6-4, 6-3"
Roger Federer,25-08-2003,US Open,Hard,R32,W,"6-3, 7-6(4), 6-3"
Roger Federer,25-08-2003,US Open,Hard,R64,W,"6-1, 6-2, 6-0"
Roger Federer,25-08-2003,US Open,Hard,R128,W R,"5-7, 6-3, 6-3, 2-0, RET"
Roger Federer,11-08-2003,Cincinnati Masters,Hard,R32,L,"7-6(4), 7-6(5)"
Roger Federer,11-08-2003,Cincinnati Masters,Hard,R64,W,"4-6, 6-3, 7-6(10)"
Roger Federer,04-08-2003,Canada Masters,Hard,SF,L,"6-4, 3-6, 7-6(3)"
Roger Federer,04-08-2003,Canada Masters,Hard,QF,W,"6-2, 7-6(3)"
Roger Federer,04-08-2003,Canada Masters,Hard,R16,W,"6-4, 6-3"
Roger Federer,04-08-2003,Canada Masters,Hard,R32,W,"6-4, 6-3"
