시즌,팀,남녀부,경기,세트,득점,공격종합_성공,공격종합_블로킹,공격종합_범실,공격종합_연결,공격종합_시도,공격종합_성공률,오픈_성공,오픈_블로킹,오픈_범실,오픈_연결,오픈_시도,오픈_성공률,속공_성공,속공_블로킹,속공_범실,속공_연결,속공_시도,속공_성공률,퀵오픈_성공,퀵오픈_블로킹,퀵오픈_범실,퀵오픈_연결,퀵오픈_시도,퀵오픈_성공률,시간차_성공,시간차_블로킹,시간차_범실,시간차_연결,시간차_시도,시간차_성공률,이동_성공,이동_블로킹,이동_범실,이동_계속,이동_시도,이동_성공률,후위_성공,후위_블로킹,후위_범실,후위_연결,후위_시도,후위_성공률,블로킹_성공,유효블로킹,블로킹_실패,블로킹_범실,블로킹_연결,블로킹_시도,블로킹_세트당_평균,블로킹_어시스트,서브_성공,서브_범실,서브_연결,서브_시도,서브_세트당_평균,벌칙,개인범실,팀범실,세트_성공,세트_범실,세트_연결,세트_시도,세트_세트당_평균,리시브_정확,리시브_실패,리시브_연결,리시브_시도,리시브_효율,디그_성공,디그_범실,디그_실패,디그_시도,디그_세트당_평균
2017~2018,우리카드,남,36,141,3171,1821,352,268,1040,3481,52.31,651,161,104,515,1431,45.49,227,21,29,136,413,54.96,434,75,43,205,757,57.33,67,10,3,34,114,58.77,2,,,2,4,50,440,85,89,148,762,57.74,268,440,678,39,253,1639,1.9,210,189,522,2470,3181,1.34,1,874,3,1763,40,1771,3574,12.5,1214,204,1252,2670,37.82,1319,452,4,1775,9.354
2017~2018,OK저축은행,남,36,141,3069,1745,344,333,1120,3542,49.26,475,124,117,403,1119,42.44,266,35,28,185,514,51.75,407,76,50,239,772,52.72,120,17,12,52,201,59.7,4,2,2,1,9,44.44,473,90,124,240,927,51.02,290,381,644,32,234,1549,2.056,233,182,606,2301,3089,1.29,,1005,2,1661,32,1851,3544,11.78,1413,217,1124,2754,43.42,1210,415,2,1627,8.581
2017~2018,도로공사,여,30,120,2709,1679,250,198,2181,4308,38.97,716,135,108,1122,2081,34.4,150,12,8,152,322,46.58,388,51,31,433,903,42.96,171,25,14,183,393,43.51,103,7,4,91,205,50.24,151,20,33,200,404,37.37,268,712,569,43,372,1921,2.233,219,143,284,2272,2699,1.191,,570,1,1583,39,2763,4385,13.19,1155,138,1010,2303,44.15,2489,413,6,2908,20.74
2017~2018,IBK,여,30,116,2586,1612,248,233,2063,4156,38.78,741,140,119,1079,2079,35.64,62,9,10,103,184,33.69,302,32,35,271,640,47.18,145,15,16,156,332,43.67,90,9,8,97,204,44.11,272,43,45,357,717,37.93,251,809,500,30,378,1938,2.163,192,149,240,2178,2567,1.284,,554,4,1548,43,2671,4262,13.34,901,130,1156,2187,35.25,2458,418,8,2884,21.18
2017~2018,현대,여,30,116,2563,1570,210,257,2086,4123,38.07,583,103,129,1012,1827,31.91,248,18,23,179,468,52.99,285,34,25,347,691,41.24,202,14,20,240,476,42.43,12,,1,17,30,40,240,41,59,291,631,38.03,336,658,645,42,426,2065,2.896,267,146,177,2239,2562,1.258,,545,2,1490,60,2718,4268,12.84,985,147,1194,2326,36.02,2344,431,9,2784,20.2
2017~2018,GS,여,30,117,2587,1670,257,269,2012,4208,39.68,692,123,126,971,1912,36.19,141,23,16,185,365,38.63,455,47,47,433,982,46.33,95,13,9,77,194,48.96,6,2,2,13,23,26.08,281,49,69,333,732,38.38,213,678,564,31,391,1846,1.82,163,141,236,2204,2581,1.205,,602,4,1606,56,2681,4343,13.72,1031,131,1202,2364,38.07,2333,456,10,2799,19.94
2017~2018,KGC인삼공사,여,30,114,2379,1459,272,282,2220,4233,34.46,714,141,142,1244,2241,31.86,92,12,17,133,254,36.22,214,45,31,293,583,36.7,92,10,14,144,260,35.38,20,4,6,35,65,30.76,327,60,72,371,830,39.39,244,716,578,24,344,1882,2.14,190,102,175,2117,2394,0.894,1,530,1,1375,45,2977,4397,12.06,940,146,1234,2320,34.22,2471,472,3,2946,21.67
2017~2018,흥국,여,30,119,2454,1524,279,308,2368,4479,34.02,797,149,169,1376,2491,31.99,104,22,18,175,319,32.6,229,47,22,316,614,37.29,95,16,11,96,218,43.57,60,10,6,59,135,44.44,239,35,82,346,702,34.04,203,722,547,32,305,1777,1.705,160,138,225,2111,2474,1.159,,612,4,1455,39,3102,4596,12.22,1063,127,1234,2424,38.61,2547,449,8,3004,21.4
2018~2019,현대,남,36,140,3245,1705,265,281,1074,3325,51.27,500,111,111,470,1192,41.94,323,19,31,182,555,58.19,403,52,48,184,687,58.66,35,5,3,16,59,59.32,,,,,,,444,78,88,222,832,53.36,372,393,701,38,271,1737,2.657,309,258,521,2447,3226,1.842,,889,4,1649,43,1679,3371,11.77,1234,162,1156,2552,42,1171,439,6,1616,8.364
2018~2019,KAL,남,36,150,3417,1893,309,321,1123,3646,51.91,472,91,124,407,1094,43.14,337,26,24,150,537,62.75,626,97,74,306,1103,56.75,29,3,4,10,46,63.04,1,,1,,2,50,428,92,94,250,864,49.53,386,425,704,30,265,1780,2.573,298,223,568,2611,3402,1.486,,960,6,1814,34,1809,3657,12.09,1378,150,1118,2646,46.4,1376,516,7,1899,9.173
