시즌,남녀부,세트_id,플레이팀,득점,블로킹,디그,리시브효율,서브효율,공격효율,오픈점유율,시간차점유율,이동점유율,백어택점유율,속공점유율,퀵오픈점유율,오픈효율,시간차효율,이동효율,백어택효율,속공효율,퀵오픈효율,상대_득점,상대_서브,상대_디그,상대_블로킹,상대_리시브효율,상대_서브효율,상대_공격효율,승리,서브,서브.성공.득점,리시브,리시브.정확,리시브.실패,공격,공격.득점,공격.범실,오픈,시간차,이동,백어택,속공,퀵오픈,유효블로킹,서브_우위,디그_우위,블로킹_우위,리시브_우위,공격_우위
1920,남,40-3,OK저축은행,21,3,10,0.1739130435,0.1875,0.3793103448,0.3103448276,0.03448275862,0,0.1379310345,0.2068965517,0.3103448276,0.2222222222,0,0,0.75,0.3333333333,0.5555555556,25,3,11,2,0.1875,0.1739130435,0.5,0,1,1,23,7,3,29,14,1,9,1,0,4,6,9,0,1,0,1,0,0
1920,남,40-3,우리카드,25,2,11,0.1875,0.1739130435,0.5,0.2272727273,0.09090909091,0,0.2272727273,0.2272727273,0.2272727273,0.4,0.4,0,0.8,0.8,0.2,21,1,10,3,0.1739130435,0.1875,0.3793103448,1,3,3,16,4,1,22,14,0,5,2,0,5,5,5,4,0,1,0,1,1
1920,남,40-4,OK저축은행,25,1,13,0.2666666667,0.2727272727,0.2916666667,0.1666666667,0,0,0.3333333333,0.125,0.375,0.25,0,0,0.5,0,0.2222222222,23,2,9,2,0.2727272727,0.2666666667,0.36,1,2,2,15,6,2,24,12,3,4,0,0,8,3,9,3,1,1,0,0,0
1920,남,40-4,우리카드,23,2,9,0.2727272727,0.2666666667,0.36,0.48,0.08,0,0.12,0.08,0.24,0.1666666667,0.08333333333,0,0.6666666667,1,0.5,25,2,13,1,0.2666666667,0.2727272727,0.2916666667,0,2,2,22,8,2,25,12,2,12,2,0,3,2,6,2,0,0,1,1,1
1920,남,42-1,대한항공,27,0,9,0.4347826087,0,0.4838709677,0.4516129032,0,0,0.2258064516,0.03225806452,0.2903225806,0.1428571429,0,0,0.7142857143,1,0.8888888889,25,2,7,1,0,0.4347826087,0.6666666667,1,4,4,23,12,2,31,20,4,14,0,0,7,1,9,2,0,1,0,1,0
1920,남,42-1,삼성화재,25,1,7,0,0.4347826087,0.6666666667,0.5333333333,0,0,0.1333333333,0,0.3333333333,0.875,0,0,0,0,0.6,27,4,9,0,0.4347826087,0,0.4838709677,0,2,2,18,4,4,15,10,0,8,0,0,2,0,5,2,1,0,1,0,1
1920,남,42-2,대한항공,25,1,15,0.3636363636,0.2631578947,0.5714285714,0.3333333333,0,0,0.380952381,0.04761904762,0.2380952381,0.1428571429,0,0,0.875,0,0.8,18,0,10,0,0.2631578947,0.3636363636,0.3214285714,1,3,3,11,4,0,21,12,0,7,0,0,8,1,5,5,0,1,1,1,1
1920,남,42-2,삼성화재,18,0,10,0.2631578947,0.3636363636,0.3214285714,0.2857142857,0,0,0.25,0.1785714286,0.2857142857,0.125,0,0,0.5714285714,0.2,0.5,25,3,15,1,0.3636363636,0.2631578947,0.5714285714,0,0,0,19,8,3,28,12,2,8,0,0,7,5,8,3,1,0,0,0,0
1920,남,42-3,대한항공,21,2,6,0.4090909091,0,0.4583333333,0.375,0,0,0.1666666667,0.1666666667,0.2916666667,0.5555555556,0,0,0.5,0.5,0.4285714286,25,0,10,1,0,0.4090909091,0.5,0,2,2,22,9,0,24,13,1,9,0,0,4,4,7,1,0,0,1,1,0
1920,남,42-3,삼성화재,25,1,10,0,0.4090909091,0.5,0.6,0.05,0,0.25,0.05,0.05,0.5833333333,0.08333333333,0,0.4,1,1,21,2,6,2,0.4090909091,0,0.4583333333,1,0,0,13,2,2,20,13,1,12,1,0,5,1,1,5,1,1,0,0,1
1920,남,42-4,대한항공,19,0,7,0.3684210526,0.2631578947,0.1739130435,0.347826087,0,0,0.2173913043,0.2173913043,0.2173913043,0.125,0,0,0.2,0.4,0.2,25,3,10,2,0.2631578947,0.3684210526,0.652173913,0,2,2,19,10,3,23,9,3,8,0,0,5,5,5,2,0,0,0,1,0
1920,남,42-4,삼성화재,25,2,10,0.2631578947,0.3684210526,0.652173913,0.5652173913,0,0,0.2608695652,0.1304347826,0.04347826087,0.6153846154,0,0,0.8333333333,0.6666666667,0,19,2,7,0,0.3684210526,0.2631578947,0.1739130435,1,3,3,19,7,2,23,16,1,13,0,0,6,3,1,3,1,1,1,0,1
1920,남,44-1,KB손해보험,24,3,8,0.3333333333,0.2380952381,0.3793103448,0.4482758621,0,0,0.2068965517,0.1034482759,0.2413793103,0.2307692308,0,0,0.8333333333,1,0.5714285714,26,2,7,5,0.2380952381,0.3333333333,0.4074074074,0,1,1,24,10,2,29,17,1,13,0,0,6,3,7,1,0,1,0,1,0
1920,남,44-1,현대캐피탈,26,5,7,0.2380952381,0.3333333333,0.4074074074,0.2962962963,0.07407407407,0,0.2222222222,0.1851851852,0.2222222222,0.25,0.25,0,0.3333333333,0.6,0.5,24,1,8,3,0.3333333333,0.2380952381,0.3793103448,1,2,2,21,6,1,27,15,1,8,2,0,6,5,6,1,1,0,1,0,1
1920,남,44-2,KB손해보험,31,2,18,0.5384615385,0.6153846154,0.3055555556,0.25,0.05555555556,0,0.2777777778,0.1666666667,0.25,0.2222222222,0.1111111111,0,-0.1,0.5,0.6666666667,33,1,17,4,0.6153846154,0.5384615385,0.3095238095,0,1,1,26,15,1,36,19,4,9,2,0,10,6,9,8,1,1,0,0,0
1920,남,44-2,현대캐피탈,33,4,17,0.6153846154,0.5384615385,0.3095238095,0.3571428571,0.04761904762,0,0.1666666667,0.2142857143,0.2142857143,0,0.1333333333,0,0.2857142857,0.5555555556,0.5555555556,31,1,18,2,0.5384615385,0.6153846154,0.3055555556,1,1,1,26,17,1,42,18,3,15,2,0,7,9,9,5,0,0,1,1,1
1920,남,44-3,KB손해보험,25,3,11,0.4166666667,0.4090909091,0.4736842105,0.3157894737,0.05263157895,0,0.3157894737,0.1052631579,0.2105263158,0.5,0.1666666667,0,0.3333333333,1,0.5,18,0,9,3,0.4090909091,0.4166666667,0.2413793103,1,0,0,12,5,0,19,13,1,6,1,0,6,2,4,2,0,1,1,1,1
1920,남,44-3,현대캐피탈,18,3,9,0.4090909091,0.4166666667,0.2413793103,0.4137931034,0.03448275862,0,0.275862069,0.1379310345,0.1379310345,0.25,0.08333333333,0,0.25,0.25,0,25,0,11,3,0.4166666667,0.4090909091,0.4736842105,0,0,0,22,9,0,29,12,2,12,1,0,8,4,4,0,1,0,1,0,0
1920,남,44-4,KB손해보험,22,3,5,0.5789473684,0.5789473684,0.2272727273,0.1818181818,0,0,0.2727272727,0.1363636364,0.4090909091,0.5,0,0,0.5,0.3333333333,0.1111111111,25,0,8,4,0.5789473684,0.5789473684,0.4230769231,0,1,1,19,11,0,22,10,1,4,0,0,6,3,9,1,1,0,0,1,0
1920,남,44-4,현대캐피탈,25,4,8,0.5789473684,0.5789473684,0.4230769231,0.4230769231,0,0,0.1538461538,0.2307692308,0.1923076923,0.6363636364,0,0,-0.5,0.8333333333,0.4,22,1,5,3,0.5789473684,0.5789473684,0.2272727273,1,0,0,19,12,1,26,16,2,11,0,0,4,6,5,4,1,1,1,1,1
1920,남,46-1,OK저축은행,25,4,6,0.625,-0.1052631579,0.3333333333,0.2857142857,0,0,0.2380952381,0.2380952381,0.2380952381,0.1666666667,0,0,0.2,0.6,0.6,18,0,8,1,-0.1052631579,0.625,0.15,1,5,5,16,10,0,21,10,2,6,0,0,5,5,5,4,0,0,1,1,1
1920,남,46-1,삼성화재,18,1,8,-0.1052631579,0.625,0.15,0.45,0,0,0.35,0.1,0.1,0.3333333333,0,0,0.1428571429,-0.5,1,25,5,6,4,0.625,-0.1052631579,0.3333333333,0,0,0,19,3,5,20,9,2,9,0,0,7,2,2,4,1,1,0,0,0
1920,남,46-2,OK저축은행,15,1,6,0.2380952381,0.4545454545,-0.09090909091,0.1363636364,0,0,0.4090909091,0.1363636364,0.3181818182,0.6666666667,0,0,-0.4444444444,0,0.1428571429,25,2,5,7,0.4545454545,0.2380952381,0.3529411765,0,0,0,21,7,2,22,8,3,3,0,0,9,3,7,3,1,1,0,0,0
