team,year,g,batters,tpa,ab,h,2b,3b,hr,bb,ibb,hbp,so,rbi,r,sh,sf,sb,cs,gidp,e
LG,2006,126,1612,4724,4217,1037,181,16,81,330,19,52,813,430,457,92,32,84,33,86,82
KIA,2011,133,1613,5129,4373,1177,204,15,106,554,11,59,782,597,627,109,34,113,38,110,67
KIA,2012,133,1613,5131,4348,1112,197,19,54,544,18,60,790,518,553,132,47,132,51,100,88
LG,2013,128,1613,4934,4291,1210,194,38,59,451,11,59,806,574,616,91,42,139,71,80,77
·Ôµ¥,2014,128,1615,5194,4487,1289,252,26,121,534,19,70,964,686,716,62,41,63,41,95,89
·Ôµ¥,1992,126,1616,4904,4205,1213,211,62,68,483,14,59,542,619,663,103,53,130,55,90,87
SK,2011,133,1616,5124,4404,1157,204,18,100,470,15,67,891,561,584,147,36,105,61,88,68
»ï¼º,2013,128,1616,5042,4370,1235,212,17,113,453,9,93,818,624,669,84,41,95,41,98,76
LG,2010,133,1618,5270,4604,1270,223,17,121,486,25,54,907,652,688,82,44,169,56,97,92
Çö´ë,1998,126,1620,4779,4161,1123,216,21,142,413,16,74,820,587,633,91,38,134,85,69,108
·Ôµ¥,1997,126,1623,4599,4066,962,176,20,75,359,16,56,801,411,434,88,29,110,69,89,110
KIA,2010,133,1623,5166,4416,1148,190,17,106,523,14,85,865,574,611,109,33,117,52,110,86
³Ø¼¾,2012,133,1626,5021,4338,1056,189,28,102,476,17,72,892,509,549,92,43,179,72,79,78
LG,1995,126,1627,4752,4137,1064,170,34,79,421,20,76,621,472,527,73,45,121,50,90,104
Çö´ë,2006,126,1627,4798,4092,1104,172,9,92,444,17,77,628,518,547,153,32,71,47,108,93
ÇÑÈ­,2008,126,1630,4882,4275,1086,204,20,120,463,17,57,770,566,592,52,35,97,25,100,61
SK,2005,126,1631,4984,4230,1139,174,12,122,495,27,85,806,559,589,136,38,101,54,88,80
LG,2007,126,1631,4933,4322,1160,186,19,78,431,24,48,704,508,532,89,43,130,46,107,94
ÅÂÆò¾ç,1990,120,1632,4494,3898,961,176,25,47,443,16,43,534,444,485,84,24,133,84,93,112
µÎ»ê,2007,126,1632,4856,4199,1103,209,32,78,449,21,88,748,543,578,68,51,161,59,102,73
Çö´ë,2000,133,1633,5240,4478,1245,246,25,208,548,19,94,905,736,777,74,46,104,56,87,94
È÷¾î·ÎÁî,2009,133,1633,5211,4486,1219,228,20,153,547,22,63,905,650,683,64,48,192,67,116,90
OB,1997,126,1634,4767,4215,1070,159,21,84,382,19,69,717,481,511,70,31,143,53,96,115
µÎ»ê,2000,133,1636,5213,4590,1325,205,21,150,475,10,58,684,661,694,43,47,115,29,120,116
Å°¿ò,2019,144,1637,5658,4991,1405,252,37,112,514,13,69,943,741,780,36,48,110,33,122,99
LG,1996,126,1639,4856,4203,1036,164,18,98,441,31,94,612,499,506,92,26,95,57,84,122
½Ö¹æ¿ï,1999,132,1639,5054,4462,1108,177,28,86,418,8,64,908,496,523,76,33,126,51,68,110
Çö´ë,1999,132,1639,5260,4456,1210,187,18,143,537,22,98,780,652,699,127,42,109,65,88,108
µÎ»ê,2006,126,1640,4708,4147,1068,152,28,55,368,14,83,635,425,455,81,27,132,57,102,95
SK,2012,133,1642,4996,4347,1120,197,15,108,445,19,58,864,523,564,118,28,104,75,85,63
LG,1993,126,1645,4730,4182,1069,176,32,74,376,17,55,594,463,496,91,26,117,62,95,100
³Ø¼¾,2011,133,1645,4989,4343,1065,187,23,79,460,16,51,992,472,512,103,32,99,55,94,96
µÎ»ê,2012,133,1645,4938,4379,1139,172,26,59,362,12,54,659,490,524,102,40,116,51,129,78
ÇÑÈ­,2013,128,1645,4915,4271,1106,212,13,47,479,11,80,933,448,480,54,30,70,49,140,74
»ï¼º,2006,126,1646,4779,4091,1043,192,9,73,477,14,79,689,505,538,90,42,121,52,107,76
Çö´ë,2003,133,1648,5313,4483,1280,208,15,175,543,23,109,727,673,723,139,38,75,48,100,112
