team,year,g,batters,tpa,ab,h,2b,3b,hr,bb,ibb,hbp,so,rbi,r,sh,sf,sb,cs,gidp,e
KT,2016,144,1921,5620,4963,1369,214,11,116,499,7,48,933,639,672,65,45,96,46,130,130
KIA,2016,144,1924,5696,4999,1429,264,28,170,499,12,87,997,754,803,66,45,101,50,109,111
KIA,2017,144,1933,5841,5142,1554,292,29,170,499,19,89,891,868,906,55,56,76,34,118,98
LG,2016,144,1936,5765,5051,1464,238,26,118,523,10,72,982,744,786,65,54,121,70,92,103
NC,2018,144,1938,5488,4895,1280,233,18,143,427,15,88,1081,629,660,35,43,82,35,115,107
NC,2016,144,1941,5833,5007,1457,249,19,169,609,18,93,1023,808,857,70,52,99,41,133,100
NC,2015,144,1960,5727,4967,1437,283,28,161,536,24,106,1023,802,844,64,53,204,60,105,83
KT,2015,144,1965,5605,4927,1344,221,15,129,507,21,58,1112,633,670,75,37,124,52,118,118
NC,2020,144,1979,5833,5102,1483,258,28,187,529,21,104,997,845,888,46,51,101,38,106,73
LG,2020,144,1986,5681,4999,1384,253,29,149,509,21,75,969,760,802,49,49,83,39,115,74
NC,2017,144,1987,5790,5079,1489,277,19,149,471,19,130,979,739,786,62,48,93,32,119,108
LG,2015,144,1988,5599,4941,1331,252,22,114,462,18,80,1076,601,653,75,41,113,62,98,103
KT,2020,144,2002,5762,5047,1432,238,21,163,554,20,52,1097,767,813,64,45,106,50,104,92
KIA,2015,144,2022,5454,4777,1197,223,22,136,454,16,101,1126,602,648,79,43,115,50,105,84
