season,pick,team,player,college,years,pos,g,gs,mp,fg,fga,x3p,x3pa,ft,fta,trb,ast,stl,blk,tov,pf,pts,ws
1988,22,CLE,Randolph Keys,University of Southern Mississippi,5,SF,241,19,3318,522,1229,40,147,178,247,551,192,135,45,175,523,1262,2.3
1988,23,DEN,Jerome Lane,Pitt,5,PF,218,79,3215,497,1126,1,16,159,420,1258,322,138,39,261,546,1154,2.2
1988,24,BOS,Brian Shaw,UC Santa Barbara,14,PG,943,361,21666,2589,6419,431,1416,938,1199,3183,3918,747,252,1664,1949,6547,23.6
1988,25,LAL,David Rivers,Notre Dame,3,PG,114,11,1286,139,349,1,12,104,131,147,282,61,10,166,117,383,-0.3
1988,26,POR,Rolando Ferreira,Houston,1,C,12,0,34,1,18,0,0,7,8,13,1,0,1,6,7,9,-0.2
1988,27,SAS,Shelton Jones,St. John's,1,SF,51,34,682,93,209,0,1,58,80,113,42,21,15,47,58,244,0.3
1988,28,PHO,Andrew Lang,Arkansas,12,C,737,380,15344,1780,3785,5,20,866,1164,3511,424,332,1099,697,2037,4431,28.5
1988,29,SAC,Vinny Del Negro,NC State,12,SG,771,370,19211,2863,6031,243,677,1069,1273,1810,2484,576,65,820,1466,7038,40.5
1988,30,DET,Fennis Dembo,Wyoming,1,SF,31,0,74,14,42,0,4,8,10,23,5,1,0,7,15,36,-0.1
1988,31,PHI,Everette Stephens,Purdue,2,PG,38,0,215,25,75,2,10,19,24,23,39,9,4,29,22,71,-0.3
1988,32,NJN,Charles Shackleford,NC State,6,C,303,105,4614,698,1444,0,5,229,350,1448,170,119,148,276,664,1625,7.4
1988,33,MIA,Grant Long,Eastern Michigan,15,PF,1003,673,28514,3472,7440,83,293,2491,3272,6154,1716,1199,366,1628,2957,9518,60.1
1988,34,CHH,Tom Tolbert,Arizona,7,PF,312,120,5680,757,1647,29,98,487,680,1251,285,116,109,347,741,2030,6.6
1988,35,MIA,Sylvester Gray,Memphis,1,SF,55,15,1220,167,398,1,4,105,156,286,117,36,25,102,144,440,0.7
1988,36,WSB,Ledell Eackles,New Orleans,7,SG,441,88,8917,1810,4071,137,408,1026,1338,979,740,249,31,600,794,4783,10.7
1988,37,NYK,Greg Butler,Stanford,3,C,55,0,210,28,79,0,3,20,28,53,4,1,2,24,45,76,-0.3
1988,38,PHO,Dean Garrett,Indiana,6,C,359,210,6969,722,1504,0,0,293,433,1810,204,168,372,203,687,1737,14.1
1988,39,MIL,Tito Horford,Miami (FL),3,C,63,0,376,33,110,0,0,27,43,84,5,7,26,30,50,93,-0.5
1988,40,MIA,Orlando Graham,Auburn University at Montgomery,1,PF,7,0,22,3,10,0,0,2,4,11,0,0,0,2,6,8,0
1988,41,GSW,Keith Smart,Indiana,1,PG,2,0,12,0,2,0,1,2,2,1,2,0,0,2,0,2,0
1988,43,DEN,Todd Mitchell,Purdue,1,SF,24,0,353,43,97,0,0,37,64,50,21,16,2,33,51,123,-0.1
1988,44,ATL,Anthony Taylor,Oregon,1,PG,21,7,368,60,151,0,2,24,32,34,43,22,5,20,37,144,0.2
1988,45,LAC,Tom Garrick,Rhode Island,4,SG,251,47,4718,543,1159,5,60,268,346,501,853,266,22,343,447,1359,5.9
1988,46,DAL,Morlon Wiley,Cal State Long Beach,7,PG,295,39,3843,421,1023,130,367,106,150,341,722,243,17,311,444,1078,2.7
1988,47,DEN,Vernon Maxwell,Florida,13,SG,855,497,24309,3932,9878,1256,3931,1792,2446,2200,2912,975,152,1663,1766,10912,27.5
1988,48,DET,Micheal Williams,Baylor,10,PG,413,264,10403,1470,3170,48,211,1545,1780,1050,2385,717,95,938,1073,4533,28.5
1988,50,PHO,Steve Kerr,Arizona,15,PG,910,30,16207,2042,4263,726,1599,627,726,1060,1658,476,46,504,847,5437,47.2
1988,51,LAC,Rob Lock,Kentucky,1,PF,20,0,110,9,32,0,0,12,15,32,4,3,4,13,15,30,-0.2
1988,53,POR,Anthony Mason,Tennessee State,13,PF,882,559,30605,3583,7033,2,12,2488,3511,7279,2963,648,244,1549,2353,9656,88.5
1988,56,SAS,Barry Sumpter,Austin Peay State University,1,PF,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1988,59,MIA,Nate Johnston,University of Tampa,1,PF-SF,21,0,87,18,48,1,4,9,13,23,1,3,8,6,11,46,0.1
1988,64,CLE,Winston Bennett,Kentucky,3,SF,136,92,2157,257,604,0,1,134,193,414,120,50,21,115,305,648,1.6
1988,65,SEA,Corey Gaines,Loyola Marymount,5,SG,80,10,1002,92,217,11,48,53,72,69,247,39,4,72,98,248,1.1
1988,67,UTA,Ricky Grace,Oklahoma,1,PG,3,0,8,2,3,0,0,0,2,1,1,0,0,0,3,4,0
1988,71,POR,Craig Neal,Georgia Tech,2,PG,63,0,625,59,158,13,43,27,45,45,155,28,4,73,96,158,-0.4
1988,73,IND,Michael Anderson,Drexel,1,PG,36,12,730,73,175,1,7,57,82,89,153,44,3,84,64,204,0.2
1988,74,BOS,Gerald Paddio,UNLV,3,SF,129,26,1625,305,725,8,33,97,130,184,134,38,12,93,104,715,0.1
1989,1,SAC,Pervis Ellison,Louisville,11,C,474,245,11593,1826,3579,1,20,841,1221,3170,691,293,752,798,1493,4494,21.9
1989,2,LAC,Danny Ferry,Duke,13,PF,917,186,18133,2505,5615,677,1724,752,895,2550,1185,384,292,811,1964,6439,34.7
1989,3,SAS,Sean Elliott,Arizona,12,SF,742,712,24502,3852,8290,589,1572,2251,2816,3204,1897,576,284,1328,1626,10544,55.6
1989,4,MIA,Glen Rice,Michigan,15,SF,1000,876,34985,6776,14867,1559,3896,3225,3813,4387,2097,958,265,1733,2361,18336,88.7
1989,5,CHH,J.R. Reid,UNC,11,PF,672,297,15370,2168,4594,5,37,1339,1869,3381,639,514,264,947,1977,5680,22.5
1989,6,CHI,Stacey King,Oklahoma,8,PF,438,63,7406,1071,2240,4,17,673,952,1460,387,173,210,527,906,2819,10.9
1989,7,IND,George McCloud,Florida State,12,SF,766,194,17429,2469,6140,920,2573,1067,1318,2342,1769,593,190,1070,1646,6925,24.7
1989,8,DAL,Randy White,Louisiana Tech,5,PF,281,66,5382,783,1951,27,140,490,693,1366,175,209,127,372,861,2083,1.9
1989,9,WSB,Tom Hammonds,Georgia Tech,12,PF,687,60,10419,1410,2940,0,11,797,1154,2243,378,167,136,529,1244,3617,14.8
1989,10,MIN,Pooh Richardson,UCLA,10,PG,639,483,19399,3046,6867,358,1087,633,971,1807,4180,817,111,1165,1129,7083,26.8
1989,11,ORL,Nick Anderson,Illinois,13,SG,800,636,24922,4416,9891,1055,2964,1642,2461,4064,2087,1114,364,1358,1502,11529,55.3
1989,12,NJN,Mookie Blaylock,Oklahoma,13,PG,889,800,31026,4705,11499,1283,3816,1269,1724,3659,5972,2075,300,2067,1687,11962,71.8
1989,13,BOS,Michael Smith,BYU,3,PF,141,10,1328,294,620,9,60,101,121,212,142,21,5,109,119,698,1.3
1989,14,GSW,Tim Hardaway,Texas-El Paso,13,PG,867,770,30626,5640,13076,1542,4345,2551,3263,2855,7095,1428,129,2481,2027,15373,85
1989,15,DEN,Todd Lichti,Stanford,5,SG,237,51,4240,733,1595,19,78,385,488,505,325,179,45,254,417,1870,5.5
1989,16,SEA,Dana Barros,Boston College,14,PG,850,264,19480,3281,7140,1090,2652,1249,1456,1609,2837,740,46,1213,1074,8901,49.7
1989,17,SEA,Shawn Kemp,Trinity Valley CC,14,PF,1051,728,29293,5505,11278,33,119,4304,5805,8834,1704,1185,1279,2766,3826,15347,89.4
1989,18,CHI,B.J. Armstrong,Iowa,11,PG,747,341,17790,2850,5981,436,1026,1184,1383,1321,2479,533,47,889,1128,7320,45.1
1989,19,PHI,Kenny Payne,Louisville,4,SF,144,13,1167,218,532,17,58,55,64,170,61,38,22,67,129,508,-0.1
1989,20,CHI,Jeff Sanders,Georgia Southern University,4,PF,55,0,462,49,124,0,0,14,23,103,25,18,9,32,64,112,-0.2
1989,21,UTA,Blue Edwards,East Carolina University,10,SF,704,452,18409,3021,6362,304,908,1239,1590,2376,1409,728,297,1187,1923,7585,24.2
1989,22,POR,Byron Irvin,Missouri,3,SG,87,8,849,165,350,7,20,114,158,123,73,44,3,59,77,451,2.1
1989,23,ATL,Roy Marble,Iowa,2,SG,29,0,194,18,70,0,2,19,32,32,12,7,3,17,17,55,-0.5
1989,24,PHO,Anthony Cook,Arizona,4,PF,116,25,1499,166,378,0,6,86,164,428,34,43,91,66,140,418,1.1
1989,25,CLE,John Morton,Seton Hall,3,SF,128,5,1879,204,528,13,58,188,239,161,342,92,23,186,165,609,0.5
1989,26,LAL,Vlade Divac,,16,C,1134,979,33838,5205,10510,100,426,2888,4176,9326,3541,1288,1631,2470,3609,13398,96.3
1989,27,DET,Kenny Battle,Illinois,4,SG,134,17,1795,243,482,4,30,137,189,327,106,98,31,91,214,627,3.6
1989,28,MIA,Sherman Douglas,Syracuse,12,PG,765,482,21148,3335,6886,154,576,1601,2361,1672,4536,785,76,1761,1615,8425,32.9
1989,29,CHH,Dyron Nix,Tennessee,1,SF,20,0,109,14,39,0,0,11,16,26,5,3,1,7,15,39,0
1989,30,MIL,Frank Kornet,Vanderbilt,2,PF,89,0,595,65,176,10,38,31,52,95,30,19,4,34,82,171,-0.1
1989,31,LAC,Jeff Martin,Murray State,2,PG,143,49,2685,384,921,29,103,159,229,290,109,78,47,96,201,956,2.2
1989,32,NJN,Stanley Brundy,DePaul,1,SF,16,0,128,15,30,0,0,7,18,26,3,6,5,6,24,37,0.2
1989,33,LAC,Jay Edwards,Indiana,1,SG,4,0,26,3,7,0,2,1,3,2,4,1,0,1,4,7,0
1989,34,MIN,Gary Leonard,Missouri,3,C,31,0,149,17,37,0,1,10,20,34,2,4,10,9,31,44,0.1
1989,35,DAL,Pat Durham,Colorado State,2,SF,64,3,930,123,262,5,26,72,108,108,57,37,33,52,120,323,0.7
1989,36,POR,Clifford Robinson,UConn,18,PF,1380,844,42561,7389,16875,1253,3515,3560,5165,6306,3094,1402,1390,2502,4175,19591,89.6
1989,37,ORL,Michael Ansley,Alabama,3,SF,149,6,2143,383,746,0,0,260,360,621,67,51,24,85,284,1026,6.4
1989,38,MIN,Doug West,Villanova,12,SG,676,379,16649,2631,5473,37,194,1178,1470,1670,1292,459,189,823,1862,6477,17.8
1989,39,WSB,Ed Horton,Iowa,1,PF,45,10,374,80,162,0,4,42,69,108,19,9,5,39,63,202,0.4
1989,40,BOS,Dino Radja,,4,PF,224,172,7308,1516,3052,0,3,701,954,1883,356,201,282,495,745,3733,14.2
1989,41,WSB,Doug Roth,Tennessee,1,C,42,0,412,37,86,0,1,7,14,120,20,8,13,16,70,81,0.4
1989,43,CLE,Chucky Brown,NC State,13,SF,694,265,11962,1712,3487,22,97,679,972,2148,549,228,216,537,1177,4125,19
1989,45,MIA,Scott Haffner,University of Evansville,2,PG,50,6,609,96,238,3,23,18,27,55,89,16,3,37,57,213,-0.2
1989,46,PHO,Ricky Blanton,LSU,1,SF,2,0,13,3,7,0,0,0,0,3,1,2,0,1,1,6,0
1989,49,ATL,Haywoode Workman,Oral Roberts,8,PG,359,159,7202,748,1786,119,368,352,461,819,1410,354,21,538,684,1967,10.7
1989,50,NYK,Brian Quinnett,Washington State,3,SG,138,5,1530,201,485,28,86,44,65,224,76,41,25,72,159,474,0.8
1989,51,PHO,Mike Morrison,Loyola College in Maryland,1,SG,36,1,153,23,68,2,7,24,30,20,11,2,0,23,20,72,-0.3
1989,52,PHO,Greg Grant,Trenton State University,6,PG,274,5,3350,314,820,41,146,98,138,248,751,161,8,231,282,767,1.5
1990,1,NJN,Derrick Coleman,Syracuse,15,PF,781,672,25903,4616,10335,326,1105,3326,4326,7232,1985,606,1051,2036,2062,12884,64.2
1990,2,SEA,Gary Payton,Oregon State,17,PG,1335,1233,47117,8708,18698,1132,3570,3265,4480,5269,8966,2445,285,3030,3217,21813,145.5
1990,3,DEN,Mahmoud Abdul-Rauf,LSU,9,PG,586,336,15628,3514,7943,474,1339,1051,1161,1087,2079,487,46,963,1106,8553,25.1
1990,4,ORL,Dennis Scott,Georgia Tech,10,SF,629,376,17983,2962,7111,1214,3060,956,1206,1774,1296,525,197,768,1275,8094,33.4
1990,5,CHH,Kendall Gill,Illinois,15,SG,966,791,29481,5068,11672,315,1051,2463,3267,4002,2945,1519,432,1734,2515,12914,48
1990,6,MIN,Felton Spencer,Louisville,12,C,640,404,12298,1194,2466,0,1,966,1469,3436,213,248,534,667,2116,3354,21.1
1990,7,SAC,Lionel Simmons,La Salle,7,SF,454,307,13472,2242,5179,43,141,1306,1694,2833,1498,514,361,982,1106,5833,16.9
1990,8,LAC,Bo Kimble,Loyola Marymount,3,SG,105,22,1336,217,562,25,86,115,158,162,98,41,14,98,205,574,0.1
1990,9,MIA,Willie Burton,Minnesota,8,SF,316,118,6666,1090,2569,140,406,923,1174,932,393,191,121,517,846,3243,9
1990,10,ATL,Rumeal Robinson,Michigan,6,PG,336,125,6098,1014,2345,112,326,406,665,606,1179,301,54,580,599,2546,5.1
1990,11,GSW,Tyrone Hill,Xavier,14,PF,801,610,22388,2834,5643,0,13,1864,2901,6854,647,614,379,1244,2893,7532,56.2
1990,12,HOU,Alec Kessler,Georgia,4,PF,210,24,2937,425,998,10,24,224,301,751,81,39,71,192,451,1084,2
1990,13,LAC,Loy Vaught,Michigan,11,PF,689,354,16993,3061,6074,21,86,841,1172,4881,652,510,228,822,1624,6984,35.6
1990,14,SAC,Travis Mays,Texas,3,PG,115,64,2964,429,1047,104,287,311,415,233,326,102,14,213,232,1273,2.4
1990,15,MIA,Dave Jamerson,Ohio University,3,SG,90,0,594,122,311,13,47,49,57,77,61,23,1,45,63,306,0.2
1990,16,MIL,Terry Mills,Michigan,11,PF,678,303,16422,2847,6227,533,1387,948,1214,3680,891,397,296,851,1896,7175,33.4
1990,17,NYK,Jerrod Mustaf,Maryland,4,PF,179,19,1902,285,635,0,2,151,233,452,99,54,46,144,237,721,1.7
1990,18,SAC,Duane Causwell,Temple,11,C,541,262,9409,1029,2029,2,7,588,952,2273,243,220,767,500,1471,2648,15.8
1990,19,BOS,Dee Brown,Jacksonville University,12,PG,608,267,16843,2540,5822,605,1697,1073,1300,1569,2227,800,205,905,1264,6758,33.4
1990,20,MIN,Gerald Glass,Ole Miss,4,SF,201,49,3347,686,1583,26,110,155,241,512,298,130,58,179,361,1553,1.8
1990,21,PHO,Jayson Williams,St. John's,9,PF,475,158,9805,1360,3092,3,24,749,1236,3584,287,204,301,515,1284,3472,20
1990,22,NJN,Tate George,UConn,4,PG,177,14,2019,297,717,1,14,141,172,180,325,76,11,157,182,736,1.4
1990,23,SAC,Anthony Bonner,Saint Louis,6,PF,318,120,7372,881,1881,2,16,435,737,1726,442,346,84,450,784,2199,10.6
1990,24,SAS,Dwayne Schintzius,Florida,8,C,217,33,1950,256,633,1,8,74,116,536,93,30,117,119,321,587,0.9
1990,25,POR,Alaa Abdelnaby,Duke,5,PF,256,53,3200,620,1236,0,3,225,321,846,85,71,69,247,484,1465,4.8
1990,26,DET,Lance Blanks,Texas,3,SG,142,2,1045,116,266,19,75,38,57,110,117,39,8,63,122,289,0.7
1990,27,LAL,Elden Campbell,Clemson,15,PF,1044,671,25776,4062,8835,2,37,2679,3832,6116,1199,702,1602,1367,3006,10805,62.8
1990,28,GSW,Les Jepsen,Iowa,2,C,52,0,192,20,60,0,2,13,20,67,2,2,8,6,33,53,0.1
1990,29,CHI,Toni Kuko?,,13,SF,846,259,22212,3633,8127,731,2184,1813,2487,3555,3119,817,290,1544,1465,9810,59.8
1990,30,MIA,Carl Herrera,Houston,8,PF,465,110,8042,1039,2183,2,14,401,624,1690,261,237,204,447,935,2481,8.9
1990,31,PHO,Negele Knight,Dayton,6,PG,276,77,4513,671,1539,25,95,332,455,351,780,123,30,357,403,1699,4.1
1990,32,PHI,Brian Oliver,Georgia Tech,4,SG,118,4,1182,155,400,5,22,74,105,123,114,45,6,78,121,389,-0.5
1990,33,UTA,Walter Palmer,Dartmouth College,2,C,48,0,209,42,102,0,1,16,24,65,11,4,9,16,49,100,-0.1
1990,34,GSW,Kevin Pritchard,Kansas,4,PG,94,1,1125,119,298,8,43,94,119,90,152,37,13,82,146,340,0.4
1990,35,WSB,Greg Foster,Texas-El Paso,13,PF,656,95,7974,1047,2382,20,89,424,567,1691,351,94,194,465,1221,2538,5.5
1990,36,ATL,Trevor Wilson,UCLA,4,PF,103,13,1609,236,518,0,4,119,210,353,99,50,14,117,157,591,0.8
1990,37,WSB,A.J. English,Virginia Union University,2,SG,151,18,3108,617,1418,9,65,259,333,315,320,57,24,203,287,1502,1.1
1990,38,SEA,Jud Buechler,Arizona,12,SF,720,29,8444,961,2221,263,718,200,316,1266,560,314,144,297,732,2385,16.5
1990,39,CHH,Steve Scheffler,Purdue,7,C,174,8,918,121,217,1,5,88,116,180,26,30,8,34,131,331,3
1990,40,SAC,Bimbo Coles,Virginia Tech,14,PG,852,354,20319,2549,5991,252,943,1278,1576,1820,3313,735,134,1267,1824,6628,27.5
1990,41,ATL,Steve Bardo,Illinois,3,SG,33,0,299,28,85,1,10,16,23,60,44,12,4,22,45,73,-0.1
1990,42,DEN,Marcus Liberty,Illinois,4,SF,267,63,4568,783,1877,66,194,310,467,925,244,189,73,264,495,1942,4
1990,43,SAS,Tony Massenburg,Maryland,13,PF,683,233,12291,1638,3484,1,11,961,1363,2964,266,261,322,685,1607,4238,15.5
1990,44,MIL,Steve Henson,Kansas State,7,PG,238,3,2282,254,631,105,243,126,145,176,465,88,2,175,283,739,3.6
1990,45,IND,Antonio Davis,Texas-El Paso,13,PF,903,524,26084,3187,7120,2,23,2665,3668,6755,1017,430,889,1346,2551,9041,59.6
1990,46,IND,Kenny Williams,Elizabeth City State University,4,SF,260,7,2918,547,1070,0,14,153,225,693,161,76,166,136,366,1247,7.4
1990,47,PHI,Derek Strong,Xavier,10,PF,456,72,8548,1067,2483,11,61,943,1199,2213,291,203,94,421,740,3088,18.5
1990,48,PHO,Cedric Ceballos,Cal State Fullerton,11,SF,609,313,14712,3414,6824,235,760,1630,2165,3258,723,450,183,991,1074,8693,40.2
1990,50,PHO,Milo? Babi?,Tennessee Technological University,2,PF,21,0,87,12,32,0,0,13,20,20,10,2,1,10,7,37,-0.1
1990,51,LAL,Tony Smith,Marquette,9,SG,457,87,7295,1017,2362,120,391,350,507,735,881,319,79,442,717,2504,6.7
1990,52,CLE,Stefano Rusconi,,1,PF,7,0,30,3,9,0,0,2,5,6,3,0,2,3,10,8,-0.1
1990,54,SAS,Sean Higgins,Michigan,6,SF,220,27,3334,559,1305,93,290,164,193,402,226,73,32,239,351,1375,0.5
1991,1,CHH,Larry Johnson,UNLV,10,PF,707,699,25685,4401,9086,367,1104,2281,2978,5300,2298,515,258,1435,1893,11450,69.7
1991,2,NJN,Kenny Anderson,Georgia Tech,14,PG,858,693,25868,4002,9512,547,1580,2238,2833,2641,5196,1258,111,1769,1974,10789,62.3
1991,3,SAC,Billy Owens,Syracuse,10,PF,600,475,17619,2873,5969,82,282,1198,1904,4016,1704,569,321,1310,1761,7026,28.6
1991,4,DEN,Dikembe Mutombo,Georgetown,18,C,1196,997,36791,4169,8045,0,2,3391,4960,12359,1240,494,3289,2173,3383,11729,117
1991,5,MIA,Steve Smith,Michigan State,14,SG,942,717,28855,4609,10485,1148,3208,3064,3625,3060,2922,726,275,1714,2278,13430,83.7
1991,6,DAL,Doug Smith,Missouri,5,PF,296,118,5833,1020,2399,3,36,313,405,1234,400,224,150,353,979,2356,3
1991,7,MIN,Luc Longley,New Mexico,10,C,567,362,12006,1685,3647,0,5,720,947,2794,836,278,549,942,1730,4090,17.5
1991,8,DEN,Mark Macon,Temple,6,SG,251,104,5018,694,1806,34,126,263,358,467,428,349,20,323,587,1685,0.1
1991,9,ATL,Stacey Augmon,UNLV,15,SG,1001,472,21658,3037,6480,12,79,1904,2616,3216,1561,974,317,1248,1750,7990,43.8
1991,10,ORL,Bison Dele,Arizona,8,C,413,204,10004,1847,3499,2,14,840,1215,2564,440,320,355,822,1297,4536,22.6
1991,11,CLE,Terrell Brandon,Oregon,11,PG,724,480,21545,3908,8720,394,1110,1784,2043,2174,4407,1142,226,1419,1325,9994,65.9
1991,12,NYK,Greg Anthony,UNLV,11,PG,757,227,15850,1914,4750,610,1748,1059,1445,1417,2997,887,79,1043,1324,5497,35.8
1991,13,IND,Dale Davis,Clemson,16,C,1094,863,29606,3592,6779,0,8,1522,2708,8605,978,691,1270,1090,2878,8706,86.7
1991,14,SEA,Rich King,Nebraska,4,C,72,2,309,44,112,0,2,47,71,74,21,5,7,28,62,135,0.2
1991,15,ATL,Anthony Avent,Seton Hall,6,PF,352,156,6729,814,2019,0,2,330,481,1584,278,166,211,416,824,1958,0.4
1991,16,GSW,Chris Gatling,Old Dominion,11,PF,700,86,13760,2804,5469,50,201,1574,2386,3741,461,464,375,1069,1870,7232,32.1
1991,17,GSW,Victor Alexander,Iowa State,5,C,286,155,5755,1101,2126,18,63,322,508,1384,257,135,177,378,713,2542,8.8
1991,18,MIL,Kevin Brooks,Louisiana,3,SF,126,2,1031,172,429,12,60,61,71,141,48,18,6,69,84,417,-0.1
1991,19,WSB,LaBradford Smith,Louisville,3,SG,183,40,3131,485,1122,31,104,217,267,271,394,142,15,216,372,1218,1.5
1991,20,HOU,John Turner,Phillips University,1,SF,42,0,345,43,98,0,0,31,59,78,12,6,4,32,40,117,-0.1
1991,21,UTA,Eric Murdock,Providence,9,PG,508,224,11882,1889,4310,296,863,1044,1329,1261,2467,830,69,991,981,5118,25.6
1991,22,LAC,LeRon Ellis,Syracuse,3,C,91,2,857,110,254,0,0,57,93,220,29,25,37,35,105,277,1.3
1991,23,ORL,Stanley Roberts,LSU,8,C,300,178,5869,1059,2124,0,2,437,850,1549,189,110,385,370,1060,2555,8.1
1991,24,BOS,Rick Fox,UNC,13,SF,930,587,23723,3382,7519,771,2208,1431,1858,3517,2649,967,355,1611,2739,8966,44.8
1991,26,CHI,Mark Randall,Kansas,4,PF,127,0,883,128,289,6,39,70,97,160,56,24,8,53,95,332,1
1991,27,SAC,Pete Chilcutt,UNC,9,PF,584,55,8394,1044,2368,188,494,218,313,1935,488,267,210,390,853,2494,10.7
1991,28,CHH,Kevin Lynch,Minnesota,2,SG,95,11,1143,123,282,3,9,61,84,120,108,48,15,68,151,310,0.4
1991,30,ATL,Rodney Monroe,NC State,1,SG,38,0,313,53,144,6,27,19,23,33,27,12,2,23,19,131,-0.2
1991,31,SAC,Randy Brown,New Mexico State,12,PG,655,169,11533,1275,3055,24,120,574,831,1173,1420,722,156,725,1263,3148,11.2
1991,32,PHO,Chad Gallagher,Creighton,1,C,2,0,3,3,3,0,0,0,0,0,0,0,0,0,2,6,0.1
1991,33,DAL,Donald Hodge,Temple,5,C,249,35,3501,462,1057,4,14,254,357,809,191,84,95,236,531,1182,1.8
1991,34,MIN,Myron Brown,Slippery Rock University of Pennsylvania,1,PG,4,0,23,4,6,1,3,0,0,3,6,1,0,4,2,9,0
1991,35,DAL,Mike Iuzzolino,Saint Francis University,2,PG,122,44,3049,381,833,113,280,221,277,238,522,82,7,221,180,1096,3.7
1991,36,ORL,Chris Corchiani,NC State,3,PG,112,1,1313,131,311,21,78,133,163,129,243,73,4,120,159,416,1.6
1991,37,LAC,Elliot Perry,Memphis,10,PG,549,133,9501,1353,2945,138,384,605,773,742,1699,574,20,780,707,3449,14
1991,39,CLE,Jimmy Oliver,Purdue,5,SG,78,14,856,135,332,17,50,44,57,80,55,27,3,33,66,331,0.3
1991,40,DET,Doug Overton,La Salle,11,PG,499,62,7275,880,2134,108,339,385,472,654,1038,202,19,473,582,2253,2.5
1991,41,IND,Sean Green,Iona College,3,SG,84,0,671,153,396,15,61,31,50,85,45,33,13,63,63,352,-1.4
1991,43,GSW,Lamont Strothers,Christopher Newport University,2,SG,13,0,155,24,73,2,15,10,14,15,14,9,1,17,15,60,-0.5
1991,45,MIL,Bobby Phills,Southern University and A&M College,9,SG,467,379,13426,1957,4416,342,878,897,1215,1469,1246,592,139,711,1106,5153,27.1
1991,46,PHO,Richard Dumas,Oklahoma State,3,SF,102,47,2226,434,852,3,13,209,301,351,111,137,47,150,228,1080,4.5
1991,48,UTA,Isaac Austin,Arizona State,9,C,432,166,8350,1295,2901,9,51,686,1024,2030,538,214,226,701,967,3285,9.1
1991,49,SAS,Greg Sutton,Oral Roberts,3,PG,168,8,1946,272,687,116,321,101,136,153,284,84,13,183,317,761,0.9
1991,51,HOU,?an Tabak,,6,C,247,70,3607,537,1062,0,3,159,303,883,165,65,126,269,577,1233,2.4
1992,1,ORL,Shaquille O'Neal,LSU,19,C,1207,1197,41918,11330,19457,1,22,5935,11252,13099,3026,739,2732,3310,4146,28596,181.6
1992,2,CHH,Alonzo Mourning,Georgetown,15,C,838,686,25975,5116,9701,22,89,4057,5862,7137,946,414,2356,2209,2810,14311,89.7
1992,3,MIN,Christian Laettner,Duke,13,PF,868,692,25760,4036,8405,92,353,2957,3604,5806,2224,917,675,1932,2768,11121,64.9
1992,4,DAL,Jim Jackson,Ohio State,14,SF,885,650,29067,4811,11247,881,2413,2187,2651,4152,2851,726,188,2179,1972,12690,35.9
1992,5,DEN,LaPhonso Ellis,Notre Dame,11,PF,624,359,17616,2895,6409,241,797,1379,1888,4032,981,433,477,1001,1934,7410,32.8
1992,6,WSB,Tom Gugliotta,NC State,13,PF,763,608,23556,3871,8584,208,732,1945,2570,5589,2140,1079,492,1735,1884,9895,40.3
1992,7,SAC,Walt Williams,Maryland,11,SF,708,409,18818,2978,7013,976,2575,1453,1956,2794,1637,658,406,1321,2046,8385,34
1992,8,MIL,Todd Day,Arkansas,8,SG,483,197,12214,2036,5017,568,1646,1277,1727,1649,713,532,291,717,1348,5917,17.5
1992,9,PHI,Clarence Weatherspoon,University of Southern Mississippi,13,PF,915,612,27736,4025,8537,10,51,2423,3261,6846,1346,880,794,1430,2028,10483,58.6
1992,10,ATL,Adam Keefe,Stanford,9,PF,617,98,10334,1120,2230,1,14,866,1213,2556,427,307,173,545,1114,3107,24.9
1992,11,HOU,Robert Horry,Alabama,16,PF,1107,480,27069,2820,6643,795,2329,1280,1762,5269,2343,1158,1035,1378,2680,7715,66.6
1992,12,MIA,Harold Miner,USC,4,SG,200,47,3748,692,1504,23,74,394,502,432,245,80,27,278,370,1801,4.2
1992,13,DEN,Bryant Stith,Virginia,10,SG,586,406,16417,2021,4767,306,931,1598,1900,1983,1178,594,130,776,1092,5946,29.5
1992,14,IND,Malik Sealy,St. John's,8,SF,493,253,11720,1865,4375,158,541,1067,1319,1585,816,518,157,681,1087,4955,17.1
1992,15,LAL,Anthony Peeler,Missouri,13,SG,827,296,20464,3101,7255,940,2445,875,1095,2136,1956,775,138,1019,1670,8017,31
1992,16,LAC,Randy Woods,La Salle,4,PG,151,4,1093,115,338,57,187,69,101,93,257,85,4,110,166,356,0.7
1992,17,SEA,Doug Christie,Pepperdine,15,SG,827,708,26079,3238,7604,805,2272,2020,2460,3382,2992,1555,392,1721,2051,9301,55.7
1992,18,SAS,Tracy Murray,UCLA,12,SF,659,80,12103,2181,5070,753,1942,828,999,1649,508,361,161,603,1099,5943,24.2
1992,19,DET,Don MacLean,UCLA,9,SF,319,111,6679,1320,2902,56,197,794,1038,1210,404,118,51,398,598,3490,9.3
1992,20,NYK,Hubert Davis,UNC,12,SG,685,149,15143,2108,4600,728,1651,639,763,1045,1172,297,44,646,1011,5583,27.7
1992,21,BOS,Jon Barry,Georgia Tech,14,SG,821,36,13880,1595,3672,657,1676,868,1023,1513,1784,722,111,808,1016,4715,37.4
