season,pick,team,player,college,years,pos,g,gs,mp,fg,fga,x3p,x3pa,ft,fta,trb,ast,stl,blk,tov,pf,pts,ws
1981,76,GSW,Lewis Lloyd,Drake University,7,SG,388,260,9406,2172,4144,10,47,776,1006,1192,1138,365,133,820,833,5130,19.9
1981,78,KCK,Kenny Dennard,Duke,3,PF,95,3,1244,109,254,3,10,47,73,286,93,74,17,69,191,268,1.5
1981,81,HOU,Larry Spriggs,Howard University,5,SF,169,39,2202,341,659,0,6,191,254,384,218,80,28,209,338,873,3.5
1981,85,POR,Pete Verhoeven,Fresno State,6,PF,282,27,3220,432,856,1,4,135,196,641,152,128,67,166,622,1000,5.2
1981,86,NYK,Alex Bradley,Villanova,1,SF,39,0,331,54,103,0,1,29,48,65,11,12,5,28,37,137,0.4
1981,88,LAL,Kevin McKenna,Creighton,6,SG,243,26,3460,498,1204,103,281,221,270,317,342,184,25,204,491,1320,4.1
1981,95,NJN,Joe Cooper,Colorado,3,C,24,5,389,45,89,0,0,19,35,97,19,11,21,33,58,109,0.3
1981,102,GSW,Hank McDowell,Memphis,6,PF,206,1,1857,229,508,0,7,142,200,464,98,34,29,131,274,600,2
1981,103,WSB,Garry Witts,Holy Cross,1,SF,46,0,493,49,84,1,2,33,40,62,38,17,4,35,74,132,1.1
1981,130,CHI,Roger Burkman,Louisville,1,SG,6,0,30,0,4,0,1,5,6,6,5,6,2,3,6,5,0.1
1981,150,KCK,Clinton Wheeler,William Paterson University,2,PG,87,0,867,107,219,0,1,40,54,71,157,63,2,76,63,254,1
1981,165,UTA,Bobby Cattage,Auburn,2,PF,78,1,522,88,218,1,7,65,85,107,11,13,0,31,81,242,0.3
1981,211,DEN,Derrick Rowland,State University of New York at Potsdam,1,SG,2,0,9,1,3,0,0,1,2,1,1,0,0,0,1,3,0
1982,1,LAL,James Worthy,UNC,12,SF,926,717,30001,6878,13204,117,486,2447,3184,4708,2791,1041,624,1859,1975,16320,81.3
1982,2,SDC,Terry Cummings,DePaul,18,PF,1183,815,33898,8045,16628,44,149,3326,4711,8630,2190,1255,650,2200,3836,19460,91.3
1982,3,UTA,Dominique Wilkins,Georgia,15,SF,1074,995,38113,9963,21589,711,2231,6031,7438,7169,2677,1378,642,2669,2061,26668,117.7
1982,4,DAL,Bill Garnett,Wyoming,4,PF,300,62,5260,572,1167,0,9,494,686,1298,393,159,173,332,832,1638,10.9
1982,5,KCK,LaSalle Thompson,Texas,15,C,985,516,21238,3136,6376,4,26,1530,2075,6689,1139,741,972,1646,3143,7806,35
1982,6,NYK,Trent Tucker,Minnesota,11,SG,756,207,15671,2594,5632,575,1410,473,627,1520,1532,679,88,593,1594,6236,34.3
1982,7,CHI,Quintin Dailey,San Francisco,10,SG,528,140,12170,2936,6460,21,133,1577,2025,1307,1188,500,51,1025,1231,7470,12.5
1982,8,IND,Clark Kellogg,Ohio State,5,PF,260,241,8514,2008,4041,23,68,879,1161,2482,764,381,105,731,858,4918,20.9
1982,9,DET,Cliff Levingston,Wichita State,11,PF,830,216,16962,2333,4524,5,33,1217,1800,4307,752,534,593,829,2299,5888,44.2
1982,10,ATL,Keith Edmonson,Purdue,2,SG,87,2,931,206,460,0,2,110,153,127,56,37,13,81,124,522,0.4
1982,11,POR,Fat Lever,Arizona State,11,PG,752,599,23814,4244,9504,162,523,1783,2312,4523,4696,1666,209,1471,1803,10433,61.2
1982,12,CLE,John Bagley,Boston College,11,PG,665,401,17120,2359,5398,114,473,970,1245,1729,3980,755,54,1512,1090,5802,16.6
1982,13,NJN,Sleepy Floyd,Georgetown,13,PG,957,584,26383,4448,10015,518,1599,2846,3493,2494,5175,1120,215,2251,1972,12260,50.6
1982,14,GSW,Lester Conner,Oregon State,12,PG,687,281,14970,1639,3618,22,109,1037,1378,1861,2669,1085,64,914,1036,4337,28.4
1982,15,PHO,David Thirdkill,Bradley,5,SF,179,5,1469,189,414,1,11,131,232,209,84,47,13,105,226,510,1.2
1982,16,HOU,Terry Teagle,Baylor,11,SG,687,193,14509,3295,7090,30,143,1362,1719,1803,956,517,127,1005,1532,7982,13.5
1982,17,KCK,Brook Steppe,Georgia Tech,5,SG,238,28,2858,443,945,9,29,402,490,345,280,105,17,248,334,1297,4.7
1982,18,DET,Ricky Pierce,Rice University,16,SG,969,269,23665,5391,10925,296,920,3389,3871,2296,1826,768,147,1453,2213,14467,72.1
1982,19,DEN,Rob Williams,Houston,2,PG,153,99,3367,500,1139,17,62,302,383,330,825,173,17,354,489,1319,2.1
