name,code,year,tpa,ab,h
임태훈,77251,2007,2,2,1
김원형,91848,2008,2,2,0
최동수,94132,2013,2,2,0
윤규진,73750,2015,2,2,0
김대우,78536,2016,2,1,0
강지광,79130,2017,2,2,0
노경은,73211,2017,2,2,0
김동철,82996,1982,1,1,0
김용남,82999,1982,1,1,0
박상열,82775,1982,1,1,0
이상윤,82698,1982,1,1,0
최동원,83540,1984,1,1,1
김기철,85992,1985,1,1,0
김용남,82999,1985,1,1,0
윤석환,84273,1985,1,1,1
이광권,82699,1985,1,1,0
정성만,80204,1985,1,1,0
최일언,84240,1985,1,1,0
황규봉,80620,1985,1,1,0
김진욱,84214,1987,1,1,0
선동열,85672,1987,1,1,0
권영호,82993,1988,1,1,0
김진욱,84214,1988,1,1,0
이상군,86722,1988,1,1,0
한희민,86770,1988,1,1,0
양상문,85570,1989,1,1,0
장호연,83260,1989,1,1,0
이동석,87720,1990,1,1,0
정명원,89351,1990,1,1,0
강태원,89672,1991,1,1,0
김대중,87710,1991,1,1,0
김상엽,89410,1991,1,1,0
김성길,87413,1991,1,1,0
김태원,86110,1991,1,1,0
송유석,87672,1991,1,0,0
송진우,89770,1991,1,1,0
신동수,86672,1991,1,1,0
최준호,91871,1991,1,1,0
하창우,88273,1991,1,1,0
한희민,86770,1991,1,1,0
김인권,91729,1992,1,1,0
박동수,85531,1992,1,1,0
송진우,89770,1992,1,1,0
이광우,89621,1992,1,1,0
장정순,88750,1992,1,1,0
차동철,86670,1992,1,1,0
차명석,92901,1992,1,0,0
송진우,89770,1994,1,1,0
정명원,89351,1994,1,1,0
최동수,94132,1994,1,1,0
권명철,92202,1995,1,1,0
김경원,93219,1995,1,1,0
김기덕,91833,1995,1,1,0
김용수,85110,1995,1,1,0
김기덕,91833,1996,1,1,0
김재성,92702,1996,1,1,0
박철순,82234,1996,1,1,0
오봉옥,92403,1996,1,1,0
이병석,91011,1996,1,1,0
조규제,91818,1996,1,1,0
김경원,93219,1997,1,1,0
김기덕,91833,1997,1,1,0
이상훈,90851,1997,1,1,0
한용덕,88770,1997,1,1,0
김경원,93219,1998,1,1,0
김기범,89111,1998,1,1,0
신윤호,94126,1998,1,0,0
강병규,91206,1999,1,1,0
김수경,98330,1999,1,1,0
유현승,94834,1999,1,1,0
오봉옥,92403,2000,1,1,0
이광우,89621,2000,1,1,1
이대진,93626,2000,1,1,0
송진우,89770,2001,1,1,1
전승남,97140,2001,1,1,0
