name,code,year,tpa,ab,h
문광은,60845,2019,0,0,0
민태호,78366,2019,0,0,0
박시영,60559,2019,0,0,0
박진형,63512,2019,0,0,0
배영수,70425,2019,0,0,0
손동현,69041,2019,0,0,0
손승락,75321,2019,0,0,0
신재웅,75138,2019,0,0,0
안영명,73738,2019,0,0,0
엄상백,65056,2019,0,0,0
여건욱,79825,2019,0,0,0
오현택,79293,2019,0,0,0
유원상,76757,2019,0,0,0
윤영삼,61456,2019,0,0,0
이대은,67008,2019,0,0,0
이승진,64805,2019,0,0,0
이영하,66291,2019,0,0,0
장원삼,76355,2019,0,0,0
정우람,74857,2019,0,0,0
정찬헌,78148,2019,0,0,0
하준호,78517,2019,0,0,0
강동연,61295,2020,0,0,0
