season,남녀부,플레이팀,세트,승리,승률,세트당_서브,리시브_효율,공격_효율,세트당_블로킹,세트당_디그
1920,남,OK저축은행,115,58,0.504347826,1.52173913,0.323159785,0.324333679,2.12173913,9.086956522
1920,남,대한항공,110,70,0.636363636,1.672727273,0.408936377,0.390568754,2.490909091,9.736363636
1920,남,삼성화재,116,51,0.439655172,1.077586207,0.286933094,0.32464455,1.965517241,10.11206897
1920,남,우리카드,113,73,0.646017699,1.336283186,0.394898441,0.386371266,2.460176991,11.2300885
1920,남,한국전력,115,38,0.330434783,0.860869565,0.336010144,0.29640334,2.07826087,10.1826087
1920,남,현대캐피탈,118,68,0.576271186,1.144067797,0.41999142,0.356329114,3.228813559,9.966101695
1920,여,GS칼텍스,98,60,0.612244898,1.408163265,0.314641745,0.261437908,2.520408163,20.44897959
1920,여,IBK기업은행,97,35,0.360824742,1.206185567,0.277941176,0.215293454,1.927835052,20.53608247
1920,여,KGC인삼공사,101,47,0.465346535,1.118811881,0.309501411,0.245087626,2.079207921,21.93069307
1920,여,한국도로공사,96,34,0.354166667,1.15625,0.387785501,0.220782726,1.770833333,22.26041667
1920,여,현대건설,98,59,0.602040816,1.265306122,0.308838643,0.26201373,2.540816327,19.85714286
1920,여,흥국생명,100,60,0.6,1.26,0.298721228,0.257002075,2.1,22.63
